Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
16,15,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.00082
15,16,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.00082
13,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000828
16,13,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000828
13,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000828
15,13,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000828
11,9,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000829
9,11,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000829
14,15,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000834
14,16,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000834
14,13,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000834
13,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000834
15,14,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000834
16,14,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000834
12,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000835
12,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000835
11,12,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000835
9,12,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000835
10,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000837
12,10,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000837
10,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000837
10,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000837
11,10,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000837
9,10,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.000837
3,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.001629
4,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.001629
2,3,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.00183
3,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.00183
2,4,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.00183
4,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.00183
5,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.001873
7,5,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.001873
8,5,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001913
5,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.001913
8,7,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001913
7,8,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.001913
6,8,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001917
8,6,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001917
6,7,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001917
6,5,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001917
7,6,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,0.001917
5,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.001917
1,2,PMPI_Alltoall,PMPI_Alltoall,2.8e-05,0.001995
1,3,PMPI_Alltoall,PMPI_Alltoall,2.8e-05,0.001995
1,4,PMPI_Alltoall,PMPI_Alltoall,2.8e-05,0.001995
4,1,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.001995
2,1,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.001995
3,1,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.001995
4,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.003439
4,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.003439
4,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.003439
