Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
4,3,PMPI_Alltoall,PMPI_Alltoall,1e-05,1.8e-05
3,4,PMPI_Alltoall,PMPI_Alltoall,1e-05,1.8e-05
11,9,PMPI_Alltoall,PMPI_Alltoall,1e-05,1.9e-05
9,11,PMPI_Alltoall,PMPI_Alltoall,9e-06,1.9e-05
5,7,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
7,5,PMPI_Alltoall,PMPI_Alltoall,1e-05,1.9e-05
15,16,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
16,15,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
13,15,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
15,13,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
13,16,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
16,13,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
12,9,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
9,12,PMPI_Alltoall,PMPI_Alltoall,9e-06,1.9e-05
12,11,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.9e-05
11,12,PMPI_Alltoall,PMPI_Alltoall,1e-05,1.9e-05
6,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2e-05
5,6,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2e-05
6,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2e-05
7,6,PMPI_Alltoall,PMPI_Alltoall,1e-05,2e-05
14,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2e-05
15,14,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2e-05
14,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2e-05
14,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2e-05
16,14,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2e-05
13,14,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2e-05
10,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.1e-05
11,10,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.1e-05
10,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.1e-05
10,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.1e-05
12,10,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2.1e-05
9,10,PMPI_Alltoall,PMPI_Alltoall,9e-06,2.1e-05
8,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.1e-05
6,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.1e-05
8,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.1e-05
8,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.1e-05
5,8,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2.1e-05
7,8,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.1e-05
9,7,PMPI_Alltoall,PMPI_Alltoall,9e-06,2.2e-05
3,9,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.5e-05
9,3,PMPI_Alltoall,PMPI_Alltoall,9e-06,2.5e-05
4,9,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
9,4,PMPI_Alltoall,PMPI_Alltoall,9e-06,2.6e-05
11,4,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
4,11,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
11,3,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
3,11,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
3,7,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
7,3,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
2,3,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,2.6e-05
3,2,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
2,4,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,2.6e-05
4,2,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
12,3,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2.6e-05
12,4,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2.6e-05
4,12,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
3,12,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.6e-05
10,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.7e-05
3,10,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.7e-05
10,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,2.7e-05
4,10,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.7e-05
4,7,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.8e-05
7,4,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.8e-05
11,7,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.8e-05
16,7,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,2.9e-05
7,16,PMPI_Alltoall,PMPI_Alltoall,1e-05,2.9e-05
15,7,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3e-05
