Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
12,16,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001949
16,12,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001949
9,12,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001949
12,9,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001949
9,16,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001949
16,9,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001949
13,9,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.00195
9,13,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.00195
13,16,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.00195
13,12,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.00195
16,13,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.00195
12,13,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.00195
15,13,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
13,15,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
15,16,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
15,9,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
15,12,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
16,15,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
9,15,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
12,15,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
7,15,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
15,7,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
7,9,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
7,12,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
7,13,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
7,16,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
9,7,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
12,7,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
13,7,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
16,7,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001951
3,7,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
7,3,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
3,9,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
3,12,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
3,13,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
3,15,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
3,16,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
9,3,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
12,3,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
13,3,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
15,3,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
16,3,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
4,3,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
3,4,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
4,7,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
4,9,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
4,12,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
4,13,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
4,15,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
4,16,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
7,4,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
9,4,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
12,4,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
13,4,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
15,4,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
16,4,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
5,4,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.001952
4,5,PMPI_Alltoall,PMPI_Alltoall,2e-05,0.001952
5,7,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.001952
5,9,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.001952
5,12,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.001952
5,13,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.001952
5,15,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.001952
