Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
13,15,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3e-05
15,13,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3e-05
11,13,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3e-05
13,11,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3e-05
11,15,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3e-05
15,11,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3e-05
12,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.1e-05
12,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.1e-05
12,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.1e-05
11,12,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.1e-05
13,12,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.1e-05
15,12,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.1e-05
9,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.1e-05
12,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.1e-05
9,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.1e-05
9,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.1e-05
9,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.1e-05
11,9,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.1e-05
13,9,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.1e-05
15,9,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.1e-05
3,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
9,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
3,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
3,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
3,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
3,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
11,3,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.2e-05
12,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
13,3,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.2e-05
15,3,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.2e-05
4,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
3,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
3,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
4,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
4,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
4,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
4,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
4,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
5,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
5,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
9,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
5,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
5,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
5,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
5,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
5,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
9,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
11,5,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.2e-05
11,4,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.2e-05
12,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
12,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,3.2e-05
13,5,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.2e-05
13,4,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.2e-05
15,5,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,3.2e-05
