Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
3,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000268
4,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000268
7,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000281
5,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000281
13,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000281
15,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000281
16,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000282
13,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000282
16,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000282
15,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000282
9,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
12,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
11,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
9,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
11,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
12,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
2,3,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.000284
3,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
2,4,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.000284
4,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
6,7,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000285
7,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
6,5,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000285
5,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
10,11,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000285
11,10,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
10,12,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000285
10,9,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000285
12,10,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
9,10,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
8,6,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
6,8,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000286
8,5,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
8,7,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
5,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000286
7,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000286
14,16,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000287
16,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000287
14,15,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000287
14,13,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000287
15,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000287
13,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000287
1,2,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,0.000301
2,1,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.000301
1,3,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,0.000301
1,4,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,0.000301
3,1,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000301
4,1,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000301
5,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.0007
9,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.0007
9,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.0007
13,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.0007
5,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000701
13,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000701
13,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000705
12,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000705
12,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000705
15,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000705
9,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000706
15,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000706
10,5,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000707
5,10,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
6,10,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000707
10,6,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000707
6,9,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000707
9,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
5,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
12,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
16,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
12,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
16,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
9,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
16,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
5,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000707
11,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000708
13,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000708
16,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000708
11,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000708
7,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000708
16,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000708
