Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
4,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
12,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
7,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
15,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
6,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
7,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
16,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
12,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
16,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
15,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000135
3,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000136
4,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000136
3,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000136
7,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000136
9,10,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
10,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
9,12,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
12,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
13,16,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
16,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
13,9,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
9,13,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
8,16,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
16,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
8,4,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
8,7,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
4,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
7,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
5,6,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
6,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
5,8,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
5,13,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
8,5,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
13,5,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
14,15,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
15,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
14,6,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
14,10,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
14,13,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
6,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
10,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000137
13,14,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000137
2,3,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000138
3,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000138
2,6,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000138
2,10,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000138
6,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000138
10,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000138
11,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000139
12,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000139
11,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000139
11,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000139
11,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000139
15,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000139
3,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000139
10,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000139
1,2,PMPI_Alltoall,PMPI_Alltoall,3.3e-05,0.000156
2,1,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000156
1,4,PMPI_Alltoall,PMPI_Alltoall,3.3e-05,0.000156
1,5,PMPI_Alltoall,PMPI_Alltoall,3.3e-05,0.000156
1,9,PMPI_Alltoall,PMPI_Alltoall,3.3e-05,0.000156
4,1,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000156
5,1,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000156
9,1,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000156
6,10,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000262
10,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000262
2,14,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000265
14,2,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000265
5,9,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000271
9,5,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000271
11,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000272
7,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000272
3,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000273
15,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000273
15,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
12,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
7,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
4,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
16,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
7,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
16,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
4,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
8,3,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000284
3,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
3,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
12,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
9,4,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000284
4,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
9,16,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000285
16,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
13,12,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000285
12,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
5,16,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000285
16,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
8,12,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
12,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000286
8,13,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
8,15,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
13,8,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
15,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000286
5,4,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
4,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000286
11,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000287
4,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000287
11,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000287
16,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000287
1,13,PMPI_Alltoall,PMPI_Alltoall,3.3e-05,0.00029
13,1,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.00029
1,8,PMPI_Alltoall,PMPI_Alltoall,3.3e-05,0.000297
8,1,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000297
1,12,PMPI_Alltoall,PMPI_Alltoall,3.3e-05,0.000299
12,1,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000299
2,7,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000306
7,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000306
11,2,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000307
2,11,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000307
2,4,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.000307
4,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000307
3,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.00031
6,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.00031
6,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.00031
15,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.00031
10,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000311
