Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
15,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
16,15,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.4e-05
15,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
11,15,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.4e-05
12,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
16,12,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.4e-05
12,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
11,12,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.4e-05
10,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
11,10,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.4e-05
3,11,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
11,3,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.4e-05
4,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
3,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
4,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
12,4,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
7,15,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
15,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
7,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
7,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
3,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
6,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.4e-05
13,16,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
16,13,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.5e-05
14,15,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
15,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.5e-05
14,6,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
14,10,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
14,13,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
6,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.5e-05
10,14,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.5e-05
13,14,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
16,11,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.5e-05
11,16,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.5e-05
8,16,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
16,8,PMPI_Alltoall,PMPI_Alltoall,1.1e-05,1.5e-05
8,4,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
8,7,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
4,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.5e-05
7,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,1.5e-05
9,10,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,1.5e-05
