Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,3,PMPI_Bcast,PMPI_Bcast,0.000656,0.000877
1,2,PMPI_Bcast,PMPI_Bcast,0.000656,0.000975
1,5,PMPI_Bcast,PMPI_Bcast,0.000656,0.001011
1,9,PMPI_Bcast,PMPI_Bcast,0.000656,0.001011
3,4,PMPI_Bcast,PMPI_Bcast,0.000877,0.001121
1,3,PMPI_Bcast,PMPI_Bcast,0.000658,0.001123
1,2,PMPI_Bcast,PMPI_Bcast,0.000658,0.001197
5,6,PMPI_Bcast,PMPI_Bcast,0.001011,0.001257
5,7,PMPI_Bcast,PMPI_Bcast,0.001011,0.001257
9,10,PMPI_Bcast,PMPI_Bcast,0.001011,0.001257
9,11,PMPI_Bcast,PMPI_Bcast,0.001011,0.001257
1,9,PMPI_Bcast,PMPI_Bcast,0.000658,0.001408
1,3,PMPI_Bcast,PMPI_Bcast,0.000659,0.001409
3,4,PMPI_Bcast,PMPI_Bcast,0.001123,0.001409
1,5,PMPI_Bcast,PMPI_Bcast,0.000658,0.001411
1,2,PMPI_Bcast,PMPI_Bcast,0.000659,0.001432
9,13,PMPI_Bcast,PMPI_Bcast,0.001011,0.001445
7,8,PMPI_Bcast,PMPI_Bcast,0.001257,0.001478
11,12,PMPI_Bcast,PMPI_Bcast,0.001257,0.001478
9,10,PMPI_Bcast,PMPI_Bcast,0.001408,0.001654
9,11,PMPI_Bcast,PMPI_Bcast,0.001408,0.001654
5,6,PMPI_Bcast,PMPI_Bcast,0.001411,0.001657
5,7,PMPI_Bcast,PMPI_Bcast,0.001411,0.001657
1,3,PMPI_Bcast,PMPI_Bcast,0.000659,0.001669
3,4,PMPI_Bcast,PMPI_Bcast,0.001409,0.001669
1,2,PMPI_Bcast,PMPI_Bcast,0.000659,0.00168
13,14,PMPI_Bcast,PMPI_Bcast,0.001445,0.001691
13,15,PMPI_Bcast,PMPI_Bcast,0.001445,0.001691
1,9,PMPI_Bcast,PMPI_Bcast,0.000659,0.001748
1,5,PMPI_Bcast,PMPI_Bcast,0.000659,0.001751
11,12,PMPI_Bcast,PMPI_Bcast,0.001654,0.001884
7,8,PMPI_Bcast,PMPI_Bcast,0.001657,0.001886
