Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000583,0.001898
1,3,PMPI_Bcast,PMPI_Bcast,0.000583,0.001898
1,5,PMPI_Bcast,PMPI_Bcast,0.000583,0.001898
1,17,PMPI_Bcast,PMPI_Bcast,0.000583,0.001898
1,33,PMPI_Bcast,PMPI_Bcast,0.000583,0.001898
1,9,PMPI_Bcast,PMPI_Bcast,0.000583,0.001907
3,4,PMPI_Bcast,PMPI_Bcast,0.001898,0.003099
5,6,PMPI_Bcast,PMPI_Bcast,0.001898,0.00313
5,7,PMPI_Bcast,PMPI_Bcast,0.001898,0.00313
9,10,PMPI_Bcast,PMPI_Bcast,0.001907,0.003169
9,11,PMPI_Bcast,PMPI_Bcast,0.001907,0.003169
9,13,PMPI_Bcast,PMPI_Bcast,0.001907,0.003169
17,18,PMPI_Bcast,PMPI_Bcast,0.001898,0.003191
17,19,PMPI_Bcast,PMPI_Bcast,0.001898,0.003191
17,21,PMPI_Bcast,PMPI_Bcast,0.001898,0.003191
17,25,PMPI_Bcast,PMPI_Bcast,0.001898,0.003191
1,5,PMPI_Bcast,PMPI_Bcast,0.000585,0.00322
1,3,PMPI_Bcast,PMPI_Bcast,0.000585,0.00322
1,2,PMPI_Bcast,PMPI_Bcast,0.000585,0.003221
1,17,PMPI_Bcast,PMPI_Bcast,0.000585,0.003221
33,34,PMPI_Bcast,PMPI_Bcast,0.001898,0.003221
33,35,PMPI_Bcast,PMPI_Bcast,0.001898,0.003221
33,37,PMPI_Bcast,PMPI_Bcast,0.001898,0.003221
33,41,PMPI_Bcast,PMPI_Bcast,0.001898,0.003221
33,49,PMPI_Bcast,PMPI_Bcast,0.001898,0.003221
1,33,PMPI_Bcast,PMPI_Bcast,0.000585,0.003222
1,9,PMPI_Bcast,PMPI_Bcast,0.000585,0.003223
7,8,PMPI_Bcast,PMPI_Bcast,0.00313,0.004325
11,12,PMPI_Bcast,PMPI_Bcast,0.003169,0.004364
19,20,PMPI_Bcast,PMPI_Bcast,0.003191,0.004387
13,14,PMPI_Bcast,PMPI_Bcast,0.003169,0.00439
13,15,PMPI_Bcast,PMPI_Bcast,0.003169,0.00439
21,22,PMPI_Bcast,PMPI_Bcast,0.003191,0.004418
21,23,PMPI_Bcast,PMPI_Bcast,0.003191,0.004418
3,4,PMPI_Bcast,PMPI_Bcast,0.00322,0.004421
35,36,PMPI_Bcast,PMPI_Bcast,0.003221,0.004422
25,26,PMPI_Bcast,PMPI_Bcast,0.003191,0.00445
25,27,PMPI_Bcast,PMPI_Bcast,0.003191,0.00445
25,29,PMPI_Bcast,PMPI_Bcast,0.003191,0.00445
5,6,PMPI_Bcast,PMPI_Bcast,0.00322,0.004452
5,7,PMPI_Bcast,PMPI_Bcast,0.00322,0.004452
37,38,PMPI_Bcast,PMPI_Bcast,0.003221,0.004452
37,39,PMPI_Bcast,PMPI_Bcast,0.003221,0.004452
41,42,PMPI_Bcast,PMPI_Bcast,0.003221,0.004483
41,43,PMPI_Bcast,PMPI_Bcast,0.003221,0.004483
41,45,PMPI_Bcast,PMPI_Bcast,0.003221,0.004483
9,10,PMPI_Bcast,PMPI_Bcast,0.003223,0.004485
9,11,PMPI_Bcast,PMPI_Bcast,0.003223,0.004485
9,13,PMPI_Bcast,PMPI_Bcast,0.003223,0.004485
17,18,PMPI_Bcast,PMPI_Bcast,0.003221,0.004514
17,19,PMPI_Bcast,PMPI_Bcast,0.003221,0.004514
17,21,PMPI_Bcast,PMPI_Bcast,0.003221,0.004514
17,25,PMPI_Bcast,PMPI_Bcast,0.003221,0.004514
49,50,PMPI_Bcast,PMPI_Bcast,0.003221,0.004514
49,51,PMPI_Bcast,PMPI_Bcast,0.003221,0.004514
49,53,PMPI_Bcast,PMPI_Bcast,0.003221,0.004514
49,57,PMPI_Bcast,PMPI_Bcast,0.003221,0.004514
1,5,PMPI_Bcast,PMPI_Bcast,0.000586,0.004542
1,3,PMPI_Bcast,PMPI_Bcast,0.000586,0.004542
1,2,PMPI_Bcast,PMPI_Bcast,0.000586,0.004543
1,17,PMPI_Bcast,PMPI_Bcast,0.000586,0.004543
1,9,PMPI_Bcast,PMPI_Bcast,0.000586,0.004543
1,33,PMPI_Bcast,PMPI_Bcast,0.000586,0.004545
33,49,PMPI_Bcast,PMPI_Bcast,0.003222,0.004545
33,34,PMPI_Bcast,PMPI_Bcast,0.003222,0.004545
33,41,PMPI_Bcast,PMPI_Bcast,0.003222,0.004545
33,37,PMPI_Bcast,PMPI_Bcast,0.003222,0.004545
33,35,PMPI_Bcast,PMPI_Bcast,0.003222,0.004545
15,16,PMPI_Bcast,PMPI_Bcast,0.00439,0.005586
23,24,PMPI_Bcast,PMPI_Bcast,0.004418,0.005613
27,28,PMPI_Bcast,PMPI_Bcast,0.00445,0.005646
7,8,PMPI_Bcast,PMPI_Bcast,0.004452,0.005648
39,40,PMPI_Bcast,PMPI_Bcast,0.004452,0.005648
29,30,PMPI_Bcast,PMPI_Bcast,0.00445,0.005671
29,31,PMPI_Bcast,PMPI_Bcast,0.00445,0.005671
43,44,PMPI_Bcast,PMPI_Bcast,0.004483,0.005679
11,12,PMPI_Bcast,PMPI_Bcast,0.004485,0.005681
45,46,PMPI_Bcast,PMPI_Bcast,0.004483,0.005704
45,47,PMPI_Bcast,PMPI_Bcast,0.004483,0.005704
13,14,PMPI_Bcast,PMPI_Bcast,0.004485,0.005706
13,15,PMPI_Bcast,PMPI_Bcast,0.004485,0.005706
19,20,PMPI_Bcast,PMPI_Bcast,0.004514,0.005709
51,52,PMPI_Bcast,PMPI_Bcast,0.004514,0.00571
53,54,PMPI_Bcast,PMPI_Bcast,0.004514,0.005741
53,55,PMPI_Bcast,PMPI_Bcast,0.004514,0.005741
21,22,PMPI_Bcast,PMPI_Bcast,0.004514,0.005741
21,23,PMPI_Bcast,PMPI_Bcast,0.004514,0.005741
3,4,PMPI_Bcast,PMPI_Bcast,0.004542,0.005743
35,36,PMPI_Bcast,PMPI_Bcast,0.004545,0.005746
57,58,PMPI_Bcast,PMPI_Bcast,0.004514,0.005773
57,59,PMPI_Bcast,PMPI_Bcast,0.004514,0.005773
57,61,PMPI_Bcast,PMPI_Bcast,0.004514,0.005773
25,26,PMPI_Bcast,PMPI_Bcast,0.004514,0.005773
25,27,PMPI_Bcast,PMPI_Bcast,0.004514,0.005773
25,29,PMPI_Bcast,PMPI_Bcast,0.004514,0.005773
5,6,PMPI_Bcast,PMPI_Bcast,0.004542,0.005774
5,7,PMPI_Bcast,PMPI_Bcast,0.004542,0.005774
37,38,PMPI_Bcast,PMPI_Bcast,0.004545,0.005777
37,39,PMPI_Bcast,PMPI_Bcast,0.004545,0.005777
9,10,PMPI_Bcast,PMPI_Bcast,0.004543,0.005806
9,11,PMPI_Bcast,PMPI_Bcast,0.004543,0.005806
9,13,PMPI_Bcast,PMPI_Bcast,0.004543,0.005806
41,42,PMPI_Bcast,PMPI_Bcast,0.004545,0.005808
41,43,PMPI_Bcast,PMPI_Bcast,0.004545,0.005808
41,45,PMPI_Bcast,PMPI_Bcast,0.004545,0.005808
17,18,PMPI_Bcast,PMPI_Bcast,0.004543,0.005836
17,19,PMPI_Bcast,PMPI_Bcast,0.004543,0.005836
17,21,PMPI_Bcast,PMPI_Bcast,0.004543,0.005836
17,25,PMPI_Bcast,PMPI_Bcast,0.004543,0.005836
49,50,PMPI_Bcast,PMPI_Bcast,0.004545,0.005838
49,51,PMPI_Bcast,PMPI_Bcast,0.004545,0.005838
49,53,PMPI_Bcast,PMPI_Bcast,0.004545,0.005838
49,57,PMPI_Bcast,PMPI_Bcast,0.004545,0.005838
1,3,PMPI_Bcast,PMPI_Bcast,0.000586,0.005863
1,5,PMPI_Bcast,PMPI_Bcast,0.000586,0.005864
1,2,PMPI_Bcast,PMPI_Bcast,0.000586,0.005864
1,9,PMPI_Bcast,PMPI_Bcast,0.000586,0.005865
1,17,PMPI_Bcast,PMPI_Bcast,0.000586,0.005865
33,49,PMPI_Bcast,PMPI_Bcast,0.004545,0.005868
1,33,PMPI_Bcast,PMPI_Bcast,0.000586,0.005868
33,34,PMPI_Bcast,PMPI_Bcast,0.004545,0.005868
33,41,PMPI_Bcast,PMPI_Bcast,0.004545,0.005869
33,37,PMPI_Bcast,PMPI_Bcast,0.004545,0.005869
33,35,PMPI_Bcast,PMPI_Bcast,0.004545,0.005869
31,32,PMPI_Bcast,PMPI_Bcast,0.005671,0.006867
47,48,PMPI_Bcast,PMPI_Bcast,0.005704,0.0069
15,16,PMPI_Bcast,PMPI_Bcast,0.005706,0.006902
55,56,PMPI_Bcast,PMPI_Bcast,0.005741,0.006936
23,24,PMPI_Bcast,PMPI_Bcast,0.005741,0.006936
59,60,PMPI_Bcast,PMPI_Bcast,0.005773,0.006969
27,28,PMPI_Bcast,PMPI_Bcast,0.005773,0.006969
7,8,PMPI_Bcast,PMPI_Bcast,0.005774,0.00697
39,40,PMPI_Bcast,PMPI_Bcast,0.005777,0.006973
61,62,PMPI_Bcast,PMPI_Bcast,0.005773,0.006994
61,63,PMPI_Bcast,PMPI_Bcast,0.005773,0.006994
29,30,PMPI_Bcast,PMPI_Bcast,0.005773,0.006994
29,31,PMPI_Bcast,PMPI_Bcast,0.005773,0.006994
11,12,PMPI_Bcast,PMPI_Bcast,0.005806,0.007001
43,44,PMPI_Bcast,PMPI_Bcast,0.005808,0.007003
13,14,PMPI_Bcast,PMPI_Bcast,0.005806,0.007027
13,15,PMPI_Bcast,PMPI_Bcast,0.005806,0.007027
45,46,PMPI_Bcast,PMPI_Bcast,0.005808,0.007029
45,47,PMPI_Bcast,PMPI_Bcast,0.005808,0.007029
19,20,PMPI_Bcast,PMPI_Bcast,0.005836,0.007031
51,52,PMPI_Bcast,PMPI_Bcast,0.005838,0.007033
21,22,PMPI_Bcast,PMPI_Bcast,0.005836,0.007062
21,23,PMPI_Bcast,PMPI_Bcast,0.005836,0.007062
53,54,PMPI_Bcast,PMPI_Bcast,0.005838,0.007064
53,55,PMPI_Bcast,PMPI_Bcast,0.005838,0.007064
3,4,PMPI_Bcast,PMPI_Bcast,0.005863,0.007065
35,36,PMPI_Bcast,PMPI_Bcast,0.005869,0.007069
25,26,PMPI_Bcast,PMPI_Bcast,0.005836,0.007095
25,27,PMPI_Bcast,PMPI_Bcast,0.005836,0.007095
25,29,PMPI_Bcast,PMPI_Bcast,0.005836,0.007095
5,6,PMPI_Bcast,PMPI_Bcast,0.005864,0.007096
5,7,PMPI_Bcast,PMPI_Bcast,0.005864,0.007096
57,58,PMPI_Bcast,PMPI_Bcast,0.005838,0.007097
57,59,PMPI_Bcast,PMPI_Bcast,0.005838,0.007097
57,61,PMPI_Bcast,PMPI_Bcast,0.005838,0.007097
37,38,PMPI_Bcast,PMPI_Bcast,0.005869,0.0071
37,39,PMPI_Bcast,PMPI_Bcast,0.005869,0.0071
9,10,PMPI_Bcast,PMPI_Bcast,0.005865,0.007127
9,11,PMPI_Bcast,PMPI_Bcast,0.005865,0.007127
9,13,PMPI_Bcast,PMPI_Bcast,0.005865,0.007127
41,42,PMPI_Bcast,PMPI_Bcast,0.005869,0.007131
41,43,PMPI_Bcast,PMPI_Bcast,0.005869,0.007131
41,45,PMPI_Bcast,PMPI_Bcast,0.005869,0.007131
17,18,PMPI_Bcast,PMPI_Bcast,0.005865,0.007158
17,19,PMPI_Bcast,PMPI_Bcast,0.005865,0.007158
17,21,PMPI_Bcast,PMPI_Bcast,0.005865,0.007158
17,25,PMPI_Bcast,PMPI_Bcast,0.005865,0.007158
49,50,PMPI_Bcast,PMPI_Bcast,0.005868,0.007161
49,51,PMPI_Bcast,PMPI_Bcast,0.005868,0.007161
49,53,PMPI_Bcast,PMPI_Bcast,0.005868,0.007161
49,57,PMPI_Bcast,PMPI_Bcast,0.005868,0.007161
1,3,PMPI_Bcast,PMPI_Bcast,0.000586,0.007183
1,5,PMPI_Bcast,PMPI_Bcast,0.000586,0.007184
1,2,PMPI_Bcast,PMPI_Bcast,0.000586,0.007185
1,17,PMPI_Bcast,PMPI_Bcast,0.000586,0.007186
1,9,PMPI_Bcast,PMPI_Bcast,0.000586,0.007186
33,34,PMPI_Bcast,PMPI_Bcast,0.005868,0.007191
33,49,PMPI_Bcast,PMPI_Bcast,0.005868,0.007192
1,33,PMPI_Bcast,PMPI_Bcast,0.000586,0.007192
33,41,PMPI_Bcast,PMPI_Bcast,0.005868,0.007192
33,37,PMPI_Bcast,PMPI_Bcast,0.005868,0.007192
33,35,PMPI_Bcast,PMPI_Bcast,0.005868,0.007192
63,64,PMPI_Bcast,PMPI_Bcast,0.006994,0.00819
31,32,PMPI_Bcast,PMPI_Bcast,0.006994,0.00819
15,16,PMPI_Bcast,PMPI_Bcast,0.007027,0.008223
47,48,PMPI_Bcast,PMPI_Bcast,0.007029,0.008225
23,24,PMPI_Bcast,PMPI_Bcast,0.007062,0.008258
55,56,PMPI_Bcast,PMPI_Bcast,0.007064,0.00826
27,28,PMPI_Bcast,PMPI_Bcast,0.007095,0.00829
7,8,PMPI_Bcast,PMPI_Bcast,0.007096,0.008291
59,60,PMPI_Bcast,PMPI_Bcast,0.007097,0.008292
39,40,PMPI_Bcast,PMPI_Bcast,0.0071,0.008296
29,30,PMPI_Bcast,PMPI_Bcast,0.007095,0.008316
29,31,PMPI_Bcast,PMPI_Bcast,0.007095,0.008316
61,62,PMPI_Bcast,PMPI_Bcast,0.007097,0.008318
61,63,PMPI_Bcast,PMPI_Bcast,0.007097,0.008318
11,12,PMPI_Bcast,PMPI_Bcast,0.007127,0.008323
43,44,PMPI_Bcast,PMPI_Bcast,0.007131,0.008326
13,14,PMPI_Bcast,PMPI_Bcast,0.007127,0.008348
13,15,PMPI_Bcast,PMPI_Bcast,0.007127,0.008348
45,46,PMPI_Bcast,PMPI_Bcast,0.007131,0.008352
45,47,PMPI_Bcast,PMPI_Bcast,0.007131,0.008352
19,20,PMPI_Bcast,PMPI_Bcast,0.007158,0.008354
51,52,PMPI_Bcast,PMPI_Bcast,0.007161,0.008357
3,4,PMPI_Bcast,PMPI_Bcast,0.007183,0.008385
21,22,PMPI_Bcast,PMPI_Bcast,0.007158,0.008385
21,23,PMPI_Bcast,PMPI_Bcast,0.007158,0.008385
53,54,PMPI_Bcast,PMPI_Bcast,0.007161,0.008388
53,55,PMPI_Bcast,PMPI_Bcast,0.007161,0.008388
35,36,PMPI_Bcast,PMPI_Bcast,0.007192,0.008393
5,6,PMPI_Bcast,PMPI_Bcast,0.007184,0.008416
5,7,PMPI_Bcast,PMPI_Bcast,0.007184,0.008416
25,26,PMPI_Bcast,PMPI_Bcast,0.007158,0.008418
25,27,PMPI_Bcast,PMPI_Bcast,0.007158,0.008418
25,29,PMPI_Bcast,PMPI_Bcast,0.007158,0.008418
57,58,PMPI_Bcast,PMPI_Bcast,0.007161,0.00842
57,59,PMPI_Bcast,PMPI_Bcast,0.007161,0.00842
