Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.00046,0.000703
1,3,PMPI_Bcast,PMPI_Bcast,0.00046,0.000703
1,5,PMPI_Bcast,PMPI_Bcast,0.00046,0.000898
1,9,PMPI_Bcast,PMPI_Bcast,0.00046,0.000898
3,4,PMPI_Bcast,PMPI_Bcast,0.000703,0.000923
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.000948
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.000948
5,6,PMPI_Bcast,PMPI_Bcast,0.000898,0.001142
5,7,PMPI_Bcast,PMPI_Bcast,0.000898,0.001142
9,10,PMPI_Bcast,PMPI_Bcast,0.000898,0.001142
9,11,PMPI_Bcast,PMPI_Bcast,0.000898,0.001142
3,4,PMPI_Bcast,PMPI_Bcast,0.000948,0.001168
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.001192
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.001192
9,13,PMPI_Bcast,PMPI_Bcast,0.000898,0.001313
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.001336
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.001337
11,12,PMPI_Bcast,PMPI_Bcast,0.001142,0.001361
7,8,PMPI_Bcast,PMPI_Bcast,0.001142,0.001361
3,4,PMPI_Bcast,PMPI_Bcast,0.001192,0.001412
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.001435
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.001435
13,14,PMPI_Bcast,PMPI_Bcast,0.001313,0.001557
13,15,PMPI_Bcast,PMPI_Bcast,0.001313,0.001557
9,10,PMPI_Bcast,PMPI_Bcast,0.001336,0.00158
9,11,PMPI_Bcast,PMPI_Bcast,0.001336,0.00158
5,6,PMPI_Bcast,PMPI_Bcast,0.001337,0.001581
5,7,PMPI_Bcast,PMPI_Bcast,0.001337,0.001581
3,4,PMPI_Bcast,PMPI_Bcast,0.001435,0.001655
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.001679
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.001679
9,13,PMPI_Bcast,PMPI_Bcast,0.001336,0.001751
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.001774
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.001775
15,16,PMPI_Bcast,PMPI_Bcast,0.001557,0.001777
11,12,PMPI_Bcast,PMPI_Bcast,0.00158,0.001799
7,8,PMPI_Bcast,PMPI_Bcast,0.001581,0.0018
3,4,PMPI_Bcast,PMPI_Bcast,0.001679,0.001899
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.001922
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.001922
13,14,PMPI_Bcast,PMPI_Bcast,0.001751,0.001995
13,15,PMPI_Bcast,PMPI_Bcast,0.001751,0.001995
9,10,PMPI_Bcast,PMPI_Bcast,0.001774,0.002018
9,11,PMPI_Bcast,PMPI_Bcast,0.001774,0.002018
5,6,PMPI_Bcast,PMPI_Bcast,0.001775,0.002019
5,7,PMPI_Bcast,PMPI_Bcast,0.001775,0.002019
3,4,PMPI_Bcast,PMPI_Bcast,0.001922,0.002142
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.002167
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.002167
9,13,PMPI_Bcast,PMPI_Bcast,0.001774,0.002189
15,16,PMPI_Bcast,PMPI_Bcast,0.001995,0.002214
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.002214
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.002215
11,12,PMPI_Bcast,PMPI_Bcast,0.002018,0.002237
7,8,PMPI_Bcast,PMPI_Bcast,0.002019,0.002238
3,4,PMPI_Bcast,PMPI_Bcast,0.002167,0.002387
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.00241
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.00241
13,14,PMPI_Bcast,PMPI_Bcast,0.002189,0.002433
13,15,PMPI_Bcast,PMPI_Bcast,0.002189,0.002433
9,10,PMPI_Bcast,PMPI_Bcast,0.002214,0.002458
9,11,PMPI_Bcast,PMPI_Bcast,0.002214,0.002458
5,6,PMPI_Bcast,PMPI_Bcast,0.002215,0.002458
5,7,PMPI_Bcast,PMPI_Bcast,0.002215,0.002458
9,13,PMPI_Bcast,PMPI_Bcast,0.002214,0.002629
3,4,PMPI_Bcast,PMPI_Bcast,0.00241,0.00263
15,16,PMPI_Bcast,PMPI_Bcast,0.002433,0.002652
11,12,PMPI_Bcast,PMPI_Bcast,0.002458,0.002678
7,8,PMPI_Bcast,PMPI_Bcast,0.002458,0.002678
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.002678
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.002678
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.002702
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.002702
13,14,PMPI_Bcast,PMPI_Bcast,0.002629,0.002873
13,15,PMPI_Bcast,PMPI_Bcast,0.002629,0.002873
3,4,PMPI_Bcast,PMPI_Bcast,0.002678,0.002898
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.002922
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.002922
9,10,PMPI_Bcast,PMPI_Bcast,0.002702,0.002945
9,11,PMPI_Bcast,PMPI_Bcast,0.002702,0.002945
5,6,PMPI_Bcast,PMPI_Bcast,0.002702,0.002946
5,7,PMPI_Bcast,PMPI_Bcast,0.002702,0.002946
15,16,PMPI_Bcast,PMPI_Bcast,0.002873,0.003092
9,13,PMPI_Bcast,PMPI_Bcast,0.002702,0.003117
3,4,PMPI_Bcast,PMPI_Bcast,0.002922,0.003141
11,12,PMPI_Bcast,PMPI_Bcast,0.002945,0.003165
7,8,PMPI_Bcast,PMPI_Bcast,0.002946,0.003165
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.003187
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.003188
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.003189
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.003189
13,14,PMPI_Bcast,PMPI_Bcast,0.003117,0.00336
13,15,PMPI_Bcast,PMPI_Bcast,0.003117,0.00336
3,4,PMPI_Bcast,PMPI_Bcast,0.003189,0.003409
9,10,PMPI_Bcast,PMPI_Bcast,0.003187,0.003431
9,11,PMPI_Bcast,PMPI_Bcast,0.003187,0.003431
5,6,PMPI_Bcast,PMPI_Bcast,0.003188,0.003432
5,7,PMPI_Bcast,PMPI_Bcast,0.003188,0.003432
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.003433
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.003433
15,16,PMPI_Bcast,PMPI_Bcast,0.00336,0.00358
9,13,PMPI_Bcast,PMPI_Bcast,0.003187,0.003602
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.003625
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.003626
11,12,PMPI_Bcast,PMPI_Bcast,0.003431,0.00365
7,8,PMPI_Bcast,PMPI_Bcast,0.003432,0.003651
3,4,PMPI_Bcast,PMPI_Bcast,0.003433,0.003653
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.003676
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.003676
13,14,PMPI_Bcast,PMPI_Bcast,0.003602,0.003846
13,15,PMPI_Bcast,PMPI_Bcast,0.003602,0.003846
9,10,PMPI_Bcast,PMPI_Bcast,0.003625,0.003869
9,11,PMPI_Bcast,PMPI_Bcast,0.003625,0.003869
5,6,PMPI_Bcast,PMPI_Bcast,0.003626,0.00387
5,7,PMPI_Bcast,PMPI_Bcast,0.003626,0.00387
3,4,PMPI_Bcast,PMPI_Bcast,0.003676,0.003896
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.00392
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.00392
9,13,PMPI_Bcast,PMPI_Bcast,0.003625,0.00404
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.004063
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.004064
15,16,PMPI_Bcast,PMPI_Bcast,0.003846,0.004066
11,12,PMPI_Bcast,PMPI_Bcast,0.003869,0.004088
7,8,PMPI_Bcast,PMPI_Bcast,0.00387,0.004089
3,4,PMPI_Bcast,PMPI_Bcast,0.00392,0.00414
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.004163
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.004163
13,14,PMPI_Bcast,PMPI_Bcast,0.00404,0.004284
13,15,PMPI_Bcast,PMPI_Bcast,0.00404,0.004284
9,10,PMPI_Bcast,PMPI_Bcast,0.004063,0.004307
9,11,PMPI_Bcast,PMPI_Bcast,0.004063,0.004307
5,6,PMPI_Bcast,PMPI_Bcast,0.004064,0.004308
