Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,17,PMPI_Bcast,PMPI_Bcast,0.000425,0.000547
1,5,PMPI_Bcast,PMPI_Bcast,0.000425,0.000547
1,2,PMPI_Bcast,PMPI_Bcast,0.000425,0.000557
1,33,PMPI_Bcast,PMPI_Bcast,0.000425,0.000645
1,9,PMPI_Bcast,PMPI_Bcast,0.000425,0.000645
1,3,PMPI_Bcast,PMPI_Bcast,0.000425,0.000645
17,21,PMPI_Bcast,PMPI_Bcast,0.000547,0.000669
5,6,PMPI_Bcast,PMPI_Bcast,0.000547,0.000669
17,18,PMPI_Bcast,PMPI_Bcast,0.000547,0.000669
1,17,PMPI_Bcast,PMPI_Bcast,0.000427,0.00067
1,5,PMPI_Bcast,PMPI_Bcast,0.000427,0.000671
1,2,PMPI_Bcast,PMPI_Bcast,0.000427,0.000681
33,49,PMPI_Bcast,PMPI_Bcast,0.000645,0.000766
9,13,PMPI_Bcast,PMPI_Bcast,0.000645,0.000766
3,4,PMPI_Bcast,PMPI_Bcast,0.000645,0.000766
33,37,PMPI_Bcast,PMPI_Bcast,0.000645,0.000766
9,10,PMPI_Bcast,PMPI_Bcast,0.000645,0.000766
33,34,PMPI_Bcast,PMPI_Bcast,0.000645,0.000766
17,25,PMPI_Bcast,PMPI_Bcast,0.000547,0.000766
5,7,PMPI_Bcast,PMPI_Bcast,0.000547,0.000766
17,19,PMPI_Bcast,PMPI_Bcast,0.000547,0.000766
21,22,PMPI_Bcast,PMPI_Bcast,0.000669,0.000791
17,21,PMPI_Bcast,PMPI_Bcast,0.00067,0.000792
17,18,PMPI_Bcast,PMPI_Bcast,0.00067,0.000792
1,17,PMPI_Bcast,PMPI_Bcast,0.000428,0.000792
5,6,PMPI_Bcast,PMPI_Bcast,0.000671,0.000792
1,5,PMPI_Bcast,PMPI_Bcast,0.000428,0.000792
1,2,PMPI_Bcast,PMPI_Bcast,0.000428,0.000802
33,41,PMPI_Bcast,PMPI_Bcast,0.000645,0.000864
9,11,PMPI_Bcast,PMPI_Bcast,0.000645,0.000864
33,35,PMPI_Bcast,PMPI_Bcast,0.000645,0.000864
1,33,PMPI_Bcast,PMPI_Bcast,0.000427,0.000864
1,9,PMPI_Bcast,PMPI_Bcast,0.000427,0.000865
1,3,PMPI_Bcast,PMPI_Bcast,0.000427,0.000865
25,29,PMPI_Bcast,PMPI_Bcast,0.000766,0.000888
7,8,PMPI_Bcast,PMPI_Bcast,0.000766,0.000888
19,20,PMPI_Bcast,PMPI_Bcast,0.000766,0.000888
49,53,PMPI_Bcast,PMPI_Bcast,0.000766,0.000888
13,14,PMPI_Bcast,PMPI_Bcast,0.000766,0.000888
37,38,PMPI_Bcast,PMPI_Bcast,0.000766,0.000888
25,26,PMPI_Bcast,PMPI_Bcast,0.000766,0.000888
49,50,PMPI_Bcast,PMPI_Bcast,0.000766,0.000888
21,23,PMPI_Bcast,PMPI_Bcast,0.000669,0.000888
17,21,PMPI_Bcast,PMPI_Bcast,0.000792,0.000914
17,18,PMPI_Bcast,PMPI_Bcast,0.000792,0.000914
1,17,PMPI_Bcast,PMPI_Bcast,0.000428,0.000914
21,22,PMPI_Bcast,PMPI_Bcast,0.000792,0.000914
5,6,PMPI_Bcast,PMPI_Bcast,0.000792,0.000914
1,5,PMPI_Bcast,PMPI_Bcast,0.000428,0.000914
1,2,PMPI_Bcast,PMPI_Bcast,0.000428,0.000924
41,45,PMPI_Bcast,PMPI_Bcast,0.000864,0.000986
11,12,PMPI_Bcast,PMPI_Bcast,0.000864,0.000986
35,36,PMPI_Bcast,PMPI_Bcast,0.000864,0.000986
33,49,PMPI_Bcast,PMPI_Bcast,0.000864,0.000986
41,42,PMPI_Bcast,PMPI_Bcast,0.000864,0.000986
33,37,PMPI_Bcast,PMPI_Bcast,0.000864,0.000986
33,34,PMPI_Bcast,PMPI_Bcast,0.000864,0.000986
49,57,PMPI_Bcast,PMPI_Bcast,0.000766,0.000986
