Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,17,PMPI_Bcast,PMPI_Bcast,0.000676,0.000678
1,5,PMPI_Bcast,PMPI_Bcast,0.000676,0.000678
1,2,PMPI_Bcast,PMPI_Bcast,0.000676,0.000678
1,3,PMPI_Bcast,PMPI_Bcast,0.000676,0.00068
17,21,PMPI_Bcast,PMPI_Bcast,0.000678,0.00068
5,6,PMPI_Bcast,PMPI_Bcast,0.000678,0.00068
17,18,PMPI_Bcast,PMPI_Bcast,0.000678,0.00068
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.00068
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.000682
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.000682
17,25,PMPI_Bcast,PMPI_Bcast,0.000678,0.000682
5,7,PMPI_Bcast,PMPI_Bcast,0.000678,0.000682
17,19,PMPI_Bcast,PMPI_Bcast,0.000678,0.000682
3,4,PMPI_Bcast,PMPI_Bcast,0.00068,0.000682
21,22,PMPI_Bcast,PMPI_Bcast,0.00068,0.000682
17,21,PMPI_Bcast,PMPI_Bcast,0.00068,0.000682
17,18,PMPI_Bcast,PMPI_Bcast,0.00068,0.000682
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000682
5,6,PMPI_Bcast,PMPI_Bcast,0.000682,0.000684
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.000684
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.000684
21,23,PMPI_Bcast,PMPI_Bcast,0.00068,0.000684
25,29,PMPI_Bcast,PMPI_Bcast,0.000682,0.000684
7,8,PMPI_Bcast,PMPI_Bcast,0.000682,0.000684
19,20,PMPI_Bcast,PMPI_Bcast,0.000682,0.000684
25,26,PMPI_Bcast,PMPI_Bcast,0.000682,0.000684
21,22,PMPI_Bcast,PMPI_Bcast,0.000682,0.000685
17,21,PMPI_Bcast,PMPI_Bcast,0.000682,0.000685
17,18,PMPI_Bcast,PMPI_Bcast,0.000682,0.000685
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000685
1,3,PMPI_Bcast,PMPI_Bcast,0.000678,0.000686
5,6,PMPI_Bcast,PMPI_Bcast,0.000684,0.000686
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.000686
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.000686
25,27,PMPI_Bcast,PMPI_Bcast,0.000682,0.000686
5,7,PMPI_Bcast,PMPI_Bcast,0.000682,0.000686
17,19,PMPI_Bcast,PMPI_Bcast,0.00068,0.000686
17,25,PMPI_Bcast,PMPI_Bcast,0.00068,0.000686
23,24,PMPI_Bcast,PMPI_Bcast,0.000684,0.000686
29,30,PMPI_Bcast,PMPI_Bcast,0.000684,0.000686
21,22,PMPI_Bcast,PMPI_Bcast,0.000685,0.000687
17,21,PMPI_Bcast,PMPI_Bcast,0.000685,0.000687
17,18,PMPI_Bcast,PMPI_Bcast,0.000685,0.000687
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000687
3,4,PMPI_Bcast,PMPI_Bcast,0.000686,0.000688
5,6,PMPI_Bcast,PMPI_Bcast,0.000686,0.000688
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.000688
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.000688
29,31,PMPI_Bcast,PMPI_Bcast,0.000684,0.000688
27,28,PMPI_Bcast,PMPI_Bcast,0.000686,0.000688
7,8,PMPI_Bcast,PMPI_Bcast,0.000686,0.000688
19,20,PMPI_Bcast,PMPI_Bcast,0.000686,0.000688
25,29,PMPI_Bcast,PMPI_Bcast,0.000686,0.000688
25,26,PMPI_Bcast,PMPI_Bcast,0.000686,0.000688
21,22,PMPI_Bcast,PMPI_Bcast,0.000687,0.000689
17,21,PMPI_Bcast,PMPI_Bcast,0.000687,0.000689
17,18,PMPI_Bcast,PMPI_Bcast,0.000687,0.000689
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000689
21,23,PMPI_Bcast,PMPI_Bcast,0.000682,0.00069
5,6,PMPI_Bcast,PMPI_Bcast,0.000688,0.00069
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.00069
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.00069
5,7,PMPI_Bcast,PMPI_Bcast,0.000684,0.00069
25,27,PMPI_Bcast,PMPI_Bcast,0.000686,0.00069
31,32,PMPI_Bcast,PMPI_Bcast,0.000688,0.000691
29,30,PMPI_Bcast,PMPI_Bcast,0.000688,0.000691
1,3,PMPI_Bcast,PMPI_Bcast,0.000678,0.000691
21,22,PMPI_Bcast,PMPI_Bcast,0.000689,0.000691
17,21,PMPI_Bcast,PMPI_Bcast,0.000689,0.000691
17,18,PMPI_Bcast,PMPI_Bcast,0.000689,0.000691
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000691
17,25,PMPI_Bcast,PMPI_Bcast,0.000682,0.000692
23,24,PMPI_Bcast,PMPI_Bcast,0.00069,0.000692
5,6,PMPI_Bcast,PMPI_Bcast,0.00069,0.000692
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.000692
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.000692
29,31,PMPI_Bcast,PMPI_Bcast,0.000688,0.000692
7,8,PMPI_Bcast,PMPI_Bcast,0.00069,0.000692
27,28,PMPI_Bcast,PMPI_Bcast,0.00069,0.000692
3,4,PMPI_Bcast,PMPI_Bcast,0.000691,0.000693
21,22,PMPI_Bcast,PMPI_Bcast,0.000691,0.000693
17,21,PMPI_Bcast,PMPI_Bcast,0.000691,0.000693
17,18,PMPI_Bcast,PMPI_Bcast,0.000691,0.000693
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000693
21,23,PMPI_Bcast,PMPI_Bcast,0.000685,0.000694
25,29,PMPI_Bcast,PMPI_Bcast,0.000692,0.000694
25,26,PMPI_Bcast,PMPI_Bcast,0.000692,0.000694
5,6,PMPI_Bcast,PMPI_Bcast,0.000692,0.000694
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.000694
5,7,PMPI_Bcast,PMPI_Bcast,0.000686,0.000694
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.000694
31,32,PMPI_Bcast,PMPI_Bcast,0.000692,0.000695
1,3,PMPI_Bcast,PMPI_Bcast,0.000678,0.000695
21,22,PMPI_Bcast,PMPI_Bcast,0.000693,0.000695
17,21,PMPI_Bcast,PMPI_Bcast,0.000693,0.000695
17,18,PMPI_Bcast,PMPI_Bcast,0.000693,0.000695
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000695
17,19,PMPI_Bcast,PMPI_Bcast,0.000682,0.000695
25,27,PMPI_Bcast,PMPI_Bcast,0.000692,0.000696
17,25,PMPI_Bcast,PMPI_Bcast,0.000685,0.000696
23,24,PMPI_Bcast,PMPI_Bcast,0.000694,0.000696
29,30,PMPI_Bcast,PMPI_Bcast,0.000694,0.000696
5,6,PMPI_Bcast,PMPI_Bcast,0.000694,0.000696
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.000696
7,8,PMPI_Bcast,PMPI_Bcast,0.000694,0.000696
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.000697
3,4,PMPI_Bcast,PMPI_Bcast,0.000695,0.000697
21,22,PMPI_Bcast,PMPI_Bcast,0.000695,0.000697
17,21,PMPI_Bcast,PMPI_Bcast,0.000695,0.000697
17,18,PMPI_Bcast,PMPI_Bcast,0.000695,0.000697
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000697
19,20,PMPI_Bcast,PMPI_Bcast,0.000695,0.000697
21,23,PMPI_Bcast,PMPI_Bcast,0.000687,0.000698
29,31,PMPI_Bcast,PMPI_Bcast,0.000694,0.000698
27,28,PMPI_Bcast,PMPI_Bcast,0.000696,0.000698
25,29,PMPI_Bcast,PMPI_Bcast,0.000696,0.000698
25,26,PMPI_Bcast,PMPI_Bcast,0.000696,0.000698
5,6,PMPI_Bcast,PMPI_Bcast,0.000696,0.000698
1,5,PMPI_Bcast,PMPI_Bcast,0.000678,0.000698
5,7,PMPI_Bcast,PMPI_Bcast,0.000688,0.000698
1,2,PMPI_Bcast,PMPI_Bcast,0.000678,0.000699
1,3,PMPI_Bcast,PMPI_Bcast,0.000678,0.000699
21,22,PMPI_Bcast,PMPI_Bcast,0.000697,0.000699
17,21,PMPI_Bcast,PMPI_Bcast,0.000697,0.000699
17,18,PMPI_Bcast,PMPI_Bcast,0.000697,0.000699
1,17,PMPI_Bcast,PMPI_Bcast,0.000678,0.000699
17,19,PMPI_Bcast,PMPI_Bcast,0.000685,0.000699
25,27,PMPI_Bcast,PMPI_Bcast,0.000696,0.0007
17,25,PMPI_Bcast,PMPI_Bcast,0.000687,0.0007
23,24,PMPI_Bcast,PMPI_Bcast,0.000698,0.0007
31,32,PMPI_Bcast,PMPI_Bcast,0.000698,0.0007
