Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000445,0.000691
1,3,PMPI_Bcast,PMPI_Bcast,0.000445,0.000691
1,17,PMPI_Bcast,PMPI_Bcast,0.000445,0.000805
1,5,PMPI_Bcast,PMPI_Bcast,0.000445,0.000808
1,9,PMPI_Bcast,PMPI_Bcast,0.000445,0.000814
1,33,PMPI_Bcast,PMPI_Bcast,0.000445,0.00086
1,3,PMPI_Bcast,PMPI_Bcast,0.000446,0.000962
3,4,PMPI_Bcast,PMPI_Bcast,0.000691,0.000962
1,2,PMPI_Bcast,PMPI_Bcast,0.000446,0.000962
17,18,PMPI_Bcast,PMPI_Bcast,0.000805,0.001051
17,19,PMPI_Bcast,PMPI_Bcast,0.000805,0.001051
5,6,PMPI_Bcast,PMPI_Bcast,0.000808,0.001054
5,7,PMPI_Bcast,PMPI_Bcast,0.000808,0.001054
9,10,PMPI_Bcast,PMPI_Bcast,0.000814,0.00106
9,11,PMPI_Bcast,PMPI_Bcast,0.000814,0.00106
33,34,PMPI_Bcast,PMPI_Bcast,0.00086,0.001106
33,35,PMPI_Bcast,PMPI_Bcast,0.00086,0.001106
9,13,PMPI_Bcast,PMPI_Bcast,0.000814,0.001144
1,17,PMPI_Bcast,PMPI_Bcast,0.000446,0.001173
1,5,PMPI_Bcast,PMPI_Bcast,0.000446,0.001198
1,9,PMPI_Bcast,PMPI_Bcast,0.000446,0.001213
33,49,PMPI_Bcast,PMPI_Bcast,0.00086,0.001227
33,37,PMPI_Bcast,PMPI_Bcast,0.00086,0.001229
33,41,PMPI_Bcast,PMPI_Bcast,0.00086,0.001229
1,3,PMPI_Bcast,PMPI_Bcast,0.000446,0.001252
3,4,PMPI_Bcast,PMPI_Bcast,0.000962,0.001252
1,2,PMPI_Bcast,PMPI_Bcast,0.000446,0.001252
11,12,PMPI_Bcast,PMPI_Bcast,0.00106,0.001289
19,20,PMPI_Bcast,PMPI_Bcast,0.001051,0.001299
7,8,PMPI_Bcast,PMPI_Bcast,0.001054,0.001301
17,25,PMPI_Bcast,PMPI_Bcast,0.000805,0.001304
17,21,PMPI_Bcast,PMPI_Bcast,0.000805,0.001306
1,33,PMPI_Bcast,PMPI_Bcast,0.000446,0.001334
35,36,PMPI_Bcast,PMPI_Bcast,0.001106,0.001339
13,14,PMPI_Bcast,PMPI_Bcast,0.001144,0.00139
13,15,PMPI_Bcast,PMPI_Bcast,0.001144,0.00139
17,18,PMPI_Bcast,PMPI_Bcast,0.001173,0.001419
17,19,PMPI_Bcast,PMPI_Bcast,0.001173,0.001419
5,6,PMPI_Bcast,PMPI_Bcast,0.001198,0.001444
5,7,PMPI_Bcast,PMPI_Bcast,0.001198,0.001444
9,10,PMPI_Bcast,PMPI_Bcast,0.001213,0.001459
9,11,PMPI_Bcast,PMPI_Bcast,0.001213,0.001459
49,50,PMPI_Bcast,PMPI_Bcast,0.001227,0.001473
49,51,PMPI_Bcast,PMPI_Bcast,0.001227,0.001473
37,38,PMPI_Bcast,PMPI_Bcast,0.001229,0.001476
37,39,PMPI_Bcast,PMPI_Bcast,0.001229,0.001476
41,42,PMPI_Bcast,PMPI_Bcast,0.001229,0.001476
41,43,PMPI_Bcast,PMPI_Bcast,0.001229,0.001476
9,13,PMPI_Bcast,PMPI_Bcast,0.001213,0.001535
41,45,PMPI_Bcast,PMPI_Bcast,0.001229,0.001548
25,26,PMPI_Bcast,PMPI_Bcast,0.001304,0.00155
25,27,PMPI_Bcast,PMPI_Bcast,0.001304,0.00155
21,22,PMPI_Bcast,PMPI_Bcast,0.001306,0.001552
21,23,PMPI_Bcast,PMPI_Bcast,0.001306,0.001552
1,3,PMPI_Bcast,PMPI_Bcast,0.000446,0.001554
3,4,PMPI_Bcast,PMPI_Bcast,0.001252,0.001554
1,2,PMPI_Bcast,PMPI_Bcast,0.000446,0.001554
33,34,PMPI_Bcast,PMPI_Bcast,0.001334,0.00158
33,35,PMPI_Bcast,PMPI_Bcast,0.001334,0.00158
1,17,PMPI_Bcast,PMPI_Bcast,0.000446,0.001586
1,5,PMPI_Bcast,PMPI_Bcast,0.000446,0.001598
1,9,PMPI_Bcast,PMPI_Bcast,0.000446,0.0016
15,16,PMPI_Bcast,PMPI_Bcast,0.00139,0.001611
19,20,PMPI_Bcast,PMPI_Bcast,0.001419,0.001639
7,8,PMPI_Bcast,PMPI_Bcast,0.001444,0.001665
11,12,PMPI_Bcast,PMPI_Bcast,0.001459,0.00168
33,37,PMPI_Bcast,PMPI_Bcast,0.001334,0.001705
33,41,PMPI_Bcast,PMPI_Bcast,0.001334,0.001705
33,49,PMPI_Bcast,PMPI_Bcast,0.001334,0.001713
39,40,PMPI_Bcast,PMPI_Bcast,0.001476,0.001716
43,44,PMPI_Bcast,PMPI_Bcast,0.001476,0.001716
49,53,PMPI_Bcast,PMPI_Bcast,0.001227,0.001717
49,57,PMPI_Bcast,PMPI_Bcast,0.001227,0.001717
51,52,PMPI_Bcast,PMPI_Bcast,0.001473,0.001725
