Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.000471
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.000471
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.000474
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000479
3,4,PMPI_Bcast,PMPI_Bcast,0.000471,0.000479
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.00048
5,6,PMPI_Bcast,PMPI_Bcast,0.000474,0.000482
5,7,PMPI_Bcast,PMPI_Bcast,0.000474,0.000482
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000486
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000487
3,4,PMPI_Bcast,PMPI_Bcast,0.000479,0.000488
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000488
7,8,PMPI_Bcast,PMPI_Bcast,0.000482,0.00049
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000494
5,6,PMPI_Bcast,PMPI_Bcast,0.000487,0.000495
5,7,PMPI_Bcast,PMPI_Bcast,0.000487,0.000495
3,4,PMPI_Bcast,PMPI_Bcast,0.000486,0.000496
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000496
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000499
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000502
7,8,PMPI_Bcast,PMPI_Bcast,0.000495,0.000503
3,4,PMPI_Bcast,PMPI_Bcast,0.000494,0.000504
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000504
5,6,PMPI_Bcast,PMPI_Bcast,0.000499,0.000507
5,7,PMPI_Bcast,PMPI_Bcast,0.000499,0.000507
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.00051
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000511
3,4,PMPI_Bcast,PMPI_Bcast,0.000502,0.000512
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000512
7,8,PMPI_Bcast,PMPI_Bcast,0.000507,0.000515
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000518
5,6,PMPI_Bcast,PMPI_Bcast,0.000511,0.000519
5,7,PMPI_Bcast,PMPI_Bcast,0.000511,0.000519
3,4,PMPI_Bcast,PMPI_Bcast,0.00051,0.00052
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.00052
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.000521
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000523
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000526
7,8,PMPI_Bcast,PMPI_Bcast,0.000519,0.000527
3,4,PMPI_Bcast,PMPI_Bcast,0.000518,0.000528
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000528
9,10,PMPI_Bcast,PMPI_Bcast,0.000521,0.000529
9,11,PMPI_Bcast,PMPI_Bcast,0.000521,0.000529
5,6,PMPI_Bcast,PMPI_Bcast,0.000523,0.000531
5,7,PMPI_Bcast,PMPI_Bcast,0.000523,0.000531
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000534
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000535
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000535
3,4,PMPI_Bcast,PMPI_Bcast,0.000526,0.000536
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000536
11,12,PMPI_Bcast,PMPI_Bcast,0.000529,0.000537
7,8,PMPI_Bcast,PMPI_Bcast,0.000531,0.000539
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000542
9,10,PMPI_Bcast,PMPI_Bcast,0.000535,0.000543
9,11,PMPI_Bcast,PMPI_Bcast,0.000535,0.000543
5,6,PMPI_Bcast,PMPI_Bcast,0.000535,0.000543
5,7,PMPI_Bcast,PMPI_Bcast,0.000535,0.000543
3,4,PMPI_Bcast,PMPI_Bcast,0.000534,0.000544
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000544
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000546
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000547
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.00055
11,12,PMPI_Bcast,PMPI_Bcast,0.000543,0.000551
7,8,PMPI_Bcast,PMPI_Bcast,0.000543,0.000551
3,4,PMPI_Bcast,PMPI_Bcast,0.000542,0.000552
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000552
9,10,PMPI_Bcast,PMPI_Bcast,0.000546,0.000554
9,11,PMPI_Bcast,PMPI_Bcast,0.000546,0.000554
5,6,PMPI_Bcast,PMPI_Bcast,0.000547,0.000555
5,7,PMPI_Bcast,PMPI_Bcast,0.000547,0.000555
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000558
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000558
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000558
3,4,PMPI_Bcast,PMPI_Bcast,0.00055,0.00056
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.00056
11,12,PMPI_Bcast,PMPI_Bcast,0.000554,0.000562
7,8,PMPI_Bcast,PMPI_Bcast,0.000555,0.000562
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000566
9,10,PMPI_Bcast,PMPI_Bcast,0.000558,0.000566
9,11,PMPI_Bcast,PMPI_Bcast,0.000558,0.000566
5,6,PMPI_Bcast,PMPI_Bcast,0.000558,0.000566
5,7,PMPI_Bcast,PMPI_Bcast,0.000558,0.000566
3,4,PMPI_Bcast,PMPI_Bcast,0.000558,0.000568
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000568
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.00057
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.00057
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000574
11,12,PMPI_Bcast,PMPI_Bcast,0.000566,0.000574
7,8,PMPI_Bcast,PMPI_Bcast,0.000566,0.000574
3,4,PMPI_Bcast,PMPI_Bcast,0.000566,0.000576
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000576
9,10,PMPI_Bcast,PMPI_Bcast,0.00057,0.000578
9,11,PMPI_Bcast,PMPI_Bcast,0.00057,0.000578
5,6,PMPI_Bcast,PMPI_Bcast,0.00057,0.000578
5,7,PMPI_Bcast,PMPI_Bcast,0.00057,0.000578
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000582
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000582
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000582
3,4,PMPI_Bcast,PMPI_Bcast,0.000574,0.000584
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000584
11,12,PMPI_Bcast,PMPI_Bcast,0.000578,0.000586
7,8,PMPI_Bcast,PMPI_Bcast,0.000578,0.000586
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.00059
9,10,PMPI_Bcast,PMPI_Bcast,0.000582,0.00059
9,11,PMPI_Bcast,PMPI_Bcast,0.000582,0.00059
5,6,PMPI_Bcast,PMPI_Bcast,0.000582,0.00059
5,7,PMPI_Bcast,PMPI_Bcast,0.000582,0.00059
3,4,PMPI_Bcast,PMPI_Bcast,0.000582,0.000592
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000592
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000594
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000594
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000598
11,12,PMPI_Bcast,PMPI_Bcast,0.00059,0.000598
7,8,PMPI_Bcast,PMPI_Bcast,0.00059,0.000598
3,4,PMPI_Bcast,PMPI_Bcast,0.00059,0.0006
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.0006
9,10,PMPI_Bcast,PMPI_Bcast,0.000594,0.000602
9,11,PMPI_Bcast,PMPI_Bcast,0.000594,0.000602
5,6,PMPI_Bcast,PMPI_Bcast,0.000594,0.000602
5,7,PMPI_Bcast,PMPI_Bcast,0.000594,0.000602
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000605
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000606
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000606
3,4,PMPI_Bcast,PMPI_Bcast,0.000598,0.000608
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000608
11,12,PMPI_Bcast,PMPI_Bcast,0.000602,0.00061
7,8,PMPI_Bcast,PMPI_Bcast,0.000602,0.00061
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000613
9,10,PMPI_Bcast,PMPI_Bcast,0.000606,0.000614
9,11,PMPI_Bcast,PMPI_Bcast,0.000606,0.000614
5,6,PMPI_Bcast,PMPI_Bcast,0.000606,0.000614
5,7,PMPI_Bcast,PMPI_Bcast,0.000606,0.000614
3,4,PMPI_Bcast,PMPI_Bcast,0.000605,0.000616
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000616
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000618
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000618
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000621
11,12,PMPI_Bcast,PMPI_Bcast,0.000614,0.000622
7,8,PMPI_Bcast,PMPI_Bcast,0.000614,0.000622
3,4,PMPI_Bcast,PMPI_Bcast,0.000613,0.000624
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000624
9,10,PMPI_Bcast,PMPI_Bcast,0.000618,0.000626
9,11,PMPI_Bcast,PMPI_Bcast,0.000618,0.000626
5,6,PMPI_Bcast,PMPI_Bcast,0.000618,0.000626
5,7,PMPI_Bcast,PMPI_Bcast,0.000618,0.000626
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000629
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.00063
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.00063
3,4,PMPI_Bcast,PMPI_Bcast,0.000621,0.000632
11,12,PMPI_Bcast,PMPI_Bcast,0.000626,0.000634
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000634
7,8,PMPI_Bcast,PMPI_Bcast,0.000626,0.000634
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000637
9,10,PMPI_Bcast,PMPI_Bcast,0.00063,0.000638
9,11,PMPI_Bcast,PMPI_Bcast,0.00063,0.000638
5,6,PMPI_Bcast,PMPI_Bcast,0.00063,0.000638
5,7,PMPI_Bcast,PMPI_Bcast,0.00063,0.000638
