Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000435,0.001658
1,3,PMPI_Bcast,PMPI_Bcast,0.000435,0.001658
1,5,PMPI_Bcast,PMPI_Bcast,0.000435,0.001694
1,17,PMPI_Bcast,PMPI_Bcast,0.000435,0.001746
1,33,PMPI_Bcast,PMPI_Bcast,0.000435,0.001755
1,9,PMPI_Bcast,PMPI_Bcast,0.000435,0.001759
3,4,PMPI_Bcast,PMPI_Bcast,0.001658,0.002876
1,3,PMPI_Bcast,PMPI_Bcast,0.000437,0.002885
1,2,PMPI_Bcast,PMPI_Bcast,0.000437,0.002885
5,6,PMPI_Bcast,PMPI_Bcast,0.001694,0.002937
5,7,PMPI_Bcast,PMPI_Bcast,0.001694,0.002937
1,5,PMPI_Bcast,PMPI_Bcast,0.000437,0.002946
9,10,PMPI_Bcast,PMPI_Bcast,0.001759,0.003031
9,11,PMPI_Bcast,PMPI_Bcast,0.001759,0.003031
9,13,PMPI_Bcast,PMPI_Bcast,0.001759,0.003031
1,9,PMPI_Bcast,PMPI_Bcast,0.000437,0.003031
17,18,PMPI_Bcast,PMPI_Bcast,0.001746,0.003044
17,19,PMPI_Bcast,PMPI_Bcast,0.001746,0.003044
17,21,PMPI_Bcast,PMPI_Bcast,0.001746,0.003044
17,25,PMPI_Bcast,PMPI_Bcast,0.001746,0.003044
1,17,PMPI_Bcast,PMPI_Bcast,0.000437,0.003044
33,34,PMPI_Bcast,PMPI_Bcast,0.001755,0.003078
33,35,PMPI_Bcast,PMPI_Bcast,0.001755,0.003078
33,37,PMPI_Bcast,PMPI_Bcast,0.001755,0.003078
33,41,PMPI_Bcast,PMPI_Bcast,0.001755,0.003078
33,49,PMPI_Bcast,PMPI_Bcast,0.001755,0.003078
1,33,PMPI_Bcast,PMPI_Bcast,0.000437,0.003079
1,3,PMPI_Bcast,PMPI_Bcast,0.000438,0.004106
3,4,PMPI_Bcast,PMPI_Bcast,0.002885,0.004106
1,2,PMPI_Bcast,PMPI_Bcast,0.000438,0.004106
7,8,PMPI_Bcast,PMPI_Bcast,0.002937,0.004141
5,7,PMPI_Bcast,PMPI_Bcast,0.002946,0.004193
1,5,PMPI_Bcast,PMPI_Bcast,0.000438,0.004193
5,6,PMPI_Bcast,PMPI_Bcast,0.002946,0.004193
11,12,PMPI_Bcast,PMPI_Bcast,0.003031,0.004235
19,20,PMPI_Bcast,PMPI_Bcast,0.003044,0.004245
13,14,PMPI_Bcast,PMPI_Bcast,0.003031,0.004269
13,15,PMPI_Bcast,PMPI_Bcast,0.003031,0.004269
21,22,PMPI_Bcast,PMPI_Bcast,0.003044,0.004277
21,23,PMPI_Bcast,PMPI_Bcast,0.003044,0.004277
35,36,PMPI_Bcast,PMPI_Bcast,0.003078,0.004279
1,9,PMPI_Bcast,PMPI_Bcast,0.000438,0.004302
9,13,PMPI_Bcast,PMPI_Bcast,0.003031,0.004304
9,10,PMPI_Bcast,PMPI_Bcast,0.003031,0.004304
9,11,PMPI_Bcast,PMPI_Bcast,0.003031,0.004304
25,26,PMPI_Bcast,PMPI_Bcast,0.003044,0.004309
25,27,PMPI_Bcast,PMPI_Bcast,0.003044,0.004309
25,29,PMPI_Bcast,PMPI_Bcast,0.003044,0.004309
37,38,PMPI_Bcast,PMPI_Bcast,0.003078,0.00431
37,39,PMPI_Bcast,PMPI_Bcast,0.003078,0.00431
1,17,PMPI_Bcast,PMPI_Bcast,0.000438,0.00434
41,42,PMPI_Bcast,PMPI_Bcast,0.003078,0.004341
41,43,PMPI_Bcast,PMPI_Bcast,0.003078,0.004341
41,45,PMPI_Bcast,PMPI_Bcast,0.003078,0.004341
17,19,PMPI_Bcast,PMPI_Bcast,0.003044,0.004342
17,18,PMPI_Bcast,PMPI_Bcast,0.003044,0.004342
17,21,PMPI_Bcast,PMPI_Bcast,0.003044,0.004342
17,25,PMPI_Bcast,PMPI_Bcast,0.003044,0.004342
49,50,PMPI_Bcast,PMPI_Bcast,0.003078,0.004371
49,51,PMPI_Bcast,PMPI_Bcast,0.003078,0.004371
49,53,PMPI_Bcast,PMPI_Bcast,0.003078,0.004371
49,57,PMPI_Bcast,PMPI_Bcast,0.003078,0.004371
1,33,PMPI_Bcast,PMPI_Bcast,0.000438,0.004401
33,41,PMPI_Bcast,PMPI_Bcast,0.003079,0.004402
33,49,PMPI_Bcast,PMPI_Bcast,0.003079,0.004402
33,35,PMPI_Bcast,PMPI_Bcast,0.003079,0.004402
33,37,PMPI_Bcast,PMPI_Bcast,0.003079,0.004402
33,34,PMPI_Bcast,PMPI_Bcast,0.003079,0.004402
1,3,PMPI_Bcast,PMPI_Bcast,0.000438,0.005327
3,4,PMPI_Bcast,PMPI_Bcast,0.004106,0.005327
1,2,PMPI_Bcast,PMPI_Bcast,0.000438,0.005328
7,8,PMPI_Bcast,PMPI_Bcast,0.004193,0.005401
1,5,PMPI_Bcast,PMPI_Bcast,0.000438,0.00544
5,6,PMPI_Bcast,PMPI_Bcast,0.004193,0.00544
5,7,PMPI_Bcast,PMPI_Bcast,0.004193,0.00544
15,16,PMPI_Bcast,PMPI_Bcast,0.004269,0.005464
23,24,PMPI_Bcast,PMPI_Bcast,0.004277,0.005473
27,28,PMPI_Bcast,PMPI_Bcast,0.004309,0.005505
39,40,PMPI_Bcast,PMPI_Bcast,0.00431,0.005505
11,12,PMPI_Bcast,PMPI_Bcast,0.004304,0.005508
43,44,PMPI_Bcast,PMPI_Bcast,0.004341,0.005536
29,30,PMPI_Bcast,PMPI_Bcast,0.004309,0.005537
29,31,PMPI_Bcast,PMPI_Bcast,0.004309,0.005537
13,14,PMPI_Bcast,PMPI_Bcast,0.004304,0.005542
13,15,PMPI_Bcast,PMPI_Bcast,0.004304,0.005542
19,20,PMPI_Bcast,PMPI_Bcast,0.004342,0.005544
45,46,PMPI_Bcast,PMPI_Bcast,0.004341,0.005562
45,47,PMPI_Bcast,PMPI_Bcast,0.004341,0.005562
51,52,PMPI_Bcast,PMPI_Bcast,0.004371,0.005567
1,9,PMPI_Bcast,PMPI_Bcast,0.000438,0.005571
9,13,PMPI_Bcast,PMPI_Bcast,0.004302,0.005575
9,10,PMPI_Bcast,PMPI_Bcast,0.004302,0.005575
9,11,PMPI_Bcast,PMPI_Bcast,0.004302,0.005575
21,22,PMPI_Bcast,PMPI_Bcast,0.004342,0.005576
21,23,PMPI_Bcast,PMPI_Bcast,0.004342,0.005576
53,54,PMPI_Bcast,PMPI_Bcast,0.004371,0.005598
53,55,PMPI_Bcast,PMPI_Bcast,0.004371,0.005598
35,36,PMPI_Bcast,PMPI_Bcast,0.004402,0.005603
25,26,PMPI_Bcast,PMPI_Bcast,0.004342,0.005608
25,27,PMPI_Bcast,PMPI_Bcast,0.004342,0.005608
25,29,PMPI_Bcast,PMPI_Bcast,0.004342,0.005608
57,58,PMPI_Bcast,PMPI_Bcast,0.004371,0.00563
57,59,PMPI_Bcast,PMPI_Bcast,0.004371,0.00563
57,61,PMPI_Bcast,PMPI_Bcast,0.004371,0.00563
1,17,PMPI_Bcast,PMPI_Bcast,0.000438,0.005631
37,38,PMPI_Bcast,PMPI_Bcast,0.004402,0.005634
37,39,PMPI_Bcast,PMPI_Bcast,0.004402,0.005634
17,19,PMPI_Bcast,PMPI_Bcast,0.00434,0.005638
17,18,PMPI_Bcast,PMPI_Bcast,0.00434,0.005638
17,21,PMPI_Bcast,PMPI_Bcast,0.00434,0.005638
17,25,PMPI_Bcast,PMPI_Bcast,0.00434,0.005638
41,42,PMPI_Bcast,PMPI_Bcast,0.004402,0.005664
41,43,PMPI_Bcast,PMPI_Bcast,0.004402,0.005664
41,45,PMPI_Bcast,PMPI_Bcast,0.004402,0.005664
49,50,PMPI_Bcast,PMPI_Bcast,0.004402,0.005695
49,51,PMPI_Bcast,PMPI_Bcast,0.004402,0.005695
49,53,PMPI_Bcast,PMPI_Bcast,0.004402,0.005695
49,57,PMPI_Bcast,PMPI_Bcast,0.004402,0.005695
1,33,PMPI_Bcast,PMPI_Bcast,0.000438,0.005719
33,41,PMPI_Bcast,PMPI_Bcast,0.004401,0.005724
33,49,PMPI_Bcast,PMPI_Bcast,0.004401,0.005724
33,35,PMPI_Bcast,PMPI_Bcast,0.004401,0.005724
33,37,PMPI_Bcast,PMPI_Bcast,0.004401,0.005724
33,34,PMPI_Bcast,PMPI_Bcast,0.004401,0.005724
1,3,PMPI_Bcast,PMPI_Bcast,0.000438,0.006549
3,4,PMPI_Bcast,PMPI_Bcast,0.005327,0.006549
1,2,PMPI_Bcast,PMPI_Bcast,0.000438,0.006549
7,8,PMPI_Bcast,PMPI_Bcast,0.00544,0.006648
5,7,PMPI_Bcast,PMPI_Bcast,0.00544,0.006687
1,5,PMPI_Bcast,PMPI_Bcast,0.000438,0.006687
