Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000428,0.000446
1,5,PMPI_Bcast,PMPI_Bcast,0.000428,0.000446
1,9,PMPI_Bcast,PMPI_Bcast,0.000428,0.000446
1,17,PMPI_Bcast,PMPI_Bcast,0.000428,0.000446
1,3,PMPI_Bcast,PMPI_Bcast,0.000428,0.00045
5,7,PMPI_Bcast,PMPI_Bcast,0.000446,0.000463
9,11,PMPI_Bcast,PMPI_Bcast,0.000446,0.000464
9,13,PMPI_Bcast,PMPI_Bcast,0.000446,0.000464
17,19,PMPI_Bcast,PMPI_Bcast,0.000446,0.000464
17,21,PMPI_Bcast,PMPI_Bcast,0.000446,0.000464
17,25,PMPI_Bcast,PMPI_Bcast,0.000446,0.000464
1,17,PMPI_Bcast,PMPI_Bcast,0.00043,0.000465
1,5,PMPI_Bcast,PMPI_Bcast,0.00043,0.000465
1,9,PMPI_Bcast,PMPI_Bcast,0.00043,0.000465
1,2,PMPI_Bcast,PMPI_Bcast,0.00043,0.000465
3,4,PMPI_Bcast,PMPI_Bcast,0.00045,0.000467
1,33,PMPI_Bcast,PMPI_Bcast,0.000428,0.000468
1,3,PMPI_Bcast,PMPI_Bcast,0.00043,0.000469
7,8,PMPI_Bcast,PMPI_Bcast,0.000463,0.000481
11,12,PMPI_Bcast,PMPI_Bcast,0.000464,0.000481
19,20,PMPI_Bcast,PMPI_Bcast,0.000464,0.000481
13,14,PMPI_Bcast,PMPI_Bcast,0.000464,0.000481
13,15,PMPI_Bcast,PMPI_Bcast,0.000464,0.000481
25,27,PMPI_Bcast,PMPI_Bcast,0.000464,0.000482
21,22,PMPI_Bcast,PMPI_Bcast,0.000464,0.000482
25,29,PMPI_Bcast,PMPI_Bcast,0.000464,0.000482
21,23,PMPI_Bcast,PMPI_Bcast,0.000464,0.000482
1,17,PMPI_Bcast,PMPI_Bcast,0.000431,0.000482
17,25,PMPI_Bcast,PMPI_Bcast,0.000465,0.000483
17,21,PMPI_Bcast,PMPI_Bcast,0.000465,0.000483
1,5,PMPI_Bcast,PMPI_Bcast,0.000431,0.000483
5,7,PMPI_Bcast,PMPI_Bcast,0.000465,0.000483
17,19,PMPI_Bcast,PMPI_Bcast,0.000465,0.000483
1,2,PMPI_Bcast,PMPI_Bcast,0.000431,0.000483
1,9,PMPI_Bcast,PMPI_Bcast,0.000431,0.000483
9,11,PMPI_Bcast,PMPI_Bcast,0.000465,0.000483
9,13,PMPI_Bcast,PMPI_Bcast,0.000465,0.000483
33,35,PMPI_Bcast,PMPI_Bcast,0.000468,0.000486
33,37,PMPI_Bcast,PMPI_Bcast,0.000468,0.000486
33,41,PMPI_Bcast,PMPI_Bcast,0.000468,0.000486
1,3,PMPI_Bcast,PMPI_Bcast,0.000431,0.000486
3,4,PMPI_Bcast,PMPI_Bcast,0.000469,0.000486
1,33,PMPI_Bcast,PMPI_Bcast,0.00043,0.000487
5,6,PMPI_Bcast,PMPI_Bcast,0.000446,0.000494
15,16,PMPI_Bcast,PMPI_Bcast,0.000481,0.000499
27,28,PMPI_Bcast,PMPI_Bcast,0.000482,0.000499
23,24,PMPI_Bcast,PMPI_Bcast,0.000482,0.000499
29,30,PMPI_Bcast,PMPI_Bcast,0.000482,0.000499
29,31,PMPI_Bcast,PMPI_Bcast,0.000482,0.000499
1,17,PMPI_Bcast,PMPI_Bcast,0.000431,0.0005
17,25,PMPI_Bcast,PMPI_Bcast,0.000482,0.0005
1,5,PMPI_Bcast,PMPI_Bcast,0.000431,0.0005
5,7,PMPI_Bcast,PMPI_Bcast,0.000483,0.0005
7,8,PMPI_Bcast,PMPI_Bcast,0.000483,0.0005
25,29,PMPI_Bcast,PMPI_Bcast,0.000483,0.0005
25,27,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
19,20,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
17,21,PMPI_Bcast,PMPI_Bcast,0.000482,0.000501
21,22,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
21,23,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
17,19,PMPI_Bcast,PMPI_Bcast,0.000482,0.000501
1,2,PMPI_Bcast,PMPI_Bcast,0.000431,0.000501
11,12,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
9,11,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
1,9,PMPI_Bcast,PMPI_Bcast,0.000431,0.000501
9,13,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
13,14,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
13,15,PMPI_Bcast,PMPI_Bcast,0.000483,0.000501
35,36,PMPI_Bcast,PMPI_Bcast,0.000486,0.000504
41,43,PMPI_Bcast,PMPI_Bcast,0.000486,0.000504
41,45,PMPI_Bcast,PMPI_Bcast,0.000486,0.000504
37,38,PMPI_Bcast,PMPI_Bcast,0.000486,0.000504
37,39,PMPI_Bcast,PMPI_Bcast,0.000486,0.000504
1,3,PMPI_Bcast,PMPI_Bcast,0.000431,0.000504
3,4,PMPI_Bcast,PMPI_Bcast,0.000486,0.000504
1,33,PMPI_Bcast,PMPI_Bcast,0.000431,0.000505
33,37,PMPI_Bcast,PMPI_Bcast,0.000487,0.000505
33,41,PMPI_Bcast,PMPI_Bcast,0.000487,0.000505
33,35,PMPI_Bcast,PMPI_Bcast,0.000487,0.000505
5,6,PMPI_Bcast,PMPI_Bcast,0.000465,0.000513
31,32,PMPI_Bcast,PMPI_Bcast,0.000499,0.000517
1,17,PMPI_Bcast,PMPI_Bcast,0.000431,0.000518
17,25,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
1,5,PMPI_Bcast,PMPI_Bcast,0.000431,0.000518
5,7,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
7,8,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
23,24,PMPI_Bcast,PMPI_Bcast,0.000501,0.000518
25,27,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
27,28,PMPI_Bcast,PMPI_Bcast,0.000501,0.000518
1,2,PMPI_Bcast,PMPI_Bcast,0.000431,0.000518
17,19,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
19,20,PMPI_Bcast,PMPI_Bcast,0.000501,0.000518
25,29,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
29,30,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
29,31,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
17,21,PMPI_Bcast,PMPI_Bcast,0.0005,0.000518
21,23,PMPI_Bcast,PMPI_Bcast,0.000501,0.000518
21,22,PMPI_Bcast,PMPI_Bcast,0.000501,0.000518
15,16,PMPI_Bcast,PMPI_Bcast,0.000501,0.000519
11,12,PMPI_Bcast,PMPI_Bcast,0.000501,0.000519
13,15,PMPI_Bcast,PMPI_Bcast,0.000501,0.000519
9,13,PMPI_Bcast,PMPI_Bcast,0.000501,0.000519
13,14,PMPI_Bcast,PMPI_Bcast,0.000501,0.000519
1,9,PMPI_Bcast,PMPI_Bcast,0.000431,0.000519
9,11,PMPI_Bcast,PMPI_Bcast,0.000501,0.000519
41,42,PMPI_Bcast,PMPI_Bcast,0.000486,0.000521
39,40,PMPI_Bcast,PMPI_Bcast,0.000504,0.000521
43,44,PMPI_Bcast,PMPI_Bcast,0.000504,0.000521
45,46,PMPI_Bcast,PMPI_Bcast,0.000504,0.000522
45,47,PMPI_Bcast,PMPI_Bcast,0.000504,0.000522
33,49,PMPI_Bcast,PMPI_Bcast,0.000468,0.000522
1,3,PMPI_Bcast,PMPI_Bcast,0.000431,0.000522
3,4,PMPI_Bcast,PMPI_Bcast,0.000504,0.000522
37,39,PMPI_Bcast,PMPI_Bcast,0.000505,0.000523
35,36,PMPI_Bcast,PMPI_Bcast,0.000505,0.000523
37,38,PMPI_Bcast,PMPI_Bcast,0.000505,0.000523
41,43,PMPI_Bcast,PMPI_Bcast,0.000505,0.000523
41,45,PMPI_Bcast,PMPI_Bcast,0.000505,0.000523
33,37,PMPI_Bcast,PMPI_Bcast,0.000505,0.000523
1,33,PMPI_Bcast,PMPI_Bcast,0.000431,0.000523
33,41,PMPI_Bcast,PMPI_Bcast,0.000505,0.000523
33,35,PMPI_Bcast,PMPI_Bcast,0.000505,0.000523
5,6,PMPI_Bcast,PMPI_Bcast,0.000483,0.000531
1,17,PMPI_Bcast,PMPI_Bcast,0.000431,0.000535
1,2,PMPI_Bcast,PMPI_Bcast,0.000431,0.000536
5,7,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
7,8,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
25,27,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
27,28,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
31,32,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
17,19,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
19,20,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
23,24,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
25,29,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
29,31,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
29,30,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
17,21,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
21,23,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
21,22,PMPI_Bcast,PMPI_Bcast,0.000518,0.000536
11,12,PMPI_Bcast,PMPI_Bcast,0.000519,0.000537
15,16,PMPI_Bcast,PMPI_Bcast,0.000519,0.000537
9,11,PMPI_Bcast,PMPI_Bcast,0.000519,0.000537
1,9,PMPI_Bcast,PMPI_Bcast,0.000431,0.000537
9,13,PMPI_Bcast,PMPI_Bcast,0.000519,0.000537
13,14,PMPI_Bcast,PMPI_Bcast,0.000519,0.000537
13,15,PMPI_Bcast,PMPI_Bcast,0.000519,0.000537
1,5,PMPI_Bcast,PMPI_Bcast,0.000431,0.000537
41,42,PMPI_Bcast,PMPI_Bcast,0.000505,0.000539
47,48,PMPI_Bcast,PMPI_Bcast,0.000522,0.000539
17,25,PMPI_Bcast,PMPI_Bcast,0.000518,0.00054
1,3,PMPI_Bcast,PMPI_Bcast,0.000431,0.00054
3,4,PMPI_Bcast,PMPI_Bcast,0.000522,0.00054
33,49,PMPI_Bcast,PMPI_Bcast,0.000487,0.00054
49,50,PMPI_Bcast,PMPI_Bcast,0.000522,0.00054
49,51,PMPI_Bcast,PMPI_Bcast,0.000522,0.00054
49,53,PMPI_Bcast,PMPI_Bcast,0.000522,0.00054
49,57,PMPI_Bcast,PMPI_Bcast,0.000522,0.00054
39,40,PMPI_Bcast,PMPI_Bcast,0.000523,0.00054
43,44,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
45,46,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
45,47,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
41,43,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
41,45,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
37,38,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
37,39,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
33,41,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
1,33,PMPI_Bcast,PMPI_Bcast,0.000431,0.000541
33,37,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
33,35,PMPI_Bcast,PMPI_Bcast,0.000523,0.000541
35,36,PMPI_Bcast,PMPI_Bcast,0.000523,0.000546
5,6,PMPI_Bcast,PMPI_Bcast,0.0005,0.000548
1,17,PMPI_Bcast,PMPI_Bcast,0.000431,0.000553
1,2,PMPI_Bcast,PMPI_Bcast,0.000431,0.000554
7,8,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
27,28,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
17,19,PMPI_Bcast,PMPI_Bcast,0.000535,0.000554
19,20,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
23,24,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
29,31,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
29,30,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
31,32,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
17,21,PMPI_Bcast,PMPI_Bcast,0.000535,0.000554
21,23,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
21,22,PMPI_Bcast,PMPI_Bcast,0.000536,0.000554
15,16,PMPI_Bcast,PMPI_Bcast,0.000537,0.000555
11,12,PMPI_Bcast,PMPI_Bcast,0.000537,0.000555
1,9,PMPI_Bcast,PMPI_Bcast,0.000431,0.000555
9,13,PMPI_Bcast,PMPI_Bcast,0.000537,0.000555
13,15,PMPI_Bcast,PMPI_Bcast,0.000537,0.000555
13,14,PMPI_Bcast,PMPI_Bcast,0.000537,0.000555
9,11,PMPI_Bcast,PMPI_Bcast,0.000537,0.000555
1,5,PMPI_Bcast,PMPI_Bcast,0.000431,0.000555
5,7,PMPI_Bcast,PMPI_Bcast,0.000537,0.000555
41,42,PMPI_Bcast,PMPI_Bcast,0.000523,0.000557
1,3,PMPI_Bcast,PMPI_Bcast,0.000431,0.000558
3,4,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
17,25,PMPI_Bcast,PMPI_Bcast,0.000535,0.000558
25,27,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
25,29,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
51,52,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
53,54,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
53,55,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
57,58,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
57,59,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
57,61,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
33,49,PMPI_Bcast,PMPI_Bcast,0.000505,0.000558
49,57,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
49,50,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
49,53,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
49,51,PMPI_Bcast,PMPI_Bcast,0.00054,0.000558
47,48,PMPI_Bcast,PMPI_Bcast,0.000541,0.000558
43,44,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
39,40,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
45,46,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
45,47,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
41,43,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
41,45,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
37,38,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
37,39,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
33,41,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
1,33,PMPI_Bcast,PMPI_Bcast,0.000431,0.000559
33,37,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
33,35,PMPI_Bcast,PMPI_Bcast,0.000541,0.000559
35,36,PMPI_Bcast,PMPI_Bcast,0.000541,0.000563
5,6,PMPI_Bcast,PMPI_Bcast,0.000518,0.000566
1,17,PMPI_Bcast,PMPI_Bcast,0.000431,0.000571
1,2,PMPI_Bcast,PMPI_Bcast,0.000431,0.000571
17,19,PMPI_Bcast,PMPI_Bcast,0.000553,0.000572
19,20,PMPI_Bcast,PMPI_Bcast,0.000554,0.000572
31,32,PMPI_Bcast,PMPI_Bcast,0.000554,0.000572
23,24,PMPI_Bcast,PMPI_Bcast,0.000554,0.000572
17,21,PMPI_Bcast,PMPI_Bcast,0.000553,0.000572
21,23,PMPI_Bcast,PMPI_Bcast,0.000554,0.000572
21,22,PMPI_Bcast,PMPI_Bcast,0.000554,0.000572
11,12,PMPI_Bcast,PMPI_Bcast,0.000555,0.000572
15,16,PMPI_Bcast,PMPI_Bcast,0.000555,0.000572
9,11,PMPI_Bcast,PMPI_Bcast,0.000555,0.000573
1,9,PMPI_Bcast,PMPI_Bcast,0.000431,0.000573
9,13,PMPI_Bcast,PMPI_Bcast,0.000555,0.000573
13,15,PMPI_Bcast,PMPI_Bcast,0.000555,0.000573
13,14,PMPI_Bcast,PMPI_Bcast,0.000555,0.000573
1,5,PMPI_Bcast,PMPI_Bcast,0.000431,0.000573
5,7,PMPI_Bcast,PMPI_Bcast,0.000555,0.000573
7,8,PMPI_Bcast,PMPI_Bcast,0.000555,0.000573
41,42,PMPI_Bcast,PMPI_Bcast,0.000541,0.000574
27,28,PMPI_Bcast,PMPI_Bcast,0.000558,0.000575
1,3,PMPI_Bcast,PMPI_Bcast,0.000431,0.000575
3,4,PMPI_Bcast,PMPI_Bcast,0.000558,0.000575
17,25,PMPI_Bcast,PMPI_Bcast,0.000553,0.000576
25,29,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
29,30,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
25,27,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
29,31,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
55,56,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
59,60,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
61,62,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
61,63,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
51,52,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
53,54,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
53,55,PMPI_Bcast,PMPI_Bcast,0.000558,0.000576
