Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000532,0.000751
1,5,PMPI_Bcast,PMPI_Bcast,0.000532,0.000849
1,3,PMPI_Bcast,PMPI_Bcast,0.000532,0.000938
1,9,PMPI_Bcast,PMPI_Bcast,0.000532,0.000971
1,17,PMPI_Bcast,PMPI_Bcast,0.000532,0.000971
1,2,PMPI_Bcast,PMPI_Bcast,0.000535,0.000972
5,7,PMPI_Bcast,PMPI_Bcast,0.000849,0.001071
1,5,PMPI_Bcast,PMPI_Bcast,0.000535,0.001071
5,6,PMPI_Bcast,PMPI_Bcast,0.000849,0.001071
1,33,PMPI_Bcast,PMPI_Bcast,0.000532,0.001141
1,3,PMPI_Bcast,PMPI_Bcast,0.000535,0.001158
3,4,PMPI_Bcast,PMPI_Bcast,0.000938,0.001158
9,13,PMPI_Bcast,PMPI_Bcast,0.000971,0.00119
9,10,PMPI_Bcast,PMPI_Bcast,0.000971,0.00119
9,11,PMPI_Bcast,PMPI_Bcast,0.000971,0.00119
17,21,PMPI_Bcast,PMPI_Bcast,0.000971,0.00119
17,18,PMPI_Bcast,PMPI_Bcast,0.000971,0.00119
17,19,PMPI_Bcast,PMPI_Bcast,0.000971,0.00119
1,2,PMPI_Bcast,PMPI_Bcast,0.000536,0.001191
7,8,PMPI_Bcast,PMPI_Bcast,0.001071,0.00129
5,7,PMPI_Bcast,PMPI_Bcast,0.001071,0.001293
1,5,PMPI_Bcast,PMPI_Bcast,0.000536,0.001293
5,6,PMPI_Bcast,PMPI_Bcast,0.001071,0.001293
33,37,PMPI_Bcast,PMPI_Bcast,0.001141,0.001361
33,34,PMPI_Bcast,PMPI_Bcast,0.001141,0.001361
33,35,PMPI_Bcast,PMPI_Bcast,0.001141,0.001361
1,3,PMPI_Bcast,PMPI_Bcast,0.000536,0.001379
3,4,PMPI_Bcast,PMPI_Bcast,0.001158,0.001379
17,25,PMPI_Bcast,PMPI_Bcast,0.000971,0.001386
13,15,PMPI_Bcast,PMPI_Bcast,0.00119,0.001409
13,14,PMPI_Bcast,PMPI_Bcast,0.00119,0.001409
11,12,PMPI_Bcast,PMPI_Bcast,0.00119,0.001409
21,23,PMPI_Bcast,PMPI_Bcast,0.00119,0.001409
21,22,PMPI_Bcast,PMPI_Bcast,0.00119,0.001409
19,20,PMPI_Bcast,PMPI_Bcast,0.00119,0.001409
1,17,PMPI_Bcast,PMPI_Bcast,0.000535,0.001409
1,9,PMPI_Bcast,PMPI_Bcast,0.000535,0.001409
1,2,PMPI_Bcast,PMPI_Bcast,0.000536,0.00141
7,8,PMPI_Bcast,PMPI_Bcast,0.001293,0.001512
5,7,PMPI_Bcast,PMPI_Bcast,0.001293,0.001514
1,5,PMPI_Bcast,PMPI_Bcast,0.000536,0.001514
