Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,5,PMPI_Bcast,PMPI_Bcast,0.000425,0.000433
1,2,PMPI_Bcast,PMPI_Bcast,0.000425,0.000433
1,3,PMPI_Bcast,PMPI_Bcast,0.000425,0.000433
1,17,PMPI_Bcast,PMPI_Bcast,0.000425,0.000441
1,3,PMPI_Bcast,PMPI_Bcast,0.000427,0.000441
1,5,PMPI_Bcast,PMPI_Bcast,0.000427,0.000441
5,6,PMPI_Bcast,PMPI_Bcast,0.000433,0.000441
5,7,PMPI_Bcast,PMPI_Bcast,0.000433,0.000441
1,2,PMPI_Bcast,PMPI_Bcast,0.000427,0.000442
1,9,PMPI_Bcast,PMPI_Bcast,0.000425,0.000443
17,21,PMPI_Bcast,PMPI_Bcast,0.000441,0.000449
17,18,PMPI_Bcast,PMPI_Bcast,0.000441,0.000449
17,19,PMPI_Bcast,PMPI_Bcast,0.000441,0.000449
1,3,PMPI_Bcast,PMPI_Bcast,0.000428,0.000449
7,8,PMPI_Bcast,PMPI_Bcast,0.000441,0.000449
5,7,PMPI_Bcast,PMPI_Bcast,0.000441,0.000449
1,5,PMPI_Bcast,PMPI_Bcast,0.000428,0.000449
5,6,PMPI_Bcast,PMPI_Bcast,0.000441,0.000449
1,2,PMPI_Bcast,PMPI_Bcast,0.000428,0.00045
1,33,PMPI_Bcast,PMPI_Bcast,0.000425,0.00045
9,13,PMPI_Bcast,PMPI_Bcast,0.000443,0.000451
9,10,PMPI_Bcast,PMPI_Bcast,0.000443,0.000451
9,11,PMPI_Bcast,PMPI_Bcast,0.000443,0.000451
1,17,PMPI_Bcast,PMPI_Bcast,0.000427,0.000457
17,25,PMPI_Bcast,PMPI_Bcast,0.000441,0.000457
21,22,PMPI_Bcast,PMPI_Bcast,0.000449,0.000457
21,23,PMPI_Bcast,PMPI_Bcast,0.000449,0.000457
5,6,PMPI_Bcast,PMPI_Bcast,0.000449,0.000457
5,7,PMPI_Bcast,PMPI_Bcast,0.000449,0.000457
7,8,PMPI_Bcast,PMPI_Bcast,0.000449,0.000457
1,2,PMPI_Bcast,PMPI_Bcast,0.000428,0.000458
1,3,PMPI_Bcast,PMPI_Bcast,0.000428,0.000458
33,37,PMPI_Bcast,PMPI_Bcast,0.00045,0.000458
33,34,PMPI_Bcast,PMPI_Bcast,0.00045,0.000458
1,9,PMPI_Bcast,PMPI_Bcast,0.000427,0.000459
13,15,PMPI_Bcast,PMPI_Bcast,0.000451,0.000459
13,14,PMPI_Bcast,PMPI_Bcast,0.000451,0.000459
1,5,PMPI_Bcast,PMPI_Bcast,0.000428,0.000459
25,29,PMPI_Bcast,PMPI_Bcast,0.000457,0.000465
25,26,PMPI_Bcast,PMPI_Bcast,0.000457,0.000465
25,27,PMPI_Bcast,PMPI_Bcast,0.000457,0.000465
17,21,PMPI_Bcast,PMPI_Bcast,0.000457,0.000465
17,18,PMPI_Bcast,PMPI_Bcast,0.000457,0.000465
17,19,PMPI_Bcast,PMPI_Bcast,0.000457,0.000465
23,24,PMPI_Bcast,PMPI_Bcast,0.000457,0.000465
7,8,PMPI_Bcast,PMPI_Bcast,0.000457,0.000465
1,2,PMPI_Bcast,PMPI_Bcast,0.000428,0.000466
1,3,PMPI_Bcast,PMPI_Bcast,0.000428,0.000466
33,41,PMPI_Bcast,PMPI_Bcast,0.00045,0.000466
33,49,PMPI_Bcast,PMPI_Bcast,0.00045,0.000466
37,39,PMPI_Bcast,PMPI_Bcast,0.000458,0.000466
37,38,PMPI_Bcast,PMPI_Bcast,0.000458,0.000466
9,13,PMPI_Bcast,PMPI_Bcast,0.000459,0.000467
9,10,PMPI_Bcast,PMPI_Bcast,0.000459,0.000467
9,11,PMPI_Bcast,PMPI_Bcast,0.000459,0.000467
15,16,PMPI_Bcast,PMPI_Bcast,0.000459,0.000467
5,7,PMPI_Bcast,PMPI_Bcast,0.000459,0.000467
1,5,PMPI_Bcast,PMPI_Bcast,0.000428,0.000467
5,6,PMPI_Bcast,PMPI_Bcast,0.000459,0.000467
1,17,PMPI_Bcast,PMPI_Bcast,0.000428,0.000473
17,25,PMPI_Bcast,PMPI_Bcast,0.000457,0.000473
29,30,PMPI_Bcast,PMPI_Bcast,0.000465,0.000473
29,31,PMPI_Bcast,PMPI_Bcast,0.000465,0.000473
21,22,PMPI_Bcast,PMPI_Bcast,0.000465,0.000473
21,23,PMPI_Bcast,PMPI_Bcast,0.000465,0.000473
1,33,PMPI_Bcast,PMPI_Bcast,0.000427,0.000474
1,2,PMPI_Bcast,PMPI_Bcast,0.000428,0.000474
1,3,PMPI_Bcast,PMPI_Bcast,0.000428,0.000474
41,45,PMPI_Bcast,PMPI_Bcast,0.000466,0.000474
41,42,PMPI_Bcast,PMPI_Bcast,0.000466,0.000474
39,40,PMPI_Bcast,PMPI_Bcast,0.000466,0.000474
49,53,PMPI_Bcast,PMPI_Bcast,0.000466,0.000474
49,50,PMPI_Bcast,PMPI_Bcast,0.000466,0.000474
1,9,PMPI_Bcast,PMPI_Bcast,0.000428,0.000475
13,15,PMPI_Bcast,PMPI_Bcast,0.000467,0.000475
13,14,PMPI_Bcast,PMPI_Bcast,0.000467,0.000475
7,8,PMPI_Bcast,PMPI_Bcast,0.000467,0.000475
5,7,PMPI_Bcast,PMPI_Bcast,0.000467,0.000475
1,5,PMPI_Bcast,PMPI_Bcast,0.000428,0.000475
5,6,PMPI_Bcast,PMPI_Bcast,0.000467,0.000475
