Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,17,PMPI_Bcast,PMPI_Bcast,0.000508,0.00063
1,5,PMPI_Bcast,PMPI_Bcast,0.000508,0.00063
1,2,PMPI_Bcast,PMPI_Bcast,0.000508,0.00063
1,33,PMPI_Bcast,PMPI_Bcast,0.000508,0.000728
1,9,PMPI_Bcast,PMPI_Bcast,0.000508,0.000728
1,3,PMPI_Bcast,PMPI_Bcast,0.000508,0.000728
1,2,PMPI_Bcast,PMPI_Bcast,0.000511,0.000752
17,21,PMPI_Bcast,PMPI_Bcast,0.00063,0.000752
17,18,PMPI_Bcast,PMPI_Bcast,0.00063,0.000752
1,5,PMPI_Bcast,PMPI_Bcast,0.000511,0.000752
1,17,PMPI_Bcast,PMPI_Bcast,0.000511,0.000752
5,6,PMPI_Bcast,PMPI_Bcast,0.00063,0.000766
33,49,PMPI_Bcast,PMPI_Bcast,0.000728,0.00085
9,13,PMPI_Bcast,PMPI_Bcast,0.000728,0.00085
3,4,PMPI_Bcast,PMPI_Bcast,0.000728,0.00085
33,37,PMPI_Bcast,PMPI_Bcast,0.000728,0.00085
9,10,PMPI_Bcast,PMPI_Bcast,0.000728,0.00085
33,34,PMPI_Bcast,PMPI_Bcast,0.000728,0.00085
17,25,PMPI_Bcast,PMPI_Bcast,0.00063,0.00085
5,7,PMPI_Bcast,PMPI_Bcast,0.00063,0.00085
17,19,PMPI_Bcast,PMPI_Bcast,0.00063,0.00085
1,2,PMPI_Bcast,PMPI_Bcast,0.000512,0.000874
21,22,PMPI_Bcast,PMPI_Bcast,0.000752,0.000874
17,21,PMPI_Bcast,PMPI_Bcast,0.000752,0.000874
1,5,PMPI_Bcast,PMPI_Bcast,0.000512,0.000874
17,18,PMPI_Bcast,PMPI_Bcast,0.000752,0.000874
1,17,PMPI_Bcast,PMPI_Bcast,0.000512,0.000874
5,6,PMPI_Bcast,PMPI_Bcast,0.000752,0.000888
33,41,PMPI_Bcast,PMPI_Bcast,0.000728,0.000947
9,11,PMPI_Bcast,PMPI_Bcast,0.000728,0.000947
1,3,PMPI_Bcast,PMPI_Bcast,0.000511,0.000947
33,35,PMPI_Bcast,PMPI_Bcast,0.000728,0.000947
1,9,PMPI_Bcast,PMPI_Bcast,0.000511,0.000947
1,33,PMPI_Bcast,PMPI_Bcast,0.000511,0.000947
25,29,PMPI_Bcast,PMPI_Bcast,0.00085,0.000971
7,8,PMPI_Bcast,PMPI_Bcast,0.00085,0.000971
19,20,PMPI_Bcast,PMPI_Bcast,0.00085,0.000971
49,53,PMPI_Bcast,PMPI_Bcast,0.00085,0.000971
13,14,PMPI_Bcast,PMPI_Bcast,0.00085,0.000971
37,38,PMPI_Bcast,PMPI_Bcast,0.00085,0.000971
25,26,PMPI_Bcast,PMPI_Bcast,0.00085,0.000971
49,50,PMPI_Bcast,PMPI_Bcast,0.00085,0.000971
21,23,PMPI_Bcast,PMPI_Bcast,0.000752,0.000971
1,2,PMPI_Bcast,PMPI_Bcast,0.000512,0.000996
21,22,PMPI_Bcast,PMPI_Bcast,0.000874,0.000996
17,21,PMPI_Bcast,PMPI_Bcast,0.000874,0.000996
1,5,PMPI_Bcast,PMPI_Bcast,0.000512,0.000996
17,18,PMPI_Bcast,PMPI_Bcast,0.000874,0.000996
1,17,PMPI_Bcast,PMPI_Bcast,0.000512,0.000996
5,6,PMPI_Bcast,PMPI_Bcast,0.000874,0.00101
49,57,PMPI_Bcast,PMPI_Bcast,0.00085,0.001069
13,15,PMPI_Bcast,PMPI_Bcast,0.00085,0.001069
37,39,PMPI_Bcast,PMPI_Bcast,0.00085,0.001069
25,27,PMPI_Bcast,PMPI_Bcast,0.00085,0.001069
5,7,PMPI_Bcast,PMPI_Bcast,0.000752,0.001069
17,19,PMPI_Bcast,PMPI_Bcast,0.000752,0.001069
49,51,PMPI_Bcast,PMPI_Bcast,0.00085,0.001069
17,25,PMPI_Bcast,PMPI_Bcast,0.000752,0.001069
41,45,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
11,12,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
3,4,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
35,36,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
9,13,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
33,49,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
41,42,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
9,10,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
33,37,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
33,34,PMPI_Bcast,PMPI_Bcast,0.000947,0.001069
23,24,PMPI_Bcast,PMPI_Bcast,0.000971,0.001093
29,30,PMPI_Bcast,PMPI_Bcast,0.000971,0.001093
53,54,PMPI_Bcast,PMPI_Bcast,0.000971,0.001093
1,2,PMPI_Bcast,PMPI_Bcast,0.000512,0.001118
21,22,PMPI_Bcast,PMPI_Bcast,0.000996,0.001118
17,21,PMPI_Bcast,PMPI_Bcast,0.000996,0.001118
1,5,PMPI_Bcast,PMPI_Bcast,0.000512,0.001118
17,18,PMPI_Bcast,PMPI_Bcast,0.000996,0.001118
1,17,PMPI_Bcast,PMPI_Bcast,0.000512,0.001118
5,6,PMPI_Bcast,PMPI_Bcast,0.000996,0.001131
41,43,PMPI_Bcast,PMPI_Bcast,0.000947,0.001167
1,3,PMPI_Bcast,PMPI_Bcast,0.000512,0.001167
9,11,PMPI_Bcast,PMPI_Bcast,0.000947,0.001167
33,41,PMPI_Bcast,PMPI_Bcast,0.000947,0.001167
1,9,PMPI_Bcast,PMPI_Bcast,0.000512,0.001167
33,35,PMPI_Bcast,PMPI_Bcast,0.000947,0.001167
1,33,PMPI_Bcast,PMPI_Bcast,0.000512,0.001167
29,31,PMPI_Bcast,PMPI_Bcast,0.000971,0.001191
53,55,PMPI_Bcast,PMPI_Bcast,0.000971,0.001191
21,23,PMPI_Bcast,PMPI_Bcast,0.000874,0.001191
57,61,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
15,16,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
39,40,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
27,28,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
7,8,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
19,20,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
51,52,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
25,29,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
45,46,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
13,14,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
49,53,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
37,38,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
57,58,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
25,26,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
49,50,PMPI_Bcast,PMPI_Bcast,0.001069,0.001191
1,2,PMPI_Bcast,PMPI_Bcast,0.000512,0.001239
21,22,PMPI_Bcast,PMPI_Bcast,0.001118,0.001239
17,21,PMPI_Bcast,PMPI_Bcast,0.001118,0.001239
1,5,PMPI_Bcast,PMPI_Bcast,0.000512,0.001239
17,18,PMPI_Bcast,PMPI_Bcast,0.001118,0.001239
1,17,PMPI_Bcast,PMPI_Bcast,0.000512,0.001239
5,6,PMPI_Bcast,PMPI_Bcast,0.001118,0.001253
45,47,PMPI_Bcast,PMPI_Bcast,0.001069,0.001288
57,59,PMPI_Bcast,PMPI_Bcast,0.001069,0.001288
13,15,PMPI_Bcast,PMPI_Bcast,0.001069,0.001288
37,39,PMPI_Bcast,PMPI_Bcast,0.001069,0.001288
5,7,PMPI_Bcast,PMPI_Bcast,0.000874,0.001288
17,19,PMPI_Bcast,PMPI_Bcast,0.000874,0.001288
25,27,PMPI_Bcast,PMPI_Bcast,0.001069,0.001288
49,51,PMPI_Bcast,PMPI_Bcast,0.001069,0.001288
49,57,PMPI_Bcast,PMPI_Bcast,0.001069,0.001288
17,25,PMPI_Bcast,PMPI_Bcast,0.000874,0.001288
43,44,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
3,4,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
11,12,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
41,45,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
9,13,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
35,36,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
33,49,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
41,42,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
9,10,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
33,37,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
33,34,PMPI_Bcast,PMPI_Bcast,0.001167,0.001288
31,32,PMPI_Bcast,PMPI_Bcast,0.001191,0.001313
55,56,PMPI_Bcast,PMPI_Bcast,0.001191,0.001313
23,24,PMPI_Bcast,PMPI_Bcast,0.001191,0.001313
61,62,PMPI_Bcast,PMPI_Bcast,0.001191,0.001313
29,30,PMPI_Bcast,PMPI_Bcast,0.001191,0.001313
53,54,PMPI_Bcast,PMPI_Bcast,0.001191,0.001313
1,2,PMPI_Bcast,PMPI_Bcast,0.000512,0.001361
21,22,PMPI_Bcast,PMPI_Bcast,0.001239,0.001361
17,21,PMPI_Bcast,PMPI_Bcast,0.001239,0.001361
1,5,PMPI_Bcast,PMPI_Bcast,0.000512,0.001361
17,18,PMPI_Bcast,PMPI_Bcast,0.001239,0.001361
1,17,PMPI_Bcast,PMPI_Bcast,0.000512,0.001361
5,6,PMPI_Bcast,PMPI_Bcast,0.001239,0.001375
1,3,PMPI_Bcast,PMPI_Bcast,0.000512,0.001386
41,43,PMPI_Bcast,PMPI_Bcast,0.001167,0.001386
9,11,PMPI_Bcast,PMPI_Bcast,0.001167,0.001386
33,41,PMPI_Bcast,PMPI_Bcast,0.001167,0.001386
1,9,PMPI_Bcast,PMPI_Bcast,0.000512,0.001386
33,35,PMPI_Bcast,PMPI_Bcast,0.001167,0.001386
1,33,PMPI_Bcast,PMPI_Bcast,0.000512,0.001386
61,63,PMPI_Bcast,PMPI_Bcast,0.001191,0.00141
29,31,PMPI_Bcast,PMPI_Bcast,0.001191,0.00141
53,55,PMPI_Bcast,PMPI_Bcast,0.001191,0.00141
21,23,PMPI_Bcast,PMPI_Bcast,0.000996,0.00141
47,48,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
59,60,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
15,16,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
39,40,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
7,8,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
19,20,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
27,28,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
51,52,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
57,61,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
25,29,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
45,46,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
13,14,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
49,53,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
37,38,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
57,58,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
25,26,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
49,50,PMPI_Bcast,PMPI_Bcast,0.001288,0.00141
1,2,PMPI_Bcast,PMPI_Bcast,0.000512,0.001483
21,22,PMPI_Bcast,PMPI_Bcast,0.001361,0.001483
17,21,PMPI_Bcast,PMPI_Bcast,0.001361,0.001483
1,5,PMPI_Bcast,PMPI_Bcast,0.000512,0.001483
17,18,PMPI_Bcast,PMPI_Bcast,0.001361,0.001483
1,17,PMPI_Bcast,PMPI_Bcast,0.000512,0.001483
5,6,PMPI_Bcast,PMPI_Bcast,0.001361,0.001504
45,47,PMPI_Bcast,PMPI_Bcast,0.001288,0.001508
13,15,PMPI_Bcast,PMPI_Bcast,0.001288,0.001508
37,39,PMPI_Bcast,PMPI_Bcast,0.001288,0.001508
17,19,PMPI_Bcast,PMPI_Bcast,0.000996,0.001508
57,59,PMPI_Bcast,PMPI_Bcast,0.001288,0.001508
25,27,PMPI_Bcast,PMPI_Bcast,0.001288,0.001508
49,51,PMPI_Bcast,PMPI_Bcast,0.001288,0.001508
49,57,PMPI_Bcast,PMPI_Bcast,0.001288,0.001508
17,25,PMPI_Bcast,PMPI_Bcast,0.000996,0.001508
3,4,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
43,44,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
11,12,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
41,45,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
9,13,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
35,36,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
33,49,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
41,42,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
9,10,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
33,37,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
33,34,PMPI_Bcast,PMPI_Bcast,0.001386,0.001508
5,7,PMPI_Bcast,PMPI_Bcast,0.000996,0.001521
63,64,PMPI_Bcast,PMPI_Bcast,0.00141,0.001532
31,32,PMPI_Bcast,PMPI_Bcast,0.00141,0.001532
55,56,PMPI_Bcast,PMPI_Bcast,0.00141,0.001532
23,24,PMPI_Bcast,PMPI_Bcast,0.00141,0.001532
61,62,PMPI_Bcast,PMPI_Bcast,0.00141,0.001532
29,30,PMPI_Bcast,PMPI_Bcast,0.00141,0.001532
