Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.000425,0.000704
3,1,PMPI_Gather,PMPI_Gather,0.0004,0.000704
4,1,PMPI_Gather,PMPI_Gather,0.000399,0.000704
12,1,PMPI_Gather,PMPI_Gather,0.000429,0.001101
10,1,PMPI_Gather,PMPI_Gather,0.000417,0.001101
11,1,PMPI_Gather,PMPI_Gather,0.000417,0.001101
15,1,PMPI_Gather,PMPI_Gather,0.000399,0.001129
5,1,PMPI_Gather,PMPI_Gather,0.0004,0.001129
6,1,PMPI_Gather,PMPI_Gather,0.000409,0.001129
7,1,PMPI_Gather,PMPI_Gather,0.000406,0.001129
8,1,PMPI_Gather,PMPI_Gather,0.000407,0.001129
13,1,PMPI_Gather,PMPI_Gather,0.000441,0.001144
9,1,PMPI_Gather,PMPI_Gather,0.000462,0.001158
14,1,PMPI_Gather,PMPI_Gather,0.000463,0.001177
16,1,PMPI_Gather,PMPI_Gather,0.000477,0.001191
19,1,PMPI_Gather,PMPI_Gather,0.000404,0.001304
17,1,PMPI_Gather,PMPI_Gather,0.0004,0.001304
18,1,PMPI_Gather,PMPI_Gather,0.000407,0.001304
20,1,PMPI_Gather,PMPI_Gather,0.000519,0.001353
27,1,PMPI_Gather,PMPI_Gather,0.000421,0.001405
25,1,PMPI_Gather,PMPI_Gather,0.000414,0.001405
26,1,PMPI_Gather,PMPI_Gather,0.000423,0.001405
24,1,PMPI_Gather,PMPI_Gather,0.000405,0.001413
21,1,PMPI_Gather,PMPI_Gather,0.000402,0.001413
22,1,PMPI_Gather,PMPI_Gather,0.000403,0.001413
23,1,PMPI_Gather,PMPI_Gather,0.000411,0.001413
28,1,PMPI_Gather,PMPI_Gather,0.000526,0.001422
32,1,PMPI_Gather,PMPI_Gather,0.000411,0.00144
29,1,PMPI_Gather,PMPI_Gather,0.000404,0.00144
30,1,PMPI_Gather,PMPI_Gather,0.000405,0.00144
31,1,PMPI_Gather,PMPI_Gather,0.000407,0.00144
2,1,PMPI_Gather,PMPI_Gather,0.000425,0.001713
3,1,PMPI_Gather,PMPI_Gather,0.000401,0.001713
4,1,PMPI_Gather,PMPI_Gather,0.000401,0.001713
12,1,PMPI_Gather,PMPI_Gather,0.000429,0.002145
9,1,PMPI_Gather,PMPI_Gather,0.000462,0.002145
10,1,PMPI_Gather,PMPI_Gather,0.000417,0.002145
11,1,PMPI_Gather,PMPI_Gather,0.000417,0.002145
16,1,PMPI_Gather,PMPI_Gather,0.000478,0.002171
5,1,PMPI_Gather,PMPI_Gather,0.000401,0.002171
6,1,PMPI_Gather,PMPI_Gather,0.000409,0.002171
7,1,PMPI_Gather,PMPI_Gather,0.000406,0.002171
8,1,PMPI_Gather,PMPI_Gather,0.000407,0.002171
13,1,PMPI_Gather,PMPI_Gather,0.000442,0.002171
14,1,PMPI_Gather,PMPI_Gather,0.000463,0.002171
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.002171
20,1,PMPI_Gather,PMPI_Gather,0.000519,0.002323
17,1,PMPI_Gather,PMPI_Gather,0.000401,0.002323
18,1,PMPI_Gather,PMPI_Gather,0.000407,0.002323
19,1,PMPI_Gather,PMPI_Gather,0.000404,0.002323
28,1,PMPI_Gather,PMPI_Gather,0.000526,0.002418
25,1,PMPI_Gather,PMPI_Gather,0.000414,0.002418
26,1,PMPI_Gather,PMPI_Gather,0.000423,0.002418
