Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
32,1,PMPI_Gather,PMPI_Gather,0.000399,0.002433
2,1,PMPI_Gather,PMPI_Gather,0.000426,0.002433
3,1,PMPI_Gather,PMPI_Gather,0.000407,0.002433
4,1,PMPI_Gather,PMPI_Gather,0.000408,0.002433
5,1,PMPI_Gather,PMPI_Gather,0.000407,0.002433
6,1,PMPI_Gather,PMPI_Gather,0.000406,0.002433
7,1,PMPI_Gather,PMPI_Gather,0.000407,0.002433
8,1,PMPI_Gather,PMPI_Gather,0.000448,0.002433
9,1,PMPI_Gather,PMPI_Gather,0.000454,0.002433
10,1,PMPI_Gather,PMPI_Gather,0.000447,0.002433
12,1,PMPI_Gather,PMPI_Gather,0.000444,0.002433
13,1,PMPI_Gather,PMPI_Gather,0.000402,0.002433
14,1,PMPI_Gather,PMPI_Gather,0.000409,0.002433
15,1,PMPI_Gather,PMPI_Gather,0.000418,0.002433
16,1,PMPI_Gather,PMPI_Gather,0.000413,0.002433
17,1,PMPI_Gather,PMPI_Gather,0.000433,0.002433
18,1,PMPI_Gather,PMPI_Gather,0.000401,0.002433
19,1,PMPI_Gather,PMPI_Gather,0.00047,0.002433
20,1,PMPI_Gather,PMPI_Gather,0.000405,0.002433
21,1,PMPI_Gather,PMPI_Gather,0.00041,0.002433
22,1,PMPI_Gather,PMPI_Gather,0.000416,0.002433
24,1,PMPI_Gather,PMPI_Gather,0.000425,0.002433
25,1,PMPI_Gather,PMPI_Gather,0.000404,0.002433
26,1,PMPI_Gather,PMPI_Gather,0.000437,0.002433
27,1,PMPI_Gather,PMPI_Gather,0.000408,0.002433
28,1,PMPI_Gather,PMPI_Gather,0.000411,0.002433
29,1,PMPI_Gather,PMPI_Gather,0.000411,0.002433
30,1,PMPI_Gather,PMPI_Gather,0.000411,0.002433
11,1,PMPI_Gather,PMPI_Gather,0.000494,0.002435
31,1,PMPI_Gather,PMPI_Gather,0.000506,0.002436
23,1,PMPI_Gather,PMPI_Gather,0.000509,0.002436
2,1,PMPI_Gather,PMPI_Gather,0.000426,0.004398
3,1,PMPI_Gather,PMPI_Gather,0.000408,0.004398
4,1,PMPI_Gather,PMPI_Gather,0.000409,0.004398
5,1,PMPI_Gather,PMPI_Gather,0.000408,0.004398
6,1,PMPI_Gather,PMPI_Gather,0.000408,0.004398
7,1,PMPI_Gather,PMPI_Gather,0.000408,0.004398
8,1,PMPI_Gather,PMPI_Gather,0.000448,0.004398
9,1,PMPI_Gather,PMPI_Gather,0.000454,0.004398
10,1,PMPI_Gather,PMPI_Gather,0.000447,0.004398
11,1,PMPI_Gather,PMPI_Gather,0.000495,0.004398
12,1,PMPI_Gather,PMPI_Gather,0.000445,0.004398
13,1,PMPI_Gather,PMPI_Gather,0.000403,0.004398
14,1,PMPI_Gather,PMPI_Gather,0.000411,0.004398
