Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
3,1,PMPI_Gather,PMPI_Gather,0.000511,0.000538
4,1,PMPI_Gather,PMPI_Gather,0.00049,0.000538
5,1,PMPI_Gather,PMPI_Gather,0.000469,0.000538
6,1,PMPI_Gather,PMPI_Gather,0.000464,0.000538
7,1,PMPI_Gather,PMPI_Gather,0.000417,0.000538
8,1,PMPI_Gather,PMPI_Gather,0.000422,0.000538
9,1,PMPI_Gather,PMPI_Gather,0.00041,0.000538
10,1,PMPI_Gather,PMPI_Gather,0.000435,0.000538
11,1,PMPI_Gather,PMPI_Gather,0.000437,0.000538
12,1,PMPI_Gather,PMPI_Gather,0.000477,0.000538
13,1,PMPI_Gather,PMPI_Gather,0.000402,0.000538
14,1,PMPI_Gather,PMPI_Gather,0.000454,0.000538
15,1,PMPI_Gather,PMPI_Gather,0.000406,0.000538
16,1,PMPI_Gather,PMPI_Gather,0.000407,0.000538
17,1,PMPI_Gather,PMPI_Gather,0.000411,0.000538
18,1,PMPI_Gather,PMPI_Gather,0.000502,0.000538
19,1,PMPI_Gather,PMPI_Gather,0.000405,0.000538
20,1,PMPI_Gather,PMPI_Gather,0.000404,0.000538
21,1,PMPI_Gather,PMPI_Gather,0.000406,0.000538
22,1,PMPI_Gather,PMPI_Gather,0.000411,0.000538
23,1,PMPI_Gather,PMPI_Gather,0.000409,0.000538
24,1,PMPI_Gather,PMPI_Gather,0.000413,0.000538
25,1,PMPI_Gather,PMPI_Gather,0.000512,0.000538
26,1,PMPI_Gather,PMPI_Gather,0.000402,0.000538
27,1,PMPI_Gather,PMPI_Gather,0.000401,0.000538
28,1,PMPI_Gather,PMPI_Gather,0.000406,0.000538
29,1,PMPI_Gather,PMPI_Gather,0.000412,0.000538
30,1,PMPI_Gather,PMPI_Gather,0.000411,0.000538
31,1,PMPI_Gather,PMPI_Gather,0.000411,0.000538
32,1,PMPI_Gather,PMPI_Gather,0.000407,0.000538
2,1,PMPI_Gather,PMPI_Gather,0.000545,0.000563
2,1,PMPI_Gather,PMPI_Gather,0.000546,0.000584
3,1,PMPI_Gather,PMPI_Gather,0.000511,0.000584
4,1,PMPI_Gather,PMPI_Gather,0.000491,0.000584
5,1,PMPI_Gather,PMPI_Gather,0.000469,0.000584
6,1,PMPI_Gather,PMPI_Gather,0.000469,0.000584
7,1,PMPI_Gather,PMPI_Gather,0.000417,0.000584
8,1,PMPI_Gather,PMPI_Gather,0.000422,0.000584
9,1,PMPI_Gather,PMPI_Gather,0.00041,0.000584
10,1,PMPI_Gather,PMPI_Gather,0.000435,0.000584
11,1,PMPI_Gather,PMPI_Gather,0.000437,0.000584
12,1,PMPI_Gather,PMPI_Gather,0.000477,0.000584
13,1,PMPI_Gather,PMPI_Gather,0.000403,0.000584
14,1,PMPI_Gather,PMPI_Gather,0.000455,0.000584
15,1,PMPI_Gather,PMPI_Gather,0.000407,0.000584
16,1,PMPI_Gather,PMPI_Gather,0.000408,0.000584
17,1,PMPI_Gather,PMPI_Gather,0.000411,0.000584
18,1,PMPI_Gather,PMPI_Gather,0.000502,0.000584
19,1,PMPI_Gather,PMPI_Gather,0.000406,0.000584
20,1,PMPI_Gather,PMPI_Gather,0.000406,0.000584
21,1,PMPI_Gather,PMPI_Gather,0.000407,0.000584
22,1,PMPI_Gather,PMPI_Gather,0.000411,0.000584
23,1,PMPI_Gather,PMPI_Gather,0.000409,0.000584
24,1,PMPI_Gather,PMPI_Gather,0.000413,0.000584
25,1,PMPI_Gather,PMPI_Gather,0.000512,0.000584
26,1,PMPI_Gather,PMPI_Gather,0.000403,0.000584
27,1,PMPI_Gather,PMPI_Gather,0.000403,0.000584
28,1,PMPI_Gather,PMPI_Gather,0.000407,0.000584
29,1,PMPI_Gather,PMPI_Gather,0.000415,0.000584
30,1,PMPI_Gather,PMPI_Gather,0.000411,0.000584
31,1,PMPI_Gather,PMPI_Gather,0.000411,0.000584
32,1,PMPI_Gather,PMPI_Gather,0.000408,0.000584
2,1,PMPI_Gather,PMPI_Gather,0.000546,0.000606
3,1,PMPI_Gather,PMPI_Gather,0.000511,0.000606
4,1,PMPI_Gather,PMPI_Gather,0.000491,0.000606
5,1,PMPI_Gather,PMPI_Gather,0.000469,0.000606
6,1,PMPI_Gather,PMPI_Gather,0.000469,0.000606
7,1,PMPI_Gather,PMPI_Gather,0.000417,0.000606
8,1,PMPI_Gather,PMPI_Gather,0.000422,0.000606
9,1,PMPI_Gather,PMPI_Gather,0.00041,0.000606
10,1,PMPI_Gather,PMPI_Gather,0.000435,0.000606
11,1,PMPI_Gather,PMPI_Gather,0.000437,0.000606
12,1,PMPI_Gather,PMPI_Gather,0.000477,0.000606
13,1,PMPI_Gather,PMPI_Gather,0.000403,0.000606
14,1,PMPI_Gather,PMPI_Gather,0.000455,0.000606
15,1,PMPI_Gather,PMPI_Gather,0.000407,0.000606
16,1,PMPI_Gather,PMPI_Gather,0.000408,0.000606
17,1,PMPI_Gather,PMPI_Gather,0.000411,0.000606
18,1,PMPI_Gather,PMPI_Gather,0.000502,0.000606
19,1,PMPI_Gather,PMPI_Gather,0.000406,0.000606
20,1,PMPI_Gather,PMPI_Gather,0.000406,0.000606
21,1,PMPI_Gather,PMPI_Gather,0.000407,0.000606
22,1,PMPI_Gather,PMPI_Gather,0.000411,0.000606
23,1,PMPI_Gather,PMPI_Gather,0.000409,0.000606
24,1,PMPI_Gather,PMPI_Gather,0.000413,0.000606
25,1,PMPI_Gather,PMPI_Gather,0.000512,0.000606
26,1,PMPI_Gather,PMPI_Gather,0.000404,0.000606
27,1,PMPI_Gather,PMPI_Gather,0.000403,0.000606
28,1,PMPI_Gather,PMPI_Gather,0.000407,0.000606
29,1,PMPI_Gather,PMPI_Gather,0.000415,0.000606
30,1,PMPI_Gather,PMPI_Gather,0.000411,0.000606
31,1,PMPI_Gather,PMPI_Gather,0.000411,0.000606
32,1,PMPI_Gather,PMPI_Gather,0.000408,0.000606
2,1,PMPI_Gather,PMPI_Gather,0.000546,0.000627
3,1,PMPI_Gather,PMPI_Gather,0.000511,0.000627
4,1,PMPI_Gather,PMPI_Gather,0.000491,0.000627
5,1,PMPI_Gather,PMPI_Gather,0.000469,0.000627
6,1,PMPI_Gather,PMPI_Gather,0.000469,0.000627
7,1,PMPI_Gather,PMPI_Gather,0.000417,0.000627
8,1,PMPI_Gather,PMPI_Gather,0.000422,0.000627
9,1,PMPI_Gather,PMPI_Gather,0.00041,0.000627
10,1,PMPI_Gather,PMPI_Gather,0.000435,0.000627
11,1,PMPI_Gather,PMPI_Gather,0.000437,0.000627
12,1,PMPI_Gather,PMPI_Gather,0.000477,0.000627
13,1,PMPI_Gather,PMPI_Gather,0.000403,0.000627
14,1,PMPI_Gather,PMPI_Gather,0.000455,0.000627
15,1,PMPI_Gather,PMPI_Gather,0.000407,0.000627
16,1,PMPI_Gather,PMPI_Gather,0.000408,0.000627
17,1,PMPI_Gather,PMPI_Gather,0.000411,0.000627
18,1,PMPI_Gather,PMPI_Gather,0.000502,0.000627
19,1,PMPI_Gather,PMPI_Gather,0.000406,0.000627
20,1,PMPI_Gather,PMPI_Gather,0.000406,0.000627
21,1,PMPI_Gather,PMPI_Gather,0.000407,0.000627
22,1,PMPI_Gather,PMPI_Gather,0.000411,0.000627
23,1,PMPI_Gather,PMPI_Gather,0.000409,0.000627
24,1,PMPI_Gather,PMPI_Gather,0.000413,0.000627
25,1,PMPI_Gather,PMPI_Gather,0.000512,0.000627
26,1,PMPI_Gather,PMPI_Gather,0.000404,0.000627
27,1,PMPI_Gather,PMPI_Gather,0.000403,0.000627
28,1,PMPI_Gather,PMPI_Gather,0.000407,0.000627
29,1,PMPI_Gather,PMPI_Gather,0.000415,0.000627
30,1,PMPI_Gather,PMPI_Gather,0.000411,0.000627
31,1,PMPI_Gather,PMPI_Gather,0.000411,0.000627
32,1,PMPI_Gather,PMPI_Gather,0.000408,0.000627
2,1,PMPI_Gather,PMPI_Gather,0.000546,0.000649
3,1,PMPI_Gather,PMPI_Gather,0.000511,0.000649
4,1,PMPI_Gather,PMPI_Gather,0.000491,0.000649
5,1,PMPI_Gather,PMPI_Gather,0.000469,0.000649
6,1,PMPI_Gather,PMPI_Gather,0.000469,0.000649
7,1,PMPI_Gather,PMPI_Gather,0.000417,0.000649
8,1,PMPI_Gather,PMPI_Gather,0.000422,0.000649
9,1,PMPI_Gather,PMPI_Gather,0.00041,0.000649
10,1,PMPI_Gather,PMPI_Gather,0.000435,0.000649
11,1,PMPI_Gather,PMPI_Gather,0.000437,0.000649
12,1,PMPI_Gather,PMPI_Gather,0.000477,0.000649
13,1,PMPI_Gather,PMPI_Gather,0.000403,0.000649
14,1,PMPI_Gather,PMPI_Gather,0.000455,0.000649
15,1,PMPI_Gather,PMPI_Gather,0.000407,0.000649
16,1,PMPI_Gather,PMPI_Gather,0.000408,0.000649
17,1,PMPI_Gather,PMPI_Gather,0.000411,0.000649
18,1,PMPI_Gather,PMPI_Gather,0.000502,0.000649
19,1,PMPI_Gather,PMPI_Gather,0.000406,0.000649
20,1,PMPI_Gather,PMPI_Gather,0.000406,0.000649
21,1,PMPI_Gather,PMPI_Gather,0.000407,0.000649
22,1,PMPI_Gather,PMPI_Gather,0.000411,0.000649
23,1,PMPI_Gather,PMPI_Gather,0.000409,0.000649
24,1,PMPI_Gather,PMPI_Gather,0.000413,0.000649
25,1,PMPI_Gather,PMPI_Gather,0.000512,0.000649
26,1,PMPI_Gather,PMPI_Gather,0.000404,0.000649
27,1,PMPI_Gather,PMPI_Gather,0.000403,0.000649
28,1,PMPI_Gather,PMPI_Gather,0.000407,0.000649
29,1,PMPI_Gather,PMPI_Gather,0.000415,0.000649
30,1,PMPI_Gather,PMPI_Gather,0.000411,0.000649
31,1,PMPI_Gather,PMPI_Gather,0.000411,0.000649
32,1,PMPI_Gather,PMPI_Gather,0.000408,0.000649
2,1,PMPI_Gather,PMPI_Gather,0.000546,0.00067
3,1,PMPI_Gather,PMPI_Gather,0.000511,0.00067
4,1,PMPI_Gather,PMPI_Gather,0.000491,0.00067
5,1,PMPI_Gather,PMPI_Gather,0.000469,0.00067
6,1,PMPI_Gather,PMPI_Gather,0.000469,0.00067
