Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
4,1,PMPI_Gather,PMPI_Gather,0.000402,0.000695
2,1,PMPI_Gather,PMPI_Gather,0.000397,0.000695
3,1,PMPI_Gather,PMPI_Gather,0.000432,0.000697
16,1,PMPI_Gather,PMPI_Gather,0.000398,0.001161
5,1,PMPI_Gather,PMPI_Gather,0.000399,0.001161
6,1,PMPI_Gather,PMPI_Gather,0.000404,0.001161
7,1,PMPI_Gather,PMPI_Gather,0.000416,0.001161
8,1,PMPI_Gather,PMPI_Gather,0.000424,0.001161
9,1,PMPI_Gather,PMPI_Gather,0.000414,0.001161
10,1,PMPI_Gather,PMPI_Gather,0.000423,0.001161
13,1,PMPI_Gather,PMPI_Gather,0.000421,0.001161
15,1,PMPI_Gather,PMPI_Gather,0.000415,0.001161
12,1,PMPI_Gather,PMPI_Gather,0.00046,0.001206
11,1,PMPI_Gather,PMPI_Gather,0.000469,0.001218
14,1,PMPI_Gather,PMPI_Gather,0.000507,0.001258
32,1,PMPI_Gather,PMPI_Gather,0.0004,0.001492
17,1,PMPI_Gather,PMPI_Gather,0.000404,0.001492
19,1,PMPI_Gather,PMPI_Gather,0.000402,0.001492
20,1,PMPI_Gather,PMPI_Gather,0.000398,0.001492
21,1,PMPI_Gather,PMPI_Gather,0.000399,0.001492
23,1,PMPI_Gather,PMPI_Gather,0.000419,0.001492
24,1,PMPI_Gather,PMPI_Gather,0.00042,0.001492
25,1,PMPI_Gather,PMPI_Gather,0.000417,0.001492
27,1,PMPI_Gather,PMPI_Gather,0.000419,0.001492
28,1,PMPI_Gather,PMPI_Gather,0.000428,0.001492
29,1,PMPI_Gather,PMPI_Gather,0.0004,0.001492
31,1,PMPI_Gather,PMPI_Gather,0.0004,0.001492
26,1,PMPI_Gather,PMPI_Gather,0.00044,0.001493
22,1,PMPI_Gather,PMPI_Gather,0.00044,0.001493
30,1,PMPI_Gather,PMPI_Gather,0.000453,0.001494
18,1,PMPI_Gather,PMPI_Gather,0.000619,0.0015
2,1,PMPI_Gather,PMPI_Gather,0.000399,0.001769
3,1,PMPI_Gather,PMPI_Gather,0.000434,0.001769
4,1,PMPI_Gather,PMPI_Gather,0.000402,0.001769
16,1,PMPI_Gather,PMPI_Gather,0.000399,0.002269
5,1,PMPI_Gather,PMPI_Gather,0.000401,0.002269
6,1,PMPI_Gather,PMPI_Gather,0.000404,0.002269
7,1,PMPI_Gather,PMPI_Gather,0.000416,0.002269
8,1,PMPI_Gather,PMPI_Gather,0.000424,0.002269
9,1,PMPI_Gather,PMPI_Gather,0.000414,0.002269
10,1,PMPI_Gather,PMPI_Gather,0.000423,0.002269
11,1,PMPI_Gather,PMPI_Gather,0.000469,0.002269
12,1,PMPI_Gather,PMPI_Gather,0.00046,0.002269
13,1,PMPI_Gather,PMPI_Gather,0.000421,0.002269
14,1,PMPI_Gather,PMPI_Gather,0.000507,0.002269
15,1,PMPI_Gather,PMPI_Gather,0.000415,0.002269
32,1,PMPI_Gather,PMPI_Gather,0.0004,0.002572
17,1,PMPI_Gather,PMPI_Gather,0.000404,0.002572
18,1,PMPI_Gather,PMPI_Gather,0.00062,0.002572
19,1,PMPI_Gather,PMPI_Gather,0.000402,0.002572
20,1,PMPI_Gather,PMPI_Gather,0.000398,0.002572
21,1,PMPI_Gather,PMPI_Gather,0.0004,0.002572
22,1,PMPI_Gather,PMPI_Gather,0.00044,0.002572
23,1,PMPI_Gather,PMPI_Gather,0.000419,0.002572
24,1,PMPI_Gather,PMPI_Gather,0.00042,0.002572
25,1,PMPI_Gather,PMPI_Gather,0.000417,0.002572
