Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.00042,0.000442
3,1,PMPI_Gather,PMPI_Gather,0.000433,0.000442
5,1,PMPI_Gather,PMPI_Gather,0.000412,0.000442
8,1,PMPI_Gather,PMPI_Gather,0.000396,0.000442
6,1,PMPI_Gather,PMPI_Gather,0.00044,0.000448
4,1,PMPI_Gather,PMPI_Gather,0.00044,0.000448
32,1,PMPI_Gather,PMPI_Gather,0.000403,0.000452
10,1,PMPI_Gather,PMPI_Gather,0.000401,0.000452
11,1,PMPI_Gather,PMPI_Gather,0.000402,0.000452
12,1,PMPI_Gather,PMPI_Gather,0.000427,0.000452
14,1,PMPI_Gather,PMPI_Gather,0.000416,0.000452
15,1,PMPI_Gather,PMPI_Gather,0.000404,0.000452
16,1,PMPI_Gather,PMPI_Gather,0.000407,0.000452
17,1,PMPI_Gather,PMPI_Gather,0.000401,0.000452
18,1,PMPI_Gather,PMPI_Gather,0.000405,0.000452
19,1,PMPI_Gather,PMPI_Gather,0.000408,0.000452
20,1,PMPI_Gather,PMPI_Gather,0.000404,0.000452
22,1,PMPI_Gather,PMPI_Gather,0.000395,0.000452
23,1,PMPI_Gather,PMPI_Gather,0.000401,0.000452
24,1,PMPI_Gather,PMPI_Gather,0.000408,0.000452
25,1,PMPI_Gather,PMPI_Gather,0.000404,0.000452
26,1,PMPI_Gather,PMPI_Gather,0.000414,0.000452
27,1,PMPI_Gather,PMPI_Gather,0.000404,0.000452
28,1,PMPI_Gather,PMPI_Gather,0.000409,0.000452
30,1,PMPI_Gather,PMPI_Gather,0.000398,0.000452
31,1,PMPI_Gather,PMPI_Gather,0.000403,0.000452
64,1,PMPI_Gather,PMPI_Gather,0.000395,0.000461
33,1,PMPI_Gather,PMPI_Gather,0.000419,0.000461
34,1,PMPI_Gather,PMPI_Gather,0.000401,0.000461
35,1,PMPI_Gather,PMPI_Gather,0.000396,0.000461
36,1,PMPI_Gather,PMPI_Gather,0.000401,0.000461
38,1,PMPI_Gather,PMPI_Gather,0.000399,0.000461
39,1,PMPI_Gather,PMPI_Gather,0.000397,0.000461
40,1,PMPI_Gather,PMPI_Gather,0.000396,0.000461
41,1,PMPI_Gather,PMPI_Gather,0.000398,0.000461
42,1,PMPI_Gather,PMPI_Gather,0.000396,0.000461
43,1,PMPI_Gather,PMPI_Gather,0.000412,0.000461
44,1,PMPI_Gather,PMPI_Gather,0.000397,0.000461
46,1,PMPI_Gather,PMPI_Gather,0.0004,0.000461
47,1,PMPI_Gather,PMPI_Gather,0.000404,0.000461
48,1,PMPI_Gather,PMPI_Gather,0.000397,0.000461
49,1,PMPI_Gather,PMPI_Gather,0.000422,0.000461
50,1,PMPI_Gather,PMPI_Gather,0.000413,0.000461
51,1,PMPI_Gather,PMPI_Gather,0.0004,0.000461
53,1,PMPI_Gather,PMPI_Gather,0.000406,0.000461
54,1,PMPI_Gather,PMPI_Gather,0.000406,0.000461
55,1,PMPI_Gather,PMPI_Gather,0.000395,0.000461
56,1,PMPI_Gather,PMPI_Gather,0.000395,0.000461
57,1,PMPI_Gather,PMPI_Gather,0.000403,0.000461
58,1,PMPI_Gather,PMPI_Gather,0.000398,0.000461
59,1,PMPI_Gather,PMPI_Gather,0.0004,0.000461
61,1,PMPI_Gather,PMPI_Gather,0.000389,0.000461
62,1,PMPI_Gather,PMPI_Gather,0.000393,0.000461
63,1,PMPI_Gather,PMPI_Gather,0.000391,0.000461
7,1,PMPI_Gather,PMPI_Gather,0.000452,0.000461
37,1,PMPI_Gather,PMPI_Gather,0.000472,0.000496
60,1,PMPI_Gather,PMPI_Gather,0.000473,0.000496
29,1,PMPI_Gather,PMPI_Gather,0.000496,0.000512
52,1,PMPI_Gather,PMPI_Gather,0.000493,0.000517
45,1,PMPI_Gather,PMPI_Gather,0.000495,0.000518
9,1,PMPI_Gather,PMPI_Gather,0.000505,0.000521
21,1,PMPI_Gather,PMPI_Gather,0.000511,0.000526
13,1,PMPI_Gather,PMPI_Gather,0.000553,0.000568
2,1,PMPI_Gather,PMPI_Gather,0.000421,0.000577
3,1,PMPI_Gather,PMPI_Gather,0.000434,0.000577
4,1,PMPI_Gather,PMPI_Gather,0.00044,0.000577
5,1,PMPI_Gather,PMPI_Gather,0.000412,0.000577
6,1,PMPI_Gather,PMPI_Gather,0.00044,0.000577
7,1,PMPI_Gather,PMPI_Gather,0.000452,0.000577
8,1,PMPI_Gather,PMPI_Gather,0.000396,0.000577
9,1,PMPI_Gather,PMPI_Gather,0.000505,0.000587
10,1,PMPI_Gather,PMPI_Gather,0.000401,0.000587
11,1,PMPI_Gather,PMPI_Gather,0.000402,0.000587
12,1,PMPI_Gather,PMPI_Gather,0.000428,0.000587
13,1,PMPI_Gather,PMPI_Gather,0.000553,0.000587
14,1,PMPI_Gather,PMPI_Gather,0.000416,0.000587
15,1,PMPI_Gather,PMPI_Gather,0.000404,0.000587
16,1,PMPI_Gather,PMPI_Gather,0.000407,0.000587
17,1,PMPI_Gather,PMPI_Gather,0.000401,0.000587
18,1,PMPI_Gather,PMPI_Gather,0.000405,0.000587
19,1,PMPI_Gather,PMPI_Gather,0.000408,0.000587
20,1,PMPI_Gather,PMPI_Gather,0.000404,0.000587
21,1,PMPI_Gather,PMPI_Gather,0.000511,0.000587
22,1,PMPI_Gather,PMPI_Gather,0.000395,0.000587
23,1,PMPI_Gather,PMPI_Gather,0.000401,0.000587
24,1,PMPI_Gather,PMPI_Gather,0.000408,0.000587
25,1,PMPI_Gather,PMPI_Gather,0.000404,0.000587
26,1,PMPI_Gather,PMPI_Gather,0.000414,0.000587
27,1,PMPI_Gather,PMPI_Gather,0.000404,0.000587
28,1,PMPI_Gather,PMPI_Gather,0.000409,0.000587
29,1,PMPI_Gather,PMPI_Gather,0.000496,0.000587
30,1,PMPI_Gather,PMPI_Gather,0.000398,0.000587
31,1,PMPI_Gather,PMPI_Gather,0.000403,0.000587
32,1,PMPI_Gather,PMPI_Gather,0.000403,0.000587
33,1,PMPI_Gather,PMPI_Gather,0.000419,0.000596
34,1,PMPI_Gather,PMPI_Gather,0.000401,0.000596
35,1,PMPI_Gather,PMPI_Gather,0.000396,0.000596
36,1,PMPI_Gather,PMPI_Gather,0.000401,0.000596
37,1,PMPI_Gather,PMPI_Gather,0.000474,0.000596
38,1,PMPI_Gather,PMPI_Gather,0.000399,0.000596
39,1,PMPI_Gather,PMPI_Gather,0.000397,0.000596
40,1,PMPI_Gather,PMPI_Gather,0.000396,0.000596
41,1,PMPI_Gather,PMPI_Gather,0.000398,0.000596
42,1,PMPI_Gather,PMPI_Gather,0.000396,0.000596
43,1,PMPI_Gather,PMPI_Gather,0.000412,0.000596
44,1,PMPI_Gather,PMPI_Gather,0.000397,0.000596
45,1,PMPI_Gather,PMPI_Gather,0.000495,0.000596
46,1,PMPI_Gather,PMPI_Gather,0.0004,0.000596
47,1,PMPI_Gather,PMPI_Gather,0.000404,0.000596
48,1,PMPI_Gather,PMPI_Gather,0.000397,0.000596
49,1,PMPI_Gather,PMPI_Gather,0.000422,0.000596
50,1,PMPI_Gather,PMPI_Gather,0.000413,0.000596
51,1,PMPI_Gather,PMPI_Gather,0.0004,0.000596
52,1,PMPI_Gather,PMPI_Gather,0.000494,0.000596
53,1,PMPI_Gather,PMPI_Gather,0.000406,0.000596
54,1,PMPI_Gather,PMPI_Gather,0.000406,0.000596
55,1,PMPI_Gather,PMPI_Gather,0.000395,0.000596
56,1,PMPI_Gather,PMPI_Gather,0.000395,0.000596
57,1,PMPI_Gather,PMPI_Gather,0.000403,0.000596
58,1,PMPI_Gather,PMPI_Gather,0.000398,0.000596
59,1,PMPI_Gather,PMPI_Gather,0.0004,0.000596
60,1,PMPI_Gather,PMPI_Gather,0.000473,0.000596
61,1,PMPI_Gather,PMPI_Gather,0.000391,0.000596
62,1,PMPI_Gather,PMPI_Gather,0.000395,0.000596
63,1,PMPI_Gather,PMPI_Gather,0.000392,0.000596
64,1,PMPI_Gather,PMPI_Gather,0.000395,0.000596
2,1,PMPI_Gather,PMPI_Gather,0.000421,0.000604
3,1,PMPI_Gather,PMPI_Gather,0.000434,0.000604
4,1,PMPI_Gather,PMPI_Gather,0.00044,0.000604
5,1,PMPI_Gather,PMPI_Gather,0.000412,0.000604
6,1,PMPI_Gather,PMPI_Gather,0.00044,0.000604
7,1,PMPI_Gather,PMPI_Gather,0.000452,0.000604
8,1,PMPI_Gather,PMPI_Gather,0.000396,0.000604
9,1,PMPI_Gather,PMPI_Gather,0.000505,0.000614
10,1,PMPI_Gather,PMPI_Gather,0.000401,0.000614
11,1,PMPI_Gather,PMPI_Gather,0.000402,0.000614
12,1,PMPI_Gather,PMPI_Gather,0.000429,0.000614
13,1,PMPI_Gather,PMPI_Gather,0.000553,0.000614
14,1,PMPI_Gather,PMPI_Gather,0.000416,0.000614
15,1,PMPI_Gather,PMPI_Gather,0.000404,0.000614
16,1,PMPI_Gather,PMPI_Gather,0.000407,0.000614
17,1,PMPI_Gather,PMPI_Gather,0.000401,0.000614
18,1,PMPI_Gather,PMPI_Gather,0.000405,0.000614
19,1,PMPI_Gather,PMPI_Gather,0.000408,0.000614
20,1,PMPI_Gather,PMPI_Gather,0.000404,0.000614
21,1,PMPI_Gather,PMPI_Gather,0.000511,0.000614
22,1,PMPI_Gather,PMPI_Gather,0.000395,0.000614
23,1,PMPI_Gather,PMPI_Gather,0.000401,0.000614
24,1,PMPI_Gather,PMPI_Gather,0.000408,0.000614
25,1,PMPI_Gather,PMPI_Gather,0.000404,0.000614
26,1,PMPI_Gather,PMPI_Gather,0.000414,0.000614
27,1,PMPI_Gather,PMPI_Gather,0.000404,0.000614
28,1,PMPI_Gather,PMPI_Gather,0.000409,0.000614
29,1,PMPI_Gather,PMPI_Gather,0.000496,0.000614
30,1,PMPI_Gather,PMPI_Gather,0.000398,0.000614
31,1,PMPI_Gather,PMPI_Gather,0.000403,0.000614
32,1,PMPI_Gather,PMPI_Gather,0.000403,0.000614
33,1,PMPI_Gather,PMPI_Gather,0.000419,0.000623
34,1,PMPI_Gather,PMPI_Gather,0.000401,0.000623
35,1,PMPI_Gather,PMPI_Gather,0.000396,0.000623
36,1,PMPI_Gather,PMPI_Gather,0.000401,0.000623
37,1,PMPI_Gather,PMPI_Gather,0.000474,0.000623
38,1,PMPI_Gather,PMPI_Gather,0.000399,0.000623
39,1,PMPI_Gather,PMPI_Gather,0.000397,0.000623
40,1,PMPI_Gather,PMPI_Gather,0.000396,0.000623
41,1,PMPI_Gather,PMPI_Gather,0.000398,0.000623
42,1,PMPI_Gather,PMPI_Gather,0.000396,0.000623
