Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.000437,0.000579
13,1,PMPI_Gather,PMPI_Gather,0.000409,0.000579
5,1,PMPI_Gather,PMPI_Gather,0.000459,0.000581
4,1,PMPI_Gather,PMPI_Gather,0.000477,0.000599
17,1,PMPI_Gather,PMPI_Gather,0.000511,0.000633
3,1,PMPI_Gather,PMPI_Gather,0.000439,0.000676
14,1,PMPI_Gather,PMPI_Gather,0.000402,0.0007
6,1,PMPI_Gather,PMPI_Gather,0.000417,0.0007
8,1,PMPI_Gather,PMPI_Gather,0.000405,0.0007
16,1,PMPI_Gather,PMPI_Gather,0.00041,0.0007
9,1,PMPI_Gather,PMPI_Gather,0.000509,0.000729
21,1,PMPI_Gather,PMPI_Gather,0.000405,0.000749
18,1,PMPI_Gather,PMPI_Gather,0.000401,0.000749
20,1,PMPI_Gather,PMPI_Gather,0.000406,0.000749
29,1,PMPI_Gather,PMPI_Gather,0.00045,0.000749
15,1,PMPI_Gather,PMPI_Gather,0.000407,0.000774
12,1,PMPI_Gather,PMPI_Gather,0.000399,0.000822
7,1,PMPI_Gather,PMPI_Gather,0.000408,0.000822
10,1,PMPI_Gather,PMPI_Gather,0.000402,0.000822
11,1,PMPI_Gather,PMPI_Gather,0.000408,0.000871
30,1,PMPI_Gather,PMPI_Gather,0.000413,0.000899
19,1,PMPI_Gather,PMPI_Gather,0.000402,0.000899
22,1,PMPI_Gather,PMPI_Gather,0.00041,0.000899
24,1,PMPI_Gather,PMPI_Gather,0.000402,0.000899
32,1,PMPI_Gather,PMPI_Gather,0.000419,0.000899
25,1,PMPI_Gather,PMPI_Gather,0.000524,0.000955
28,1,PMPI_Gather,PMPI_Gather,0.000424,0.001002
23,1,PMPI_Gather,PMPI_Gather,0.000413,0.001002
26,1,PMPI_Gather,PMPI_Gather,0.000404,0.001002
31,1,PMPI_Gather,PMPI_Gather,0.000405,0.001002
27,1,PMPI_Gather,PMPI_Gather,0.000406,0.001017
2,1,PMPI_Gather,PMPI_Gather,0.000437,0.00114
4,1,PMPI_Gather,PMPI_Gather,0.000477,0.00114
5,1,PMPI_Gather,PMPI_Gather,0.000459,0.00114
13,1,PMPI_Gather,PMPI_Gather,0.00041,0.00114
17,1,PMPI_Gather,PMPI_Gather,0.000511,0.00114
3,1,PMPI_Gather,PMPI_Gather,0.000439,0.001237
14,1,PMPI_Gather,PMPI_Gather,0.000403,0.001262
16,1,PMPI_Gather,PMPI_Gather,0.000411,0.001262
8,1,PMPI_Gather,PMPI_Gather,0.000406,0.001286
6,1,PMPI_Gather,PMPI_Gather,0.000417,0.001286
9,1,PMPI_Gather,PMPI_Gather,0.000509,0.001286
21,1,PMPI_Gather,PMPI_Gather,0.000406,0.00131
18,1,PMPI_Gather,PMPI_Gather,0.000402,0.00131
20,1,PMPI_Gather,PMPI_Gather,0.000407,0.00131
