Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
4,1,PMPI_Gather,PMPI_Gather,0.000689,0.000693
5,1,PMPI_Gather,PMPI_Gather,0.000682,0.000693
13,1,PMPI_Gather,PMPI_Gather,0.000422,0.000693
17,1,PMPI_Gather,PMPI_Gather,0.000402,0.000693
14,1,PMPI_Gather,PMPI_Gather,0.000415,0.000695
16,1,PMPI_Gather,PMPI_Gather,0.00041,0.000695
8,1,PMPI_Gather,PMPI_Gather,0.000544,0.000695
6,1,PMPI_Gather,PMPI_Gather,0.000596,0.000695
9,1,PMPI_Gather,PMPI_Gather,0.000497,0.000695
21,1,PMPI_Gather,PMPI_Gather,0.000394,0.000695
18,1,PMPI_Gather,PMPI_Gather,0.000419,0.000695
20,1,PMPI_Gather,PMPI_Gather,0.000402,0.000695
29,1,PMPI_Gather,PMPI_Gather,0.000397,0.000695
15,1,PMPI_Gather,PMPI_Gather,0.000419,0.000697
10,1,PMPI_Gather,PMPI_Gather,0.000509,0.000697
7,1,PMPI_Gather,PMPI_Gather,0.00068,0.000697
12,1,PMPI_Gather,PMPI_Gather,0.000454,0.000697
32,1,PMPI_Gather,PMPI_Gather,0.000405,0.000698
19,1,PMPI_Gather,PMPI_Gather,0.000509,0.000698
22,1,PMPI_Gather,PMPI_Gather,0.000401,0.000698
24,1,PMPI_Gather,PMPI_Gather,0.000405,0.000698
25,1,PMPI_Gather,PMPI_Gather,0.00041,0.000698
30,1,PMPI_Gather,PMPI_Gather,0.00041,0.000698
11,1,PMPI_Gather,PMPI_Gather,0.000638,0.000699
31,1,PMPI_Gather,PMPI_Gather,0.000403,0.000699
23,1,PMPI_Gather,PMPI_Gather,0.000409,0.000699
26,1,PMPI_Gather,PMPI_Gather,0.000407,0.000699
28,1,PMPI_Gather,PMPI_Gather,0.000399,0.000699
27,1,PMPI_Gather,PMPI_Gather,0.000504,0.000701
2,1,PMPI_Gather,PMPI_Gather,0.000701,0.000703
3,1,PMPI_Gather,PMPI_Gather,0.000729,0.000733
2,1,PMPI_Gather,PMPI_Gather,0.000701,0.000735
4,1,PMPI_Gather,PMPI_Gather,0.000689,0.000735
5,1,PMPI_Gather,PMPI_Gather,0.000682,0.000735
13,1,PMPI_Gather,PMPI_Gather,0.000422,0.000735
17,1,PMPI_Gather,PMPI_Gather,0.000403,0.000735
3,1,PMPI_Gather,PMPI_Gather,0.000729,0.000737
14,1,PMPI_Gather,PMPI_Gather,0.000416,0.000737
16,1,PMPI_Gather,PMPI_Gather,0.000411,0.000737
8,1,PMPI_Gather,PMPI_Gather,0.000545,0.000737
6,1,PMPI_Gather,PMPI_Gather,0.000596,0.000737
9,1,PMPI_Gather,PMPI_Gather,0.000497,0.000737
21,1,PMPI_Gather,PMPI_Gather,0.000396,0.000737
18,1,PMPI_Gather,PMPI_Gather,0.00042,0.000737
20,1,PMPI_Gather,PMPI_Gather,0.000402,0.000737
29,1,PMPI_Gather,PMPI_Gather,0.000399,0.000737
15,1,PMPI_Gather,PMPI_Gather,0.00042,0.000739
10,1,PMPI_Gather,PMPI_Gather,0.000509,0.000739
7,1,PMPI_Gather,PMPI_Gather,0.00068,0.000739
12,1,PMPI_Gather,PMPI_Gather,0.000456,0.000739
32,1,PMPI_Gather,PMPI_Gather,0.000405,0.000739
19,1,PMPI_Gather,PMPI_Gather,0.000509,0.000739
22,1,PMPI_Gather,PMPI_Gather,0.000402,0.000739
24,1,PMPI_Gather,PMPI_Gather,0.000406,0.000739
25,1,PMPI_Gather,PMPI_Gather,0.000411,0.000739
30,1,PMPI_Gather,PMPI_Gather,0.00041,0.000739
11,1,PMPI_Gather,PMPI_Gather,0.000638,0.000741
31,1,PMPI_Gather,PMPI_Gather,0.000403,0.000741
23,1,PMPI_Gather,PMPI_Gather,0.00041,0.000741
26,1,PMPI_Gather,PMPI_Gather,0.000408,0.000741
28,1,PMPI_Gather,PMPI_Gather,0.0004,0.000741
27,1,PMPI_Gather,PMPI_Gather,0.000504,0.000743
2,1,PMPI_Gather,PMPI_Gather,0.000701,0.000745
4,1,PMPI_Gather,PMPI_Gather,0.000689,0.000745
5,1,PMPI_Gather,PMPI_Gather,0.000682,0.000745
13,1,PMPI_Gather,PMPI_Gather,0.000422,0.000745
17,1,PMPI_Gather,PMPI_Gather,0.000404,0.000745
3,1,PMPI_Gather,PMPI_Gather,0.000729,0.000747
14,1,PMPI_Gather,PMPI_Gather,0.000416,0.000747
16,1,PMPI_Gather,PMPI_Gather,0.000411,0.000747
8,1,PMPI_Gather,PMPI_Gather,0.000545,0.000747
6,1,PMPI_Gather,PMPI_Gather,0.000596,0.000747
9,1,PMPI_Gather,PMPI_Gather,0.000497,0.000747
21,1,PMPI_Gather,PMPI_Gather,0.000396,0.000747
18,1,PMPI_Gather,PMPI_Gather,0.00042,0.000747
20,1,PMPI_Gather,PMPI_Gather,0.000402,0.000747
29,1,PMPI_Gather,PMPI_Gather,0.000399,0.000747
15,1,PMPI_Gather,PMPI_Gather,0.00042,0.000749
10,1,PMPI_Gather,PMPI_Gather,0.000509,0.000749
7,1,PMPI_Gather,PMPI_Gather,0.00068,0.000749
12,1,PMPI_Gather,PMPI_Gather,0.000456,0.000749
32,1,PMPI_Gather,PMPI_Gather,0.000405,0.000749
19,1,PMPI_Gather,PMPI_Gather,0.000509,0.000749
22,1,PMPI_Gather,PMPI_Gather,0.000402,0.000749
24,1,PMPI_Gather,PMPI_Gather,0.000406,0.000749
25,1,PMPI_Gather,PMPI_Gather,0.000412,0.000749
30,1,PMPI_Gather,PMPI_Gather,0.00041,0.000749
11,1,PMPI_Gather,PMPI_Gather,0.000638,0.00075
31,1,PMPI_Gather,PMPI_Gather,0.000403,0.000751
23,1,PMPI_Gather,PMPI_Gather,0.000411,0.000751
26,1,PMPI_Gather,PMPI_Gather,0.000408,0.000751
28,1,PMPI_Gather,PMPI_Gather,0.0004,0.000751
27,1,PMPI_Gather,PMPI_Gather,0.000504,0.000752
2,1,PMPI_Gather,PMPI_Gather,0.000701,0.000754
4,1,PMPI_Gather,PMPI_Gather,0.000689,0.000754
5,1,PMPI_Gather,PMPI_Gather,0.000682,0.000754
13,1,PMPI_Gather,PMPI_Gather,0.000422,0.000754
17,1,PMPI_Gather,PMPI_Gather,0.000404,0.000754
3,1,PMPI_Gather,PMPI_Gather,0.000729,0.000756
14,1,PMPI_Gather,PMPI_Gather,0.000416,0.000757
16,1,PMPI_Gather,PMPI_Gather,0.000411,0.000757
8,1,PMPI_Gather,PMPI_Gather,0.000545,0.000757
6,1,PMPI_Gather,PMPI_Gather,0.000596,0.000757
9,1,PMPI_Gather,PMPI_Gather,0.000497,0.000757
21,1,PMPI_Gather,PMPI_Gather,0.000396,0.000757
18,1,PMPI_Gather,PMPI_Gather,0.00042,0.000757
20,1,PMPI_Gather,PMPI_Gather,0.000402,0.000757
29,1,PMPI_Gather,PMPI_Gather,0.000399,0.000757
15,1,PMPI_Gather,PMPI_Gather,0.00042,0.000758
10,1,PMPI_Gather,PMPI_Gather,0.000509,0.000759
7,1,PMPI_Gather,PMPI_Gather,0.00068,0.000759
12,1,PMPI_Gather,PMPI_Gather,0.000456,0.000759
32,1,PMPI_Gather,PMPI_Gather,0.000405,0.000759
19,1,PMPI_Gather,PMPI_Gather,0.000509,0.000759
22,1,PMPI_Gather,PMPI_Gather,0.000402,0.000759
24,1,PMPI_Gather,PMPI_Gather,0.000406,0.000759
25,1,PMPI_Gather,PMPI_Gather,0.000412,0.000759
30,1,PMPI_Gather,PMPI_Gather,0.00041,0.000759
11,1,PMPI_Gather,PMPI_Gather,0.000638,0.00076
31,1,PMPI_Gather,PMPI_Gather,0.000403,0.000761
23,1,PMPI_Gather,PMPI_Gather,0.000411,0.000761
26,1,PMPI_Gather,PMPI_Gather,0.000408,0.000761
28,1,PMPI_Gather,PMPI_Gather,0.0004,0.000761
27,1,PMPI_Gather,PMPI_Gather,0.000504,0.000762
2,1,PMPI_Gather,PMPI_Gather,0.000701,0.000764
4,1,PMPI_Gather,PMPI_Gather,0.000689,0.000764
5,1,PMPI_Gather,PMPI_Gather,0.000682,0.000764
13,1,PMPI_Gather,PMPI_Gather,0.000422,0.000764
17,1,PMPI_Gather,PMPI_Gather,0.000404,0.000764
3,1,PMPI_Gather,PMPI_Gather,0.000729,0.000766
14,1,PMPI_Gather,PMPI_Gather,0.000416,0.000766
16,1,PMPI_Gather,PMPI_Gather,0.000411,0.000766
8,1,PMPI_Gather,PMPI_Gather,0.000545,0.000767
6,1,PMPI_Gather,PMPI_Gather,0.000596,0.000767
9,1,PMPI_Gather,PMPI_Gather,0.000497,0.000767
21,1,PMPI_Gather,PMPI_Gather,0.000396,0.000767
18,1,PMPI_Gather,PMPI_Gather,0.00042,0.000767
20,1,PMPI_Gather,PMPI_Gather,0.000402,0.000767
29,1,PMPI_Gather,PMPI_Gather,0.000399,0.000767
15,1,PMPI_Gather,PMPI_Gather,0.00042,0.000768
10,1,PMPI_Gather,PMPI_Gather,0.000509,0.000768
7,1,PMPI_Gather,PMPI_Gather,0.00068,0.000768
12,1,PMPI_Gather,PMPI_Gather,0.000456,0.000768
32,1,PMPI_Gather,PMPI_Gather,0.000405,0.000769
19,1,PMPI_Gather,PMPI_Gather,0.000509,0.000769
22,1,PMPI_Gather,PMPI_Gather,0.000402,0.000769
