Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000477,0.000697
2,1,PMPI_Send,PMPI_Recv,0.0007,0.00092
1,3,PMPI_Send,PMPI_Recv,0.000921,0.001142
3,1,PMPI_Send,PMPI_Recv,0.001144,0.001365
1,4,PMPI_Send,PMPI_Recv,0.001365,0.001585
4,1,PMPI_Send,PMPI_Recv,0.001587,0.001808
1,5,PMPI_Send,PMPI_Recv,0.001808,0.002126
5,1,PMPI_Send,PMPI_Recv,0.002127,0.002445
1,6,PMPI_Send,PMPI_Recv,0.002445,0.002764
6,1,PMPI_Send,PMPI_Recv,0.002765,0.003084
1,7,PMPI_Send,PMPI_Recv,0.003084,0.003402
7,1,PMPI_Send,PMPI_Recv,0.003403,0.003721
1,8,PMPI_Send,PMPI_Recv,0.003721,0.004039
8,1,PMPI_Send,PMPI_Recv,0.004041,0.004359
1,9,PMPI_Send,PMPI_Recv,0.004359,0.004677
9,1,PMPI_Send,PMPI_Recv,0.004679,0.004997
1,10,PMPI_Send,PMPI_Recv,0.004997,0.005315
10,1,PMPI_Send,PMPI_Recv,0.005316,0.005634
1,11,PMPI_Send,PMPI_Recv,0.005634,0.005952
11,1,PMPI_Send,PMPI_Recv,0.005954,0.006272
1,12,PMPI_Send,PMPI_Recv,0.006272,0.00659
12,1,PMPI_Send,PMPI_Recv,0.006591,0.00691
1,13,PMPI_Send,PMPI_Recv,0.00691,0.007325
13,1,PMPI_Send,PMPI_Recv,0.007327,0.007645
1,14,PMPI_Send,PMPI_Recv,0.007645,0.00806
14,1,PMPI_Send,PMPI_Recv,0.008061,0.00838
1,15,PMPI_Send,PMPI_Recv,0.00838,0.008795
15,1,PMPI_Send,PMPI_Recv,0.008796,0.009114
1,16,PMPI_Send,PMPI_Recv,0.009114,0.00953
16,1,PMPI_Send,PMPI_Recv,0.009531,0.009849
1,2,PMPI_Send,PMPI_Recv,0.009849,0.01007
2,1,PMPI_Send,PMPI_Recv,0.01007,0.010291
1,3,PMPI_Send,PMPI_Recv,0.010291,0.010511
3,1,PMPI_Send,PMPI_Recv,0.010511,0.010732
1,4,PMPI_Send,PMPI_Recv,0.010732,0.010952
4,1,PMPI_Send,PMPI_Recv,0.010952,0.011173
1,5,PMPI_Send,PMPI_Recv,0.011173,0.011491
5,1,PMPI_Send,PMPI_Recv,0.011491,0.011809
1,6,PMPI_Send,PMPI_Recv,0.011809,0.012127
6,1,PMPI_Send,PMPI_Recv,0.012127,0.012445
1,7,PMPI_Send,PMPI_Recv,0.012445,0.012763
7,1,PMPI_Send,PMPI_Recv,0.012763,0.013081
1,8,PMPI_Send,PMPI_Recv,0.013081,0.013399
8,1,PMPI_Send,PMPI_Recv,0.013399,0.013718
1,9,PMPI_Send,PMPI_Recv,0.013718,0.014036
9,1,PMPI_Send,PMPI_Recv,0.014036,0.014354
1,10,PMPI_Send,PMPI_Recv,0.014354,0.014672
10,1,PMPI_Send,PMPI_Recv,0.014672,0.01499
1,11,PMPI_Send,PMPI_Recv,0.01499,0.015308
11,1,PMPI_Send,PMPI_Recv,0.015308,0.015626
1,12,PMPI_Send,PMPI_Recv,0.015626,0.015944
12,1,PMPI_Send,PMPI_Recv,0.015944,0.016262
1,13,PMPI_Send,PMPI_Recv,0.016262,0.016678
13,1,PMPI_Send,PMPI_Recv,0.016678,0.016996
1,14,PMPI_Send,PMPI_Recv,0.016996,0.017412
14,1,PMPI_Send,PMPI_Recv,0.017412,0.01773
1,15,PMPI_Send,PMPI_Recv,0.01773,0.018145
15,1,PMPI_Send,PMPI_Recv,0.018145,0.018463
1,16,PMPI_Send,PMPI_Recv,0.018463,0.018879
16,1,PMPI_Send,PMPI_Recv,0.018879,0.019197
1,2,PMPI_Send,PMPI_Recv,0.019197,0.019418
2,1,PMPI_Send,PMPI_Recv,0.019418,0.019638
1,3,PMPI_Send,PMPI_Recv,0.019638,0.019859
3,1,PMPI_Send,PMPI_Recv,0.019859,0.020079
1,4,PMPI_Send,PMPI_Recv,0.020079,0.0203
4,1,PMPI_Send,PMPI_Recv,0.0203,0.020521
1,5,PMPI_Send,PMPI_Recv,0.020521,0.020839
5,1,PMPI_Send,PMPI_Recv,0.020839,0.021157
1,6,PMPI_Send,PMPI_Recv,0.021157,0.021475
6,1,PMPI_Send,PMPI_Recv,0.021475,0.021793
1,7,PMPI_Send,PMPI_Recv,0.021793,0.022111
7,1,PMPI_Send,PMPI_Recv,0.022111,0.022429
1,8,PMPI_Send,PMPI_Recv,0.022429,0.022747
8,1,PMPI_Send,PMPI_Recv,0.022747,0.023065
1,9,PMPI_Send,PMPI_Recv,0.023065,0.023383
9,1,PMPI_Send,PMPI_Recv,0.023383,0.023701
1,10,PMPI_Send,PMPI_Recv,0.023701,0.024019
10,1,PMPI_Send,PMPI_Recv,0.024019,0.024338
1,11,PMPI_Send,PMPI_Recv,0.024338,0.024656
11,1,PMPI_Send,PMPI_Recv,0.024656,0.024974
1,12,PMPI_Send,PMPI_Recv,0.024974,0.025292
12,1,PMPI_Send,PMPI_Recv,0.025292,0.02561
1,13,PMPI_Send,PMPI_Recv,0.02561,0.026026
13,1,PMPI_Send,PMPI_Recv,0.026026,0.026344
1,14,PMPI_Send,PMPI_Recv,0.026344,0.026759
14,1,PMPI_Send,PMPI_Recv,0.026759,0.027077
1,15,PMPI_Send,PMPI_Recv,0.027077,0.027493
15,1,PMPI_Send,PMPI_Recv,0.027493,0.027811
1,16,PMPI_Send,PMPI_Recv,0.027811,0.028227
16,1,PMPI_Send,PMPI_Recv,0.028227,0.028545
1,2,PMPI_Send,PMPI_Recv,0.028545,0.028765
2,1,PMPI_Send,PMPI_Recv,0.028765,0.028986
1,3,PMPI_Send,PMPI_Recv,0.028986,0.029206
3,1,PMPI_Send,PMPI_Recv,0.029206,0.029427
1,4,PMPI_Send,PMPI_Recv,0.029427,0.029648
4,1,PMPI_Send,PMPI_Recv,0.029648,0.029868
1,5,PMPI_Send,PMPI_Recv,0.029868,0.030186
5,1,PMPI_Send,PMPI_Recv,0.030186,0.030504
1,6,PMPI_Send,PMPI_Recv,0.030504,0.030822
6,1,PMPI_Send,PMPI_Recv,0.030822,0.031141
1,7,PMPI_Send,PMPI_Recv,0.031141,0.031459
7,1,PMPI_Send,PMPI_Recv,0.031459,0.031777
