Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000613,0.000621
2,1,PMPI_Send,PMPI_Recv,0.000623,0.000631
1,3,PMPI_Send,PMPI_Recv,0.000632,0.00064
3,1,PMPI_Send,PMPI_Recv,0.000641,0.000649
1,4,PMPI_Send,PMPI_Recv,0.000649,0.000657
4,1,PMPI_Send,PMPI_Recv,0.000659,0.000667
1,5,PMPI_Send,PMPI_Recv,0.000667,0.000678
5,1,PMPI_Send,PMPI_Recv,0.00068,0.000692
1,6,PMPI_Send,PMPI_Recv,0.000692,0.000704
6,1,PMPI_Send,PMPI_Recv,0.000705,0.000717
1,7,PMPI_Send,PMPI_Recv,0.000717,0.000729
7,1,PMPI_Send,PMPI_Recv,0.00073,0.000742
1,8,PMPI_Send,PMPI_Recv,0.000742,0.000754
8,1,PMPI_Send,PMPI_Recv,0.000755,0.000767
1,9,PMPI_Send,PMPI_Recv,0.000767,0.000779
9,1,PMPI_Send,PMPI_Recv,0.00078,0.000792
1,10,PMPI_Send,PMPI_Recv,0.000792,0.000804
10,1,PMPI_Send,PMPI_Recv,0.000805,0.000817
1,11,PMPI_Send,PMPI_Recv,0.000817,0.000829
11,1,PMPI_Send,PMPI_Recv,0.00083,0.000842
1,12,PMPI_Send,PMPI_Recv,0.000842,0.000854
12,1,PMPI_Send,PMPI_Recv,0.000855,0.000867
1,13,PMPI_Send,PMPI_Recv,0.000867,0.000883
13,1,PMPI_Send,PMPI_Recv,0.000884,0.000896
1,14,PMPI_Send,PMPI_Recv,0.000896,0.000912
14,1,PMPI_Send,PMPI_Recv,0.000913,0.000925
1,15,PMPI_Send,PMPI_Recv,0.000925,0.000941
15,1,PMPI_Send,PMPI_Recv,0.000942,0.000954
1,16,PMPI_Send,PMPI_Recv,0.000954,0.000969
16,1,PMPI_Send,PMPI_Recv,0.000971,0.000983
1,2,PMPI_Send,PMPI_Recv,0.000983,0.00099
2,1,PMPI_Send,PMPI_Recv,0.00099,0.000998
1,3,PMPI_Send,PMPI_Recv,0.000998,0.001006
3,1,PMPI_Send,PMPI_Recv,0.001006,0.001014
1,4,PMPI_Send,PMPI_Recv,0.001014,0.001022
4,1,PMPI_Send,PMPI_Recv,0.001022,0.00103
1,5,PMPI_Send,PMPI_Recv,0.00103,0.001042
5,1,PMPI_Send,PMPI_Recv,0.001042,0.001054
1,6,PMPI_Send,PMPI_Recv,0.001054,0.001066
6,1,PMPI_Send,PMPI_Recv,0.001066,0.001077
1,7,PMPI_Send,PMPI_Recv,0.001077,0.001089
7,1,PMPI_Send,PMPI_Recv,0.001089,0.001101
1,8,PMPI_Send,PMPI_Recv,0.001101,0.001113
8,1,PMPI_Send,PMPI_Recv,0.001113,0.001125
1,9,PMPI_Send,PMPI_Recv,0.001125,0.001137
9,1,PMPI_Send,PMPI_Recv,0.001137,0.001148
1,10,PMPI_Send,PMPI_Recv,0.001148,0.00116
10,1,PMPI_Send,PMPI_Recv,0.00116,0.001172
1,11,PMPI_Send,PMPI_Recv,0.001172,0.001184
11,1,PMPI_Send,PMPI_Recv,0.001184,0.001196
1,12,PMPI_Send,PMPI_Recv,0.001196,0.001208
12,1,PMPI_Send,PMPI_Recv,0.001208,0.001219
1,13,PMPI_Send,PMPI_Recv,0.001219,0.001235
13,1,PMPI_Send,PMPI_Recv,0.001235,0.001247
1,14,PMPI_Send,PMPI_Recv,0.001247,0.001263
14,1,PMPI_Send,PMPI_Recv,0.001263,0.001275
1,15,PMPI_Send,PMPI_Recv,0.001275,0.00129
15,1,PMPI_Send,PMPI_Recv,0.00129,0.001302
1,16,PMPI_Send,PMPI_Recv,0.001302,0.001318
16,1,PMPI_Send,PMPI_Recv,0.001318,0.00133
1,2,PMPI_Send,PMPI_Recv,0.00133,0.001338
2,1,PMPI_Send,PMPI_Recv,0.001338,0.001346
1,3,PMPI_Send,PMPI_Recv,0.001346,0.001353
3,1,PMPI_Send,PMPI_Recv,0.001353,0.001361
1,4,PMPI_Send,PMPI_Recv,0.001361,0.001369
4,1,PMPI_Send,PMPI_Recv,0.001369,0.001377
1,5,PMPI_Send,PMPI_Recv,0.001377,0.001389
5,1,PMPI_Send,PMPI_Recv,0.001389,0.001401
1,6,PMPI_Send,PMPI_Recv,0.001401,0.001413
6,1,PMPI_Send,PMPI_Recv,0.001413,0.001425
1,7,PMPI_Send,PMPI_Recv,0.001425,0.001436
7,1,PMPI_Send,PMPI_Recv,0.001436,0.001448
1,8,PMPI_Send,PMPI_Recv,0.001448,0.00146
8,1,PMPI_Send,PMPI_Recv,0.00146,0.001472
1,9,PMPI_Send,PMPI_Recv,0.001472,0.001484
9,1,PMPI_Send,PMPI_Recv,0.001484,0.001496
1,10,PMPI_Send,PMPI_Recv,0.001496,0.001507
10,1,PMPI_Send,PMPI_Recv,0.001507,0.001519
1,11,PMPI_Send,PMPI_Recv,0.001519,0.001531
11,1,PMPI_Send,PMPI_Recv,0.001531,0.001543
1,12,PMPI_Send,PMPI_Recv,0.001543,0.001555
12,1,PMPI_Send,PMPI_Recv,0.001555,0.001566
1,13,PMPI_Send,PMPI_Recv,0.001566,0.001582
13,1,PMPI_Send,PMPI_Recv,0.001582,0.001594
1,14,PMPI_Send,PMPI_Recv,0.001594,0.00161
14,1,PMPI_Send,PMPI_Recv,0.00161,0.001622
1,15,PMPI_Send,PMPI_Recv,0.001622,0.001637
15,1,PMPI_Send,PMPI_Recv,0.001637,0.001649
1,16,PMPI_Send,PMPI_Recv,0.001649,0.001665
16,1,PMPI_Send,PMPI_Recv,0.001665,0.001677
1,2,PMPI_Send,PMPI_Recv,0.001677,0.001685
2,1,PMPI_Send,PMPI_Recv,0.001685,0.001693
1,3,PMPI_Send,PMPI_Recv,0.001693,0.001701
3,1,PMPI_Send,PMPI_Recv,0.001701,0.001708
1,4,PMPI_Send,PMPI_Recv,0.001708,0.001716
4,1,PMPI_Send,PMPI_Recv,0.001716,0.001724
1,5,PMPI_Send,PMPI_Recv,0.001724,0.001736
5,1,PMPI_Send,PMPI_Recv,0.001736,0.001748
1,6,PMPI_Send,PMPI_Recv,0.001748,0.00176
6,1,PMPI_Send,PMPI_Recv,0.00176,0.001772
1,7,PMPI_Send,PMPI_Recv,0.001772,0.001783
7,1,PMPI_Send,PMPI_Recv,0.001783,0.001795
1,8,PMPI_Send,PMPI_Recv,0.001795,0.001807
8,1,PMPI_Send,PMPI_Recv,0.001807,0.001819
1,9,PMPI_Send,PMPI_Recv,0.001819,0.001831
9,1,PMPI_Send,PMPI_Recv,0.001831,0.001843
1,10,PMPI_Send,PMPI_Recv,0.001843,0.001854
10,1,PMPI_Send,PMPI_Recv,0.001854,0.001866
1,11,PMPI_Send,PMPI_Recv,0.001866,0.001878
11,1,PMPI_Send,PMPI_Recv,0.001878,0.00189
1,12,PMPI_Send,PMPI_Recv,0.00189,0.001902
12,1,PMPI_Send,PMPI_Recv,0.001902,0.001914
1,13,PMPI_Send,PMPI_Recv,0.001914,0.001929
13,1,PMPI_Send,PMPI_Recv,0.001929,0.001941
1,14,PMPI_Send,PMPI_Recv,0.001941,0.001957
14,1,PMPI_Send,PMPI_Recv,0.001957,0.001969
1,15,PMPI_Send,PMPI_Recv,0.001969,0.001984
15,1,PMPI_Send,PMPI_Recv,0.001984,0.001996
1,16,PMPI_Send,PMPI_Recv,0.001996,0.002012
16,1,PMPI_Send,PMPI_Recv,0.002012,0.002024
1,2,PMPI_Send,PMPI_Recv,0.002024,0.002032
2,1,PMPI_Send,PMPI_Recv,0.002032,0.00204
1,3,PMPI_Send,PMPI_Recv,0.00204,0.002048
3,1,PMPI_Send,PMPI_Recv,0.002048,0.002056
1,4,PMPI_Send,PMPI_Recv,0.002056,0.002063
4,1,PMPI_Send,PMPI_Recv,0.002063,0.002071
1,5,PMPI_Send,PMPI_Recv,0.002071,0.002083
5,1,PMPI_Send,PMPI_Recv,0.002083,0.002095
1,6,PMPI_Send,PMPI_Recv,0.002095,0.002107
6,1,PMPI_Send,PMPI_Recv,0.002107,0.002119
1,7,PMPI_Send,PMPI_Recv,0.002119,0.002131
7,1,PMPI_Send,PMPI_Recv,0.002131,0.002142
1,8,PMPI_Send,PMPI_Recv,0.002142,0.002154
8,1,PMPI_Send,PMPI_Recv,0.002154,0.002166
1,9,PMPI_Send,PMPI_Recv,0.002166,0.002178
9,1,PMPI_Send,PMPI_Recv,0.002178,0.00219
1,10,PMPI_Send,PMPI_Recv,0.00219,0.002202
10,1,PMPI_Send,PMPI_Recv,0.002202,0.002213
1,11,PMPI_Send,PMPI_Recv,0.002213,0.002225
11,1,PMPI_Send,PMPI_Recv,0.002225,0.002237
1,12,PMPI_Send,PMPI_Recv,0.002237,0.002249
12,1,PMPI_Send,PMPI_Recv,0.002249,0.002261
1,13,PMPI_Send,PMPI_Recv,0.002261,0.002276
13,1,PMPI_Send,PMPI_Recv,0.002276,0.002288
1,14,PMPI_Send,PMPI_Recv,0.002288,0.002304
14,1,PMPI_Send,PMPI_Recv,0.002304,0.002316
1,15,PMPI_Send,PMPI_Recv,0.002316,0.002332
15,1,PMPI_Send,PMPI_Recv,0.002332,0.002343
