Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000439,0.001634
2,1,PMPI_Send,PMPI_Recv,0.001637,0.002832
1,3,PMPI_Send,PMPI_Recv,0.002833,0.004029
3,1,PMPI_Send,PMPI_Recv,0.004031,0.005227
1,4,PMPI_Send,PMPI_Recv,0.005227,0.006422
4,1,PMPI_Send,PMPI_Recv,0.006424,0.00762
1,5,PMPI_Send,PMPI_Recv,0.00762,0.008816
5,1,PMPI_Send,PMPI_Recv,0.008817,0.010013
1,6,PMPI_Send,PMPI_Recv,0.010013,0.011209
6,1,PMPI_Send,PMPI_Recv,0.01121,0.012406
1,7,PMPI_Send,PMPI_Recv,0.012406,0.013602
7,1,PMPI_Send,PMPI_Recv,0.013603,0.014799
1,8,PMPI_Send,PMPI_Recv,0.014799,0.015994
8,1,PMPI_Send,PMPI_Recv,0.015996,0.017192
1,9,PMPI_Send,PMPI_Recv,0.017192,0.018388
9,1,PMPI_Send,PMPI_Recv,0.018389,0.019585
1,10,PMPI_Send,PMPI_Recv,0.019585,0.02078
10,1,PMPI_Send,PMPI_Recv,0.020782,0.021978
1,11,PMPI_Send,PMPI_Recv,0.021978,0.023173
11,1,PMPI_Send,PMPI_Recv,0.023175,0.024371
1,12,PMPI_Send,PMPI_Recv,0.024371,0.025566
12,1,PMPI_Send,PMPI_Recv,0.025568,0.026764
1,13,PMPI_Send,PMPI_Recv,0.026765,0.027961
13,1,PMPI_Send,PMPI_Recv,0.027962,0.029158
1,14,PMPI_Send,PMPI_Recv,0.029158,0.030354
14,1,PMPI_Send,PMPI_Recv,0.030355,0.031551
1,15,PMPI_Send,PMPI_Recv,0.031551,0.032746
15,1,PMPI_Send,PMPI_Recv,0.032748,0.033944
1,16,PMPI_Send,PMPI_Recv,0.033945,0.03514
16,1,PMPI_Send,PMPI_Recv,0.035142,0.036338
1,2,PMPI_Send,PMPI_Recv,0.036338,0.037533
2,1,PMPI_Send,PMPI_Recv,0.037534,0.03873
1,3,PMPI_Send,PMPI_Recv,0.03873,0.039926
3,1,PMPI_Send,PMPI_Recv,0.039926,0.041121
1,4,PMPI_Send,PMPI_Recv,0.041121,0.042317
4,1,PMPI_Send,PMPI_Recv,0.042317,0.043513
1,5,PMPI_Send,PMPI_Recv,0.043513,0.044709
5,1,PMPI_Send,PMPI_Recv,0.044709,0.045904
1,6,PMPI_Send,PMPI_Recv,0.045904,0.0471
6,1,PMPI_Send,PMPI_Recv,0.0471,0.048296
1,7,PMPI_Send,PMPI_Recv,0.048296,0.049492
7,1,PMPI_Send,PMPI_Recv,0.049492,0.050687
1,8,PMPI_Send,PMPI_Recv,0.050687,0.051883
8,1,PMPI_Send,PMPI_Recv,0.051883,0.053079
1,9,PMPI_Send,PMPI_Recv,0.053079,0.054274
9,1,PMPI_Send,PMPI_Recv,0.054274,0.05547
1,10,PMPI_Send,PMPI_Recv,0.05547,0.056666
10,1,PMPI_Send,PMPI_Recv,0.056666,0.057862
1,11,PMPI_Send,PMPI_Recv,0.057862,0.059057
11,1,PMPI_Send,PMPI_Recv,0.059057,0.060253
1,12,PMPI_Send,PMPI_Recv,0.060253,0.061449
12,1,PMPI_Send,PMPI_Recv,0.061449,0.062644
1,13,PMPI_Send,PMPI_Recv,0.062644,0.06384
13,1,PMPI_Send,PMPI_Recv,0.06384,0.065036
1,14,PMPI_Send,PMPI_Recv,0.065036,0.066232
14,1,PMPI_Send,PMPI_Recv,0.066232,0.067427
1,15,PMPI_Send,PMPI_Recv,0.067427,0.068623
15,1,PMPI_Send,PMPI_Recv,0.068623,0.069819
1,16,PMPI_Send,PMPI_Recv,0.069819,0.071015
16,1,PMPI_Send,PMPI_Recv,0.071015,0.07221
1,2,PMPI_Send,PMPI_Recv,0.07221,0.073406
2,1,PMPI_Send,PMPI_Recv,0.073406,0.074602
1,3,PMPI_Send,PMPI_Recv,0.074602,0.075797
3,1,PMPI_Send,PMPI_Recv,0.075797,0.076993
1,4,PMPI_Send,PMPI_Recv,0.076993,0.078189
4,1,PMPI_Send,PMPI_Recv,0.078189,0.079385
1,5,PMPI_Send,PMPI_Recv,0.079385,0.08058
5,1,PMPI_Send,PMPI_Recv,0.08058,0.081776
1,6,PMPI_Send,PMPI_Recv,0.081776,0.082972
6,1,PMPI_Send,PMPI_Recv,0.082972,0.084168
1,7,PMPI_Send,PMPI_Recv,0.084168,0.085363
7,1,PMPI_Send,PMPI_Recv,0.085363,0.086559
1,8,PMPI_Send,PMPI_Recv,0.086559,0.087755
8,1,PMPI_Send,PMPI_Recv,0.087755,0.08895
1,9,PMPI_Send,PMPI_Recv,0.08895,0.090146
9,1,PMPI_Send,PMPI_Recv,0.090146,0.091342
1,10,PMPI_Send,PMPI_Recv,0.091342,0.092538
10,1,PMPI_Send,PMPI_Recv,0.092538,0.093733
1,11,PMPI_Send,PMPI_Recv,0.093733,0.094929
11,1,PMPI_Send,PMPI_Recv,0.094929,0.096125
1,12,PMPI_Send,PMPI_Recv,0.096125,0.097321
12,1,PMPI_Send,PMPI_Recv,0.097321,0.098516
1,13,PMPI_Send,PMPI_Recv,0.098516,0.099712
13,1,PMPI_Send,PMPI_Recv,0.099712,0.100908
1,14,PMPI_Send,PMPI_Recv,0.100908,0.102103
14,1,PMPI_Send,PMPI_Recv,0.102103,0.103299
1,15,PMPI_Send,PMPI_Recv,0.103299,0.104495
15,1,PMPI_Send,PMPI_Recv,0.104495,0.105691
1,16,PMPI_Send,PMPI_Recv,0.105691,0.106886
16,1,PMPI_Send,PMPI_Recv,0.106886,0.108082
1,2,PMPI_Send,PMPI_Recv,0.108082,0.109278
2,1,PMPI_Send,PMPI_Recv,0.109279,0.110474
1,3,PMPI_Send,PMPI_Recv,0.110474,0.11167
3,1,PMPI_Send,PMPI_Recv,0.11167,0.112866
1,4,PMPI_Send,PMPI_Recv,0.112866,0.114062
4,1,PMPI_Send,PMPI_Recv,0.114062,0.115257
1,5,PMPI_Send,PMPI_Recv,0.115257,0.116453
5,1,PMPI_Send,PMPI_Recv,0.116453,0.117649
1,6,PMPI_Send,PMPI_Recv,0.117649,0.118845
6,1,PMPI_Send,PMPI_Recv,0.118845,0.12004
1,7,PMPI_Send,PMPI_Recv,0.12004,0.121236
7,1,PMPI_Send,PMPI_Recv,0.121236,0.122432
1,8,PMPI_Send,PMPI_Recv,0.122432,0.123627
8,1,PMPI_Send,PMPI_Recv,0.123627,0.124823
1,9,PMPI_Send,PMPI_Recv,0.124823,0.126019
9,1,PMPI_Send,PMPI_Recv,0.126019,0.127215
1,10,PMPI_Send,PMPI_Recv,0.127215,0.12841
10,1,PMPI_Send,PMPI_Recv,0.12841,0.129606
1,11,PMPI_Send,PMPI_Recv,0.129606,0.130802
11,1,PMPI_Send,PMPI_Recv,0.130802,0.131998
1,12,PMPI_Send,PMPI_Recv,0.131998,0.133193
12,1,PMPI_Send,PMPI_Recv,0.133193,0.134389
1,13,PMPI_Send,PMPI_Recv,0.134389,0.135585
13,1,PMPI_Send,PMPI_Recv,0.135585,0.13678
1,14,PMPI_Send,PMPI_Recv,0.13678,0.137976
14,1,PMPI_Send,PMPI_Recv,0.137976,0.139172
1,15,PMPI_Send,PMPI_Recv,0.139172,0.140368
15,1,PMPI_Send,PMPI_Recv,0.140368,0.141563
1,16,PMPI_Send,PMPI_Recv,0.141563,0.142759
16,1,PMPI_Send,PMPI_Recv,0.142759,0.143955
1,2,PMPI_Send,PMPI_Recv,0.143955,0.145151
2,1,PMPI_Send,PMPI_Recv,0.145151,0.146346
1,3,PMPI_Send,PMPI_Recv,0.146347,0.147543
3,1,PMPI_Send,PMPI_Recv,0.147543,0.148739
1,4,PMPI_Send,PMPI_Recv,0.148739,0.149934
4,1,PMPI_Send,PMPI_Recv,0.149934,0.15113
1,5,PMPI_Send,PMPI_Recv,0.15113,0.152326
5,1,PMPI_Send,PMPI_Recv,0.152326,0.153522
1,6,PMPI_Send,PMPI_Recv,0.153522,0.154717
6,1,PMPI_Send,PMPI_Recv,0.154717,0.155913
1,7,PMPI_Send,PMPI_Recv,0.155913,0.157109
7,1,PMPI_Send,PMPI_Recv,0.157109,0.158304
1,8,PMPI_Send,PMPI_Recv,0.158304,0.1595
8,1,PMPI_Send,PMPI_Recv,0.1595,0.160696
1,9,PMPI_Send,PMPI_Recv,0.160696,0.161892
9,1,PMPI_Send,PMPI_Recv,0.161892,0.163087
1,10,PMPI_Send,PMPI_Recv,0.163087,0.164283
10,1,PMPI_Send,PMPI_Recv,0.164283,0.165479
1,11,PMPI_Send,PMPI_Recv,0.165479,0.166675
11,1,PMPI_Send,PMPI_Recv,0.166675,0.16787
1,12,PMPI_Send,PMPI_Recv,0.16787,0.169066
12,1,PMPI_Send,PMPI_Recv,0.169066,0.170262
1,13,PMPI_Send,PMPI_Recv,0.170262,0.171457
13,1,PMPI_Send,PMPI_Recv,0.171457,0.172653
1,14,PMPI_Send,PMPI_Recv,0.172653,0.173849
14,1,PMPI_Send,PMPI_Recv,0.173849,0.175045
1,15,PMPI_Send,PMPI_Recv,0.175045,0.17624
15,1,PMPI_Send,PMPI_Recv,0.17624,0.177436
1,16,PMPI_Send,PMPI_Recv,0.177436,0.178632
16,1,PMPI_Send,PMPI_Recv,0.178632,0.179828
1,2,PMPI_Send,PMPI_Recv,0.179828,0.181023
2,1,PMPI_Send,PMPI_Recv,0.181023,0.182219
1,3,PMPI_Send,PMPI_Recv,0.182219,0.183415
3,1,PMPI_Send,PMPI_Recv,0.183415,0.18461
1,4,PMPI_Send,PMPI_Recv,0.18461,0.185806
4,1,PMPI_Send,PMPI_Recv,0.185806,0.187002
1,5,PMPI_Send,PMPI_Recv,0.187002,0.188198
5,1,PMPI_Send,PMPI_Recv,0.188198,0.189393
1,6,PMPI_Send,PMPI_Recv,0.189393,0.190589
6,1,PMPI_Send,PMPI_Recv,0.190589,0.191785
1,7,PMPI_Send,PMPI_Recv,0.191785,0.192981
7,1,PMPI_Send,PMPI_Recv,0.192981,0.194176
1,8,PMPI_Send,PMPI_Recv,0.194176,0.195372
8,1,PMPI_Send,PMPI_Recv,0.195372,0.196568
1,9,PMPI_Send,PMPI_Recv,0.196568,0.197763
9,1,PMPI_Send,PMPI_Recv,0.197763,0.198959
1,10,PMPI_Send,PMPI_Recv,0.198959,0.200155
10,1,PMPI_Send,PMPI_Recv,0.200155,0.201351
1,11,PMPI_Send,PMPI_Recv,0.201351,0.202546
11,1,PMPI_Send,PMPI_Recv,0.202546,0.203742
1,12,PMPI_Send,PMPI_Recv,0.203742,0.204938
12,1,PMPI_Send,PMPI_Recv,0.204938,0.206133
1,13,PMPI_Send,PMPI_Recv,0.206133,0.207329
13,1,PMPI_Send,PMPI_Recv,0.207329,0.208525
1,14,PMPI_Send,PMPI_Recv,0.208525,0.209721
14,1,PMPI_Send,PMPI_Recv,0.209721,0.210916
1,15,PMPI_Send,PMPI_Recv,0.210916,0.212112
15,1,PMPI_Send,PMPI_Recv,0.212112,0.213308
1,16,PMPI_Send,PMPI_Recv,0.213308,0.214504
16,1,PMPI_Send,PMPI_Recv,0.214504,0.215699
1,2,PMPI_Send,PMPI_Recv,0.215699,0.216895
2,1,PMPI_Send,PMPI_Recv,0.216895,0.218091
1,3,PMPI_Send,PMPI_Recv,0.218091,0.219286
3,1,PMPI_Send,PMPI_Recv,0.219286,0.220482
1,4,PMPI_Send,PMPI_Recv,0.220482,0.221678
4,1,PMPI_Send,PMPI_Recv,0.221678,0.222874
1,5,PMPI_Send,PMPI_Recv,0.222874,0.224069
5,1,PMPI_Send,PMPI_Recv,0.224069,0.225265
1,6,PMPI_Send,PMPI_Recv,0.225265,0.226461
6,1,PMPI_Send,PMPI_Recv,0.226461,0.227657
1,7,PMPI_Send,PMPI_Recv,0.227657,0.228852
7,1,PMPI_Send,PMPI_Recv,0.228852,0.230048
1,8,PMPI_Send,PMPI_Recv,0.230048,0.231244
8,1,PMPI_Send,PMPI_Recv,0.231244,0.232439
1,9,PMPI_Send,PMPI_Recv,0.232439,0.233635
9,1,PMPI_Send,PMPI_Recv,0.233635,0.234831
1,10,PMPI_Send,PMPI_Recv,0.234831,0.236027
10,1,PMPI_Send,PMPI_Recv,0.236027,0.237222
1,11,PMPI_Send,PMPI_Recv,0.237222,0.238418
11,1,PMPI_Send,PMPI_Recv,0.238418,0.239614
1,12,PMPI_Send,PMPI_Recv,0.239614,0.24081
12,1,PMPI_Send,PMPI_Recv,0.24081,0.242005
1,13,PMPI_Send,PMPI_Recv,0.242005,0.243201
13,1,PMPI_Send,PMPI_Recv,0.243201,0.244397
1,14,PMPI_Send,PMPI_Recv,0.244397,0.245592
14,1,PMPI_Send,PMPI_Recv,0.245592,0.246788
1,15,PMPI_Send,PMPI_Recv,0.246788,0.247984
15,1,PMPI_Send,PMPI_Recv,0.247984,0.24918
1,16,PMPI_Send,PMPI_Recv,0.24918,0.250375
16,1,PMPI_Send,PMPI_Recv,0.250375,0.251571
1,2,PMPI_Send,PMPI_Recv,0.251571,0.252767
2,1,PMPI_Send,PMPI_Recv,0.252767,0.253962
1,3,PMPI_Send,PMPI_Recv,0.253962,0.255158
3,1,PMPI_Send,PMPI_Recv,0.255158,0.256354
1,4,PMPI_Send,PMPI_Recv,0.256354,0.25755
4,1,PMPI_Send,PMPI_Recv,0.25755,0.258745
1,5,PMPI_Send,PMPI_Recv,0.258745,0.259941
5,1,PMPI_Send,PMPI_Recv,0.259941,0.261137
1,6,PMPI_Send,PMPI_Recv,0.261137,0.262333
6,1,PMPI_Send,PMPI_Recv,0.262333,0.263528
1,7,PMPI_Send,PMPI_Recv,0.263528,0.264724
7,1,PMPI_Send,PMPI_Recv,0.264724,0.26592
1,8,PMPI_Send,PMPI_Recv,0.26592,0.267115
8,1,PMPI_Send,PMPI_Recv,0.267115,0.268311
1,9,PMPI_Send,PMPI_Recv,0.268311,0.269507
9,1,PMPI_Send,PMPI_Recv,0.269507,0.270703
1,10,PMPI_Send,PMPI_Recv,0.270703,0.271898
10,1,PMPI_Send,PMPI_Recv,0.271898,0.273094
1,11,PMPI_Send,PMPI_Recv,0.273094,0.27429
11,1,PMPI_Send,PMPI_Recv,0.27429,0.275486
1,12,PMPI_Send,PMPI_Recv,0.275486,0.276681
12,1,PMPI_Send,PMPI_Recv,0.276681,0.277877
1,13,PMPI_Send,PMPI_Recv,0.277877,0.279073
13,1,PMPI_Send,PMPI_Recv,0.279073,0.280268
1,14,PMPI_Send,PMPI_Recv,0.280268,0.281464
14,1,PMPI_Send,PMPI_Recv,0.281464,0.28266
1,15,PMPI_Send,PMPI_Recv,0.28266,0.283856
15,1,PMPI_Send,PMPI_Recv,0.283856,0.285051
1,16,PMPI_Send,PMPI_Recv,0.285051,0.286247
16,1,PMPI_Send,PMPI_Recv,0.286247,0.287443
1,2,PMPI_Send,PMPI_Recv,0.287443,0.288639
2,1,PMPI_Send,PMPI_Recv,0.288639,0.289834
1,3,PMPI_Send,PMPI_Recv,0.289834,0.29103
3,1,PMPI_Send,PMPI_Recv,0.29103,0.292226
1,4,PMPI_Send,PMPI_Recv,0.292226,0.293421
4,1,PMPI_Send,PMPI_Recv,0.293421,0.294617
1,5,PMPI_Send,PMPI_Recv,0.294617,0.295813
5,1,PMPI_Send,PMPI_Recv,0.295814,0.29701
1,6,PMPI_Send,PMPI_Recv,0.29701,0.298205
6,1,PMPI_Send,PMPI_Recv,0.298207,0.299402
1,7,PMPI_Send,PMPI_Recv,0.299402,0.300598
7,1,PMPI_Send,PMPI_Recv,0.300599,0.301795
1,8,PMPI_Send,PMPI_Recv,0.301795,0.302991
8,1,PMPI_Send,PMPI_Recv,0.302992,0.304187
1,9,PMPI_Send,PMPI_Recv,0.304187,0.305383
9,1,PMPI_Send,PMPI_Recv,0.305383,0.306579
1,10,PMPI_Send,PMPI_Recv,0.30658,0.307775
10,1,PMPI_Send,PMPI_Recv,0.307776,0.308972
1,11,PMPI_Send,PMPI_Recv,0.308972,0.310168
11,1,PMPI_Send,PMPI_Recv,0.310169,0.311365
1,12,PMPI_Send,PMPI_Recv,0.311366,0.312561
12,1,PMPI_Send,PMPI_Recv,0.312563,0.313758
1,13,PMPI_Send,PMPI_Recv,0.313758,0.314954
13,1,PMPI_Send,PMPI_Recv,0.314954,0.31615
1,14,PMPI_Send,PMPI_Recv,0.31615,0.317345
14,1,PMPI_Send,PMPI_Recv,0.317345,0.318541
1,15,PMPI_Send,PMPI_Recv,0.318541,0.319737
15,1,PMPI_Send,PMPI_Recv,0.319737,0.320933
1,16,PMPI_Send,PMPI_Recv,0.320933,0.322128
16,1,PMPI_Send,PMPI_Recv,0.322128,0.323324
1,2,PMPI_Send,PMPI_Recv,0.323324,0.32452
2,1,PMPI_Send,PMPI_Recv,0.324521,0.325717
1,3,PMPI_Send,PMPI_Recv,0.325717,0.326912
3,1,PMPI_Send,PMPI_Recv,0.326912,0.328108
1,4,PMPI_Send,PMPI_Recv,0.328108,0.329304
4,1,PMPI_Send,PMPI_Recv,0.329304,0.330499
