Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000556,0.000574
2,1,PMPI_Send,PMPI_Recv,0.000576,0.000594
1,3,PMPI_Send,PMPI_Recv,0.000594,0.000612
3,1,PMPI_Send,PMPI_Recv,0.000614,0.000632
1,4,PMPI_Send,PMPI_Recv,0.000632,0.000649
4,1,PMPI_Send,PMPI_Recv,0.000652,0.000669
1,5,PMPI_Send,PMPI_Recv,0.000669,0.000687
5,1,PMPI_Send,PMPI_Recv,0.000689,0.000706
1,6,PMPI_Send,PMPI_Recv,0.000706,0.000724
6,1,PMPI_Send,PMPI_Recv,0.000726,0.000744
1,7,PMPI_Send,PMPI_Recv,0.000744,0.000761
7,1,PMPI_Send,PMPI_Recv,0.000763,0.000781
1,8,PMPI_Send,PMPI_Recv,0.000781,0.000798
8,1,PMPI_Send,PMPI_Recv,0.0008,0.000818
1,9,PMPI_Send,PMPI_Recv,0.000818,0.000836
9,1,PMPI_Send,PMPI_Recv,0.000838,0.000855
1,10,PMPI_Send,PMPI_Recv,0.000855,0.000873
10,1,PMPI_Send,PMPI_Recv,0.000875,0.000892
1,11,PMPI_Send,PMPI_Recv,0.000892,0.00091
11,1,PMPI_Send,PMPI_Recv,0.000912,0.000929
1,12,PMPI_Send,PMPI_Recv,0.000929,0.000947
12,1,PMPI_Send,PMPI_Recv,0.000949,0.000966
1,13,PMPI_Send,PMPI_Recv,0.000966,0.000984
13,1,PMPI_Send,PMPI_Recv,0.000986,0.001003
1,14,PMPI_Send,PMPI_Recv,0.001003,0.001021
14,1,PMPI_Send,PMPI_Recv,0.001023,0.00104
1,15,PMPI_Send,PMPI_Recv,0.00104,0.001058
15,1,PMPI_Send,PMPI_Recv,0.001059,0.001077
1,16,PMPI_Send,PMPI_Recv,0.001077,0.001095
16,1,PMPI_Send,PMPI_Recv,0.001096,0.001114
1,17,PMPI_Send,PMPI_Recv,0.001114,0.001131
17,1,PMPI_Send,PMPI_Recv,0.001133,0.001151
1,18,PMPI_Send,PMPI_Recv,0.001151,0.001168
18,1,PMPI_Send,PMPI_Recv,0.00117,0.001187
1,19,PMPI_Send,PMPI_Recv,0.001187,0.001205
19,1,PMPI_Send,PMPI_Recv,0.001206,0.001224
1,20,PMPI_Send,PMPI_Recv,0.001224,0.001242
20,1,PMPI_Send,PMPI_Recv,0.001243,0.001261
1,21,PMPI_Send,PMPI_Recv,0.001261,0.001279
21,1,PMPI_Send,PMPI_Recv,0.00128,0.001298
1,22,PMPI_Send,PMPI_Recv,0.001298,0.001315
22,1,PMPI_Send,PMPI_Recv,0.001317,0.001334
1,23,PMPI_Send,PMPI_Recv,0.001334,0.001352
23,1,PMPI_Send,PMPI_Recv,0.001353,0.001371
1,24,PMPI_Send,PMPI_Recv,0.001371,0.001389
24,1,PMPI_Send,PMPI_Recv,0.00139,0.001408
1,25,PMPI_Send,PMPI_Recv,0.001408,0.001426
25,1,PMPI_Send,PMPI_Recv,0.001427,0.001445
1,26,PMPI_Send,PMPI_Recv,0.001445,0.001462
26,1,PMPI_Send,PMPI_Recv,0.001464,0.001481
1,27,PMPI_Send,PMPI_Recv,0.001481,0.001499
27,1,PMPI_Send,PMPI_Recv,0.0015,0.001518
1,28,PMPI_Send,PMPI_Recv,0.001518,0.001536
28,1,PMPI_Send,PMPI_Recv,0.001537,0.001555
1,29,PMPI_Send,PMPI_Recv,0.001555,0.001572
29,1,PMPI_Send,PMPI_Recv,0.001574,0.001591
1,30,PMPI_Send,PMPI_Recv,0.001591,0.001609
30,1,PMPI_Send,PMPI_Recv,0.00161,0.001628
1,31,PMPI_Send,PMPI_Recv,0.001628,0.001646
31,1,PMPI_Send,PMPI_Recv,0.001647,0.001664
1,32,PMPI_Send,PMPI_Recv,0.001664,0.001682
32,1,PMPI_Send,PMPI_Recv,0.001683,0.001701
1,2,PMPI_Send,PMPI_Recv,0.001701,0.001719
2,1,PMPI_Send,PMPI_Recv,0.001719,0.001736
1,3,PMPI_Send,PMPI_Recv,0.001736,0.001754
3,1,PMPI_Send,PMPI_Recv,0.001754,0.001772
1,4,PMPI_Send,PMPI_Recv,0.001772,0.001789
4,1,PMPI_Send,PMPI_Recv,0.001789,0.001807
1,5,PMPI_Send,PMPI_Recv,0.001807,0.001825
5,1,PMPI_Send,PMPI_Recv,0.001825,0.001842
1,6,PMPI_Send,PMPI_Recv,0.001842,0.00186
