Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000474,0.000693
2,1,PMPI_Send,PMPI_Recv,0.000695,0.000914
1,3,PMPI_Send,PMPI_Recv,0.000914,0.001134
3,1,PMPI_Send,PMPI_Recv,0.001135,0.001355
1,4,PMPI_Send,PMPI_Recv,0.001355,0.001574
4,1,PMPI_Send,PMPI_Recv,0.001575,0.001795
1,5,PMPI_Send,PMPI_Recv,0.001795,0.002014
5,1,PMPI_Send,PMPI_Recv,0.002015,0.002235
1,6,PMPI_Send,PMPI_Recv,0.002235,0.002454
6,1,PMPI_Send,PMPI_Recv,0.002455,0.002675
1,7,PMPI_Send,PMPI_Recv,0.002675,0.002894
7,1,PMPI_Send,PMPI_Recv,0.002895,0.003115
1,8,PMPI_Send,PMPI_Recv,0.003115,0.003334
8,1,PMPI_Send,PMPI_Recv,0.003335,0.003555
1,9,PMPI_Send,PMPI_Recv,0.003555,0.003969
9,1,PMPI_Send,PMPI_Recv,0.003971,0.004385
1,10,PMPI_Send,PMPI_Recv,0.004385,0.004799
10,1,PMPI_Send,PMPI_Recv,0.0048,0.005215
1,11,PMPI_Send,PMPI_Recv,0.005215,0.005629
11,1,PMPI_Send,PMPI_Recv,0.005631,0.006045
1,12,PMPI_Send,PMPI_Recv,0.006045,0.006459
12,1,PMPI_Send,PMPI_Recv,0.00646,0.006875
1,13,PMPI_Send,PMPI_Recv,0.006875,0.007289
13,1,PMPI_Send,PMPI_Recv,0.00729,0.007705
1,14,PMPI_Send,PMPI_Recv,0.007705,0.008119
14,1,PMPI_Send,PMPI_Recv,0.00812,0.008535
1,15,PMPI_Send,PMPI_Recv,0.008535,0.008949
15,1,PMPI_Send,PMPI_Recv,0.00895,0.009365
1,16,PMPI_Send,PMPI_Recv,0.009365,0.009779
16,1,PMPI_Send,PMPI_Recv,0.00978,0.010195
1,17,PMPI_Send,PMPI_Recv,0.010195,0.010609
17,1,PMPI_Send,PMPI_Recv,0.01061,0.011024
1,18,PMPI_Send,PMPI_Recv,0.011024,0.011439
18,1,PMPI_Send,PMPI_Recv,0.01144,0.011855
1,19,PMPI_Send,PMPI_Recv,0.011855,0.012269
19,1,PMPI_Send,PMPI_Recv,0.012269,0.012683
1,20,PMPI_Send,PMPI_Recv,0.012683,0.013098
20,1,PMPI_Send,PMPI_Recv,0.013098,0.013512
1,21,PMPI_Send,PMPI_Recv,0.013512,0.013926
21,1,PMPI_Send,PMPI_Recv,0.013928,0.014342
1,22,PMPI_Send,PMPI_Recv,0.014342,0.014756
22,1,PMPI_Send,PMPI_Recv,0.014757,0.015172
1,23,PMPI_Send,PMPI_Recv,0.015172,0.015586
23,1,PMPI_Send,PMPI_Recv,0.015586,0.016001
1,24,PMPI_Send,PMPI_Recv,0.016001,0.016415
24,1,PMPI_Send,PMPI_Recv,0.016416,0.016831
1,25,PMPI_Send,PMPI_Recv,0.016831,0.017245
25,1,PMPI_Send,PMPI_Recv,0.017246,0.017661
