Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000444,0.000451
2,1,PMPI_Send,PMPI_Recv,0.000453,0.000461
1,3,PMPI_Send,PMPI_Recv,0.000461,0.000469
3,1,PMPI_Send,PMPI_Recv,0.000471,0.000479
1,4,PMPI_Send,PMPI_Recv,0.000479,0.000487
4,1,PMPI_Send,PMPI_Recv,0.000489,0.000496
1,5,PMPI_Send,PMPI_Recv,0.000496,0.000512
5,1,PMPI_Send,PMPI_Recv,0.000514,0.000529
1,6,PMPI_Send,PMPI_Recv,0.000529,0.000545
6,1,PMPI_Send,PMPI_Recv,0.000547,0.000562
1,7,PMPI_Send,PMPI_Recv,0.000562,0.000578
7,1,PMPI_Send,PMPI_Recv,0.00058,0.000595
1,8,PMPI_Send,PMPI_Recv,0.000595,0.000611
8,1,PMPI_Send,PMPI_Recv,0.000612,0.000628
1,9,PMPI_Send,PMPI_Recv,0.000628,0.000644
9,1,PMPI_Send,PMPI_Recv,0.000645,0.000661
1,10,PMPI_Send,PMPI_Recv,0.000661,0.000677
10,1,PMPI_Send,PMPI_Recv,0.000678,0.000694
1,11,PMPI_Send,PMPI_Recv,0.000694,0.000709
11,1,PMPI_Send,PMPI_Recv,0.000711,0.000726
1,12,PMPI_Send,PMPI_Recv,0.000726,0.000742
12,1,PMPI_Send,PMPI_Recv,0.000743,0.000759
1,13,PMPI_Send,PMPI_Recv,0.000759,0.000775
13,1,PMPI_Send,PMPI_Recv,0.000776,0.000792
1,14,PMPI_Send,PMPI_Recv,0.000792,0.000808
14,1,PMPI_Send,PMPI_Recv,0.000809,0.000825
1,15,PMPI_Send,PMPI_Recv,0.000825,0.00084
15,1,PMPI_Send,PMPI_Recv,0.000842,0.000857
1,16,PMPI_Send,PMPI_Recv,0.000857,0.000873
16,1,PMPI_Send,PMPI_Recv,0.000874,0.00089
1,2,PMPI_Send,PMPI_Recv,0.00089,0.000898
2,1,PMPI_Send,PMPI_Recv,0.000898,0.000906
1,3,PMPI_Send,PMPI_Recv,0.000906,0.000914
3,1,PMPI_Send,PMPI_Recv,0.000914,0.000922
1,4,PMPI_Send,PMPI_Recv,0.000922,0.00093
4,1,PMPI_Send,PMPI_Recv,0.00093,0.000938
1,5,PMPI_Send,PMPI_Recv,0.000938,0.000953
5,1,PMPI_Send,PMPI_Recv,0.000953,0.000969
1,6,PMPI_Send,PMPI_Recv,0.000969,0.000985
6,1,PMPI_Send,PMPI_Recv,0.000985,0.001
1,7,PMPI_Send,PMPI_Recv,0.001,0.001016
7,1,PMPI_Send,PMPI_Recv,0.001016,0.001032
1,8,PMPI_Send,PMPI_Recv,0.001032,0.001048
8,1,PMPI_Send,PMPI_Recv,0.001048,0.001063
1,9,PMPI_Send,PMPI_Recv,0.001063,0.001079
9,1,PMPI_Send,PMPI_Recv,0.001079,0.001095
1,10,PMPI_Send,PMPI_Recv,0.001095,0.001111
10,1,PMPI_Send,PMPI_Recv,0.001111,0.001126
1,11,PMPI_Send,PMPI_Recv,0.001126,0.001142
11,1,PMPI_Send,PMPI_Recv,0.001142,0.001158
1,12,PMPI_Send,PMPI_Recv,0.001158,0.001173
12,1,PMPI_Send,PMPI_Recv,0.001173,0.001189
1,13,PMPI_Send,PMPI_Recv,0.001189,0.001205
13,1,PMPI_Send,PMPI_Recv,0.001205,0.001221
1,14,PMPI_Send,PMPI_Recv,0.001221,0.001236
14,1,PMPI_Send,PMPI_Recv,0.001236,0.001252
1,15,PMPI_Send,PMPI_Recv,0.001252,0.001268
15,1,PMPI_Send,PMPI_Recv,0.001268,0.001283
1,16,PMPI_Send,PMPI_Recv,0.001283,0.001299
16,1,PMPI_Send,PMPI_Recv,0.001299,0.001315
1,2,PMPI_Send,PMPI_Recv,0.001315,0.001323
2,1,PMPI_Send,PMPI_Recv,0.001323,0.001331
1,3,PMPI_Send,PMPI_Recv,0.001331,0.001339
3,1,PMPI_Send,PMPI_Recv,0.001339,0.001347
1,4,PMPI_Send,PMPI_Recv,0.001347,0.001355
4,1,PMPI_Send,PMPI_Recv,0.001355,0.001362
1,5,PMPI_Send,PMPI_Recv,0.001362,0.001378
5,1,PMPI_Send,PMPI_Recv,0.001378,0.001394
1,6,PMPI_Send,PMPI_Recv,0.001394,0.00141
6,1,PMPI_Send,PMPI_Recv,0.00141,0.001425
1,7,PMPI_Send,PMPI_Recv,0.001425,0.001441
7,1,PMPI_Send,PMPI_Recv,0.001441,0.001457
1,8,PMPI_Send,PMPI_Recv,0.001457,0.001473
8,1,PMPI_Send,PMPI_Recv,0.001473,0.001488
1,9,PMPI_Send,PMPI_Recv,0.001488,0.001504
9,1,PMPI_Send,PMPI_Recv,0.001504,0.00152
1,10,PMPI_Send,PMPI_Recv,0.00152,0.001535
10,1,PMPI_Send,PMPI_Recv,0.001535,0.001551
1,11,PMPI_Send,PMPI_Recv,0.001551,0.001567
11,1,PMPI_Send,PMPI_Recv,0.001567,0.001583
1,12,PMPI_Send,PMPI_Recv,0.001583,0.001598
