Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000594,0.000716
2,1,PMPI_Send,PMPI_Recv,0.000719,0.000841
1,3,PMPI_Send,PMPI_Recv,0.000841,0.00106
3,1,PMPI_Send,PMPI_Recv,0.001063,0.001282
1,4,PMPI_Send,PMPI_Recv,0.001282,0.001404
4,1,PMPI_Send,PMPI_Recv,0.001406,0.001528
1,5,PMPI_Send,PMPI_Recv,0.001528,0.00165
5,1,PMPI_Send,PMPI_Recv,0.001652,0.001774
1,6,PMPI_Send,PMPI_Recv,0.001774,0.001993
6,1,PMPI_Send,PMPI_Recv,0.001996,0.002215
1,7,PMPI_Send,PMPI_Recv,0.002215,0.002532
7,1,PMPI_Send,PMPI_Recv,0.002535,0.002852
1,8,PMPI_Send,PMPI_Recv,0.002852,0.003071
8,1,PMPI_Send,PMPI_Recv,0.003073,0.003293
1,9,PMPI_Send,PMPI_Recv,0.003293,0.003512
9,1,PMPI_Send,PMPI_Recv,0.003515,0.003734
1,10,PMPI_Send,PMPI_Recv,0.003734,0.004051
10,1,PMPI_Send,PMPI_Recv,0.004053,0.00437
1,11,PMPI_Send,PMPI_Recv,0.00437,0.004784
11,1,PMPI_Send,PMPI_Recv,0.004787,0.005201
1,12,PMPI_Send,PMPI_Recv,0.005201,0.005518
12,1,PMPI_Send,PMPI_Recv,0.005521,0.005838
1,13,PMPI_Send,PMPI_Recv,0.005838,0.005959
13,1,PMPI_Send,PMPI_Recv,0.005961,0.006083
1,14,PMPI_Send,PMPI_Recv,0.006083,0.006303
14,1,PMPI_Send,PMPI_Recv,0.006305,0.006524
1,15,PMPI_Send,PMPI_Recv,0.006524,0.006841
15,1,PMPI_Send,PMPI_Recv,0.006843,0.00716
1,16,PMPI_Send,PMPI_Recv,0.00716,0.007379
16,1,PMPI_Send,PMPI_Recv,0.007381,0.007601
1,17,PMPI_Send,PMPI_Recv,0.007601,0.007723
17,1,PMPI_Send,PMPI_Recv,0.007725,0.007847
1,18,PMPI_Send,PMPI_Recv,0.007847,0.008066
18,1,PMPI_Send,PMPI_Recv,0.008068,0.008288
1,19,PMPI_Send,PMPI_Recv,0.008288,0.008605
19,1,PMPI_Send,PMPI_Recv,0.008607,0.008924
1,20,PMPI_Send,PMPI_Recv,0.008924,0.009143
20,1,PMPI_Send,PMPI_Recv,0.009146,0.009365
1,21,PMPI_Send,PMPI_Recv,0.009365,0.009584
21,1,PMPI_Send,PMPI_Recv,0.009587,0.009806
