Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.00064,0.00086
2,1,PMPI_Send,PMPI_Recv,0.000863,0.001084
1,3,PMPI_Send,PMPI_Recv,0.001084,0.001304
3,1,PMPI_Send,PMPI_Recv,0.001306,0.001527
1,4,PMPI_Send,PMPI_Recv,0.001527,0.001748
4,1,PMPI_Send,PMPI_Recv,0.001749,0.00197
1,5,PMPI_Send,PMPI_Recv,0.00197,0.002288
5,1,PMPI_Send,PMPI_Recv,0.002289,0.002608
1,6,PMPI_Send,PMPI_Recv,0.002608,0.002926
6,1,PMPI_Send,PMPI_Recv,0.002927,0.003245
1,7,PMPI_Send,PMPI_Recv,0.003245,0.003563
7,1,PMPI_Send,PMPI_Recv,0.003565,0.003883
1,8,PMPI_Send,PMPI_Recv,0.003883,0.004201
8,1,PMPI_Send,PMPI_Recv,0.004203,0.004521
1,9,PMPI_Send,PMPI_Recv,0.004521,0.004839
9,1,PMPI_Send,PMPI_Recv,0.004841,0.005159
1,10,PMPI_Send,PMPI_Recv,0.005159,0.005477
10,1,PMPI_Send,PMPI_Recv,0.005479,0.005797
1,11,PMPI_Send,PMPI_Recv,0.005797,0.006115
11,1,PMPI_Send,PMPI_Recv,0.006116,0.006434
1,12,PMPI_Send,PMPI_Recv,0.006434,0.006752
12,1,PMPI_Send,PMPI_Recv,0.006754,0.007072
1,13,PMPI_Send,PMPI_Recv,0.007072,0.007488
13,1,PMPI_Send,PMPI_Recv,0.007489,0.007807
1,14,PMPI_Send,PMPI_Recv,0.007807,0.008223
14,1,PMPI_Send,PMPI_Recv,0.008224,0.008542
1,15,PMPI_Send,PMPI_Recv,0.008542,0.008958
15,1,PMPI_Send,PMPI_Recv,0.008959,0.009277
1,16,PMPI_Send,PMPI_Recv,0.009277,0.009693
16,1,PMPI_Send,PMPI_Recv,0.009694,0.010013
1,17,PMPI_Send,PMPI_Recv,0.010013,0.010428
17,1,PMPI_Send,PMPI_Recv,0.01043,0.010845
1,18,PMPI_Send,PMPI_Recv,0.010845,0.011261
18,1,PMPI_Send,PMPI_Recv,0.011262,0.011678
1,19,PMPI_Send,PMPI_Recv,0.011678,0.012093
19,1,PMPI_Send,PMPI_Recv,0.012095,0.01251
1,20,PMPI_Send,PMPI_Recv,0.01251,0.012926
20,1,PMPI_Send,PMPI_Recv,0.012927,0.013343
1,21,PMPI_Send,PMPI_Recv,0.013343,0.013856
21,1,PMPI_Send,PMPI_Recv,0.013858,0.014371
1,22,PMPI_Send,PMPI_Recv,0.014371,0.014884
22,1,PMPI_Send,PMPI_Recv,0.014885,0.015398
1,23,PMPI_Send,PMPI_Recv,0.015398,0.015911
23,1,PMPI_Send,PMPI_Recv,0.015913,0.016426
1,24,PMPI_Send,PMPI_Recv,0.016426,0.016939
24,1,PMPI_Send,PMPI_Recv,0.01694,0.017453
1,25,PMPI_Send,PMPI_Recv,0.017453,0.017966
25,1,PMPI_Send,PMPI_Recv,0.017968,0.018481
1,26,PMPI_Send,PMPI_Recv,0.018481,0.018994
26,1,PMPI_Send,PMPI_Recv,0.018996,0.019509
1,27,PMPI_Send,PMPI_Recv,0.019509,0.020022
27,1,PMPI_Send,PMPI_Recv,0.020023,0.020536
1,28,PMPI_Send,PMPI_Recv,0.020536,0.021049
28,1,PMPI_Send,PMPI_Recv,0.021051,0.021564
1,29,PMPI_Send,PMPI_Recv,0.021564,0.022174
29,1,PMPI_Send,PMPI_Recv,0.022176,0.022786
1,30,PMPI_Send,PMPI_Recv,0.022786,0.023397
30,1,PMPI_Send,PMPI_Recv,0.023398,0.024009
1,31,PMPI_Send,PMPI_Recv,0.024009,0.02462
31,1,PMPI_Send,PMPI_Recv,0.024621,0.025231
1,32,PMPI_Send,PMPI_Recv,0.025231,0.025842
32,1,PMPI_Send,PMPI_Recv,0.025843,0.026454
1,2,PMPI_Send,PMPI_Recv,0.026454,0.026674
2,1,PMPI_Send,PMPI_Recv,0.026674,0.026895
1,3,PMPI_Send,PMPI_Recv,0.026895,0.027116
3,1,PMPI_Send,PMPI_Recv,0.027116,0.027336
1,4,PMPI_Send,PMPI_Recv,0.027336,0.027557
4,1,PMPI_Send,PMPI_Recv,0.027557,0.027777
1,5,PMPI_Send,PMPI_Recv,0.027777,0.028095
5,1,PMPI_Send,PMPI_Recv,0.028095,0.028414
1,6,PMPI_Send,PMPI_Recv,0.028414,0.028732
6,1,PMPI_Send,PMPI_Recv,0.028732,0.02905
1,7,PMPI_Send,PMPI_Recv,0.02905,0.029368
7,1,PMPI_Send,PMPI_Recv,0.029368,0.029686
1,8,PMPI_Send,PMPI_Recv,0.029686,0.030004
8,1,PMPI_Send,PMPI_Recv,0.030004,0.030322
1,9,PMPI_Send,PMPI_Recv,0.030322,0.03064
9,1,PMPI_Send,PMPI_Recv,0.03064,0.030958
