Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000439,0.000457
2,1,PMPI_Send,PMPI_Recv,0.000459,0.000467
1,3,PMPI_Send,PMPI_Recv,0.000468,0.000476
3,1,PMPI_Send,PMPI_Recv,0.000478,0.000486
1,4,PMPI_Send,PMPI_Recv,0.000486,0.000494
4,1,PMPI_Send,PMPI_Recv,0.000495,0.000503
1,5,PMPI_Send,PMPI_Recv,0.000503,0.000515
5,1,PMPI_Send,PMPI_Recv,0.000517,0.000529
1,6,PMPI_Send,PMPI_Recv,0.000529,0.00054
6,1,PMPI_Send,PMPI_Recv,0.000542,0.000554
1,7,PMPI_Send,PMPI_Recv,0.000554,0.000566
7,1,PMPI_Send,PMPI_Recv,0.000567,0.000579
1,8,PMPI_Send,PMPI_Recv,0.000579,0.000591
8,1,PMPI_Send,PMPI_Recv,0.000592,0.000604
1,9,PMPI_Send,PMPI_Recv,0.000604,0.000616
9,1,PMPI_Send,PMPI_Recv,0.000618,0.000629
1,10,PMPI_Send,PMPI_Recv,0.000629,0.000641
10,1,PMPI_Send,PMPI_Recv,0.000643,0.000655
1,11,PMPI_Send,PMPI_Recv,0.000655,0.000666
11,1,PMPI_Send,PMPI_Recv,0.000668,0.00068
1,12,PMPI_Send,PMPI_Recv,0.00068,0.000692
12,1,PMPI_Send,PMPI_Recv,0.000693,0.000705
1,13,PMPI_Send,PMPI_Recv,0.000705,0.000721
13,1,PMPI_Send,PMPI_Recv,0.000722,0.000734
1,14,PMPI_Send,PMPI_Recv,0.000735,0.000751
14,1,PMPI_Send,PMPI_Recv,0.000752,0.000764
1,15,PMPI_Send,PMPI_Recv,0.000764,0.00078
15,1,PMPI_Send,PMPI_Recv,0.000781,0.000793
1,16,PMPI_Send,PMPI_Recv,0.000793,0.000809
16,1,PMPI_Send,PMPI_Recv,0.00081,0.000822
1,2,PMPI_Send,PMPI_Recv,0.000822,0.00083
2,1,PMPI_Send,PMPI_Recv,0.00083,0.000838
1,3,PMPI_Send,PMPI_Recv,0.000839,0.000847
3,1,PMPI_Send,PMPI_Recv,0.000847,0.000855
1,4,PMPI_Send,PMPI_Recv,0.000855,0.000863
4,1,PMPI_Send,PMPI_Recv,0.000864,0.000872
1,5,PMPI_Send,PMPI_Recv,0.000872,0.000883
5,1,PMPI_Send,PMPI_Recv,0.000883,0.000895
1,6,PMPI_Send,PMPI_Recv,0.000895,0.000907
6,1,PMPI_Send,PMPI_Recv,0.000907,0.000919
1,7,PMPI_Send,PMPI_Recv,0.000919,0.000931
7,1,PMPI_Send,PMPI_Recv,0.000931,0.000942
1,8,PMPI_Send,PMPI_Recv,0.000942,0.000954
8,1,PMPI_Send,PMPI_Recv,0.000954,0.000966
1,9,PMPI_Send,PMPI_Recv,0.000966,0.000978
9,1,PMPI_Send,PMPI_Recv,0.000978,0.00099
1,10,PMPI_Send,PMPI_Recv,0.00099,0.001002
10,1,PMPI_Send,PMPI_Recv,0.001002,0.001013
1,11,PMPI_Send,PMPI_Recv,0.001013,0.001025
11,1,PMPI_Send,PMPI_Recv,0.001025,0.001037
1,12,PMPI_Send,PMPI_Recv,0.001037,0.001049
12,1,PMPI_Send,PMPI_Recv,0.001049,0.001061
1,13,PMPI_Send,PMPI_Recv,0.001061,0.001077
13,1,PMPI_Send,PMPI_Recv,0.001077,0.001088
1,14,PMPI_Send,PMPI_Recv,0.001088,0.001104
14,1,PMPI_Send,PMPI_Recv,0.001105,0.001117
1,15,PMPI_Send,PMPI_Recv,0.001117,0.001133
15,1,PMPI_Send,PMPI_Recv,0.001133,0.001145
1,16,PMPI_Send,PMPI_Recv,0.001145,0.00116
16,1,PMPI_Send,PMPI_Recv,0.00116,0.001172
1,2,PMPI_Send,PMPI_Recv,0.001173,0.001181
2,1,PMPI_Send,PMPI_Recv,0.001181,0.001189
1,3,PMPI_Send,PMPI_Recv,0.001189,0.001197
3,1,PMPI_Send,PMPI_Recv,0.001197,0.001205
1,4,PMPI_Send,PMPI_Recv,0.001205,0.001213
4,1,PMPI_Send,PMPI_Recv,0.001213,0.001221
1,5,PMPI_Send,PMPI_Recv,0.001221,0.001233
5,1,PMPI_Send,PMPI_Recv,0.001233,0.001244
1,6,PMPI_Send,PMPI_Recv,0.001244,0.001256
6,1,PMPI_Send,PMPI_Recv,0.001257,0.001269
1,7,PMPI_Send,PMPI_Recv,0.001269,0.001281
7,1,PMPI_Send,PMPI_Recv,0.001282,0.001294
1,8,PMPI_Send,PMPI_Recv,0.001294,0.001306
8,1,PMPI_Send,PMPI_Recv,0.001307,0.001319
1,9,PMPI_Send,PMPI_Recv,0.001319,0.00133
9,1,PMPI_Send,PMPI_Recv,0.00133,0.001342
1,10,PMPI_Send,PMPI_Recv,0.001342,0.001354
10,1,PMPI_Send,PMPI_Recv,0.001354,0.001366
1,11,PMPI_Send,PMPI_Recv,0.001366,0.001378
11,1,PMPI_Send,PMPI_Recv,0.001378,0.001389
1,12,PMPI_Send,PMPI_Recv,0.001389,0.001401
12,1,PMPI_Send,PMPI_Recv,0.001401,0.001413
1,13,PMPI_Send,PMPI_Recv,0.001413,0.001429
13,1,PMPI_Send,PMPI_Recv,0.001429,0.001441
1,14,PMPI_Send,PMPI_Recv,0.001441,0.001456
14,1,PMPI_Send,PMPI_Recv,0.001456,0.001468
1,15,PMPI_Send,PMPI_Recv,0.001468,0.001484
15,1,PMPI_Send,PMPI_Recv,0.001484,0.001496
1,16,PMPI_Send,PMPI_Recv,0.001496,0.001512
16,1,PMPI_Send,PMPI_Recv,0.001512,0.001523
1,2,PMPI_Send,PMPI_Recv,0.001523,0.001531
2,1,PMPI_Send,PMPI_Recv,0.001531,0.001539
1,3,PMPI_Send,PMPI_Recv,0.001539,0.001547
3,1,PMPI_Send,PMPI_Recv,0.001547,0.001555
1,4,PMPI_Send,PMPI_Recv,0.001555,0.001563
4,1,PMPI_Send,PMPI_Recv,0.001563,0.001571
1,5,PMPI_Send,PMPI_Recv,0.001571,0.001583
5,1,PMPI_Send,PMPI_Recv,0.001583,0.001595
1,6,PMPI_Send,PMPI_Recv,0.001595,0.001606
6,1,PMPI_Send,PMPI_Recv,0.001606,0.001618
1,7,PMPI_Send,PMPI_Recv,0.001618,0.00163
7,1,PMPI_Send,PMPI_Recv,0.00163,0.001642
1,8,PMPI_Send,PMPI_Recv,0.001642,0.001654
8,1,PMPI_Send,PMPI_Recv,0.001654,0.001666
1,9,PMPI_Send,PMPI_Recv,0.001666,0.001677
9,1,PMPI_Send,PMPI_Recv,0.001677,0.001689
1,10,PMPI_Send,PMPI_Recv,0.001689,0.001701
10,1,PMPI_Send,PMPI_Recv,0.001701,0.001713
1,11,PMPI_Send,PMPI_Recv,0.001713,0.001725
11,1,PMPI_Send,PMPI_Recv,0.001725,0.001737
1,12,PMPI_Send,PMPI_Recv,0.001737,0.001748
12,1,PMPI_Send,PMPI_Recv,0.001748,0.00176
1,13,PMPI_Send,PMPI_Recv,0.00176,0.001776
13,1,PMPI_Send,PMPI_Recv,0.001776,0.001788
1,14,PMPI_Send,PMPI_Recv,0.001788,0.001804
14,1,PMPI_Send,PMPI_Recv,0.001804,0.001815
1,15,PMPI_Send,PMPI_Recv,0.001815,0.001831
15,1,PMPI_Send,PMPI_Recv,0.001831,0.001843
1,16,PMPI_Send,PMPI_Recv,0.001843,0.001859
16,1,PMPI_Send,PMPI_Recv,0.001859,0.00187
1,2,PMPI_Send,PMPI_Recv,0.00187,0.001878
2,1,PMPI_Send,PMPI_Recv,0.001878,0.001886
1,3,PMPI_Send,PMPI_Recv,0.001886,0.001894
3,1,PMPI_Send,PMPI_Recv,0.001894,0.001902
1,4,PMPI_Send,PMPI_Recv,0.001902,0.00191
4,1,PMPI_Send,PMPI_Recv,0.00191,0.001918
1,5,PMPI_Send,PMPI_Recv,0.001918,0.00193
5,1,PMPI_Send,PMPI_Recv,0.00193,0.001942
1,6,PMPI_Send,PMPI_Recv,0.001942,0.001954
6,1,PMPI_Send,PMPI_Recv,0.001954,0.001965
1,7,PMPI_Send,PMPI_Recv,0.001965,0.001977
7,1,PMPI_Send,PMPI_Recv,0.001977,0.001989
1,8,PMPI_Send,PMPI_Recv,0.001989,0.002001
8,1,PMPI_Send,PMPI_Recv,0.002001,0.002013
1,9,PMPI_Send,PMPI_Recv,0.002013,0.002025
9,1,PMPI_Send,PMPI_Recv,0.002025,0.002036
1,10,PMPI_Send,PMPI_Recv,0.002036,0.002048
10,1,PMPI_Send,PMPI_Recv,0.002048,0.00206
1,11,PMPI_Send,PMPI_Recv,0.00206,0.002072
11,1,PMPI_Send,PMPI_Recv,0.002072,0.002084
1,12,PMPI_Send,PMPI_Recv,0.002084,0.002095
12,1,PMPI_Send,PMPI_Recv,0.002095,0.002107
1,13,PMPI_Send,PMPI_Recv,0.002107,0.002123
13,1,PMPI_Send,PMPI_Recv,0.002123,0.002135
1,14,PMPI_Send,PMPI_Recv,0.002135,0.002151
14,1,PMPI_Send,PMPI_Recv,0.002151,0.002162
1,15,PMPI_Send,PMPI_Recv,0.002162,0.002178
15,1,PMPI_Send,PMPI_Recv,0.002178,0.00219
1,16,PMPI_Send,PMPI_Recv,0.00219,0.002206
16,1,PMPI_Send,PMPI_Recv,0.002206,0.002218
1,2,PMPI_Send,PMPI_Recv,0.002218,0.002225
2,1,PMPI_Send,PMPI_Recv,0.002225,0.002233
1,3,PMPI_Send,PMPI_Recv,0.002233,0.002241
3,1,PMPI_Send,PMPI_Recv,0.002241,0.002249
1,4,PMPI_Send,PMPI_Recv,0.002249,0.002257
4,1,PMPI_Send,PMPI_Recv,0.002257,0.002265
1,5,PMPI_Send,PMPI_Recv,0.002265,0.002277
5,1,PMPI_Send,PMPI_Recv,0.002277,0.002289
1,6,PMPI_Send,PMPI_Recv,0.002289,0.002301
6,1,PMPI_Send,PMPI_Recv,0.002301,0.002312
1,7,PMPI_Send,PMPI_Recv,0.002312,0.002324
7,1,PMPI_Send,PMPI_Recv,0.002324,0.002336
1,8,PMPI_Send,PMPI_Recv,0.002336,0.002348
8,1,PMPI_Send,PMPI_Recv,0.002348,0.00236
1,9,PMPI_Send,PMPI_Recv,0.00236,0.002372
9,1,PMPI_Send,PMPI_Recv,0.002372,0.002383
1,10,PMPI_Send,PMPI_Recv,0.002383,0.002395
10,1,PMPI_Send,PMPI_Recv,0.002395,0.002407
1,11,PMPI_Send,PMPI_Recv,0.002407,0.002419
11,1,PMPI_Send,PMPI_Recv,0.002419,0.002431
1,12,PMPI_Send,PMPI_Recv,0.002431,0.002443
12,1,PMPI_Send,PMPI_Recv,0.002443,0.002454
1,13,PMPI_Send,PMPI_Recv,0.002454,0.00247
13,1,PMPI_Send,PMPI_Recv,0.00247,0.002482
1,14,PMPI_Send,PMPI_Recv,0.002482,0.002498
14,1,PMPI_Send,PMPI_Recv,0.002498,0.00251
1,15,PMPI_Send,PMPI_Recv,0.00251,0.002525
15,1,PMPI_Send,PMPI_Recv,0.002525,0.002537
1,16,PMPI_Send,PMPI_Recv,0.002537,0.002553
16,1,PMPI_Send,PMPI_Recv,0.002553,0.002565
1,2,PMPI_Send,PMPI_Recv,0.002565,0.002573
2,1,PMPI_Send,PMPI_Recv,0.002573,0.00258
1,3,PMPI_Send,PMPI_Recv,0.00258,0.002588
3,1,PMPI_Send,PMPI_Recv,0.002588,0.002596
1,4,PMPI_Send,PMPI_Recv,0.002596,0.002604
4,1,PMPI_Send,PMPI_Recv,0.002604,0.002612
1,5,PMPI_Send,PMPI_Recv,0.002612,0.002624
5,1,PMPI_Send,PMPI_Recv,0.002624,0.002636
1,6,PMPI_Send,PMPI_Recv,0.002636,0.002648
6,1,PMPI_Send,PMPI_Recv,0.002648,0.00266
1,7,PMPI_Send,PMPI_Recv,0.00266,0.002671
7,1,PMPI_Send,PMPI_Recv,0.002671,0.002683
1,8,PMPI_Send,PMPI_Recv,0.002683,0.002695
8,1,PMPI_Send,PMPI_Recv,0.002695,0.002707
1,9,PMPI_Send,PMPI_Recv,0.002707,0.002719
