Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000473,0.001669
2,1,PMPI_Send,PMPI_Recv,0.001671,0.002867
1,3,PMPI_Send,PMPI_Recv,0.002867,0.004063
3,1,PMPI_Send,PMPI_Recv,0.004064,0.00526
1,4,PMPI_Send,PMPI_Recv,0.00526,0.006456
4,1,PMPI_Send,PMPI_Recv,0.006457,0.007653
1,5,PMPI_Send,PMPI_Recv,0.007653,0.008849
5,1,PMPI_Send,PMPI_Recv,0.00885,0.010046
1,6,PMPI_Send,PMPI_Recv,0.010046,0.011242
6,1,PMPI_Send,PMPI_Recv,0.011243,0.012439
1,7,PMPI_Send,PMPI_Recv,0.012439,0.013634
7,1,PMPI_Send,PMPI_Recv,0.013636,0.014832
1,8,PMPI_Send,PMPI_Recv,0.014832,0.016027
8,1,PMPI_Send,PMPI_Recv,0.016029,0.017224
1,9,PMPI_Send,PMPI_Recv,0.017224,0.01842
9,1,PMPI_Send,PMPI_Recv,0.018421,0.019617
1,10,PMPI_Send,PMPI_Recv,0.019617,0.020813
10,1,PMPI_Send,PMPI_Recv,0.020814,0.02201
1,11,PMPI_Send,PMPI_Recv,0.02201,0.023206
11,1,PMPI_Send,PMPI_Recv,0.023207,0.024403
1,12,PMPI_Send,PMPI_Recv,0.024403,0.025599
12,1,PMPI_Send,PMPI_Recv,0.0256,0.026796
1,13,PMPI_Send,PMPI_Recv,0.026796,0.027992
13,1,PMPI_Send,PMPI_Recv,0.027993,0.029189
1,14,PMPI_Send,PMPI_Recv,0.029189,0.030384
14,1,PMPI_Send,PMPI_Recv,0.030385,0.031581
1,15,PMPI_Send,PMPI_Recv,0.031581,0.032777
15,1,PMPI_Send,PMPI_Recv,0.032778,0.033974
1,16,PMPI_Send,PMPI_Recv,0.033974,0.03517
16,1,PMPI_Send,PMPI_Recv,0.035171,0.036367
1,2,PMPI_Send,PMPI_Recv,0.036367,0.037562
2,1,PMPI_Send,PMPI_Recv,0.037562,0.038758
1,3,PMPI_Send,PMPI_Recv,0.038758,0.039954
3,1,PMPI_Send,PMPI_Recv,0.039954,0.04115
1,4,PMPI_Send,PMPI_Recv,0.04115,0.042345
4,1,PMPI_Send,PMPI_Recv,0.042345,0.043541
1,5,PMPI_Send,PMPI_Recv,0.043541,0.044737
