Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000538,0.000556
2,1,PMPI_Send,PMPI_Recv,0.000559,0.000576
1,3,PMPI_Send,PMPI_Recv,0.000576,0.000594
3,1,PMPI_Send,PMPI_Recv,0.000597,0.000615
1,4,PMPI_Send,PMPI_Recv,0.000615,0.000632
4,1,PMPI_Send,PMPI_Recv,0.000635,0.000653
1,5,PMPI_Send,PMPI_Recv,0.000653,0.00067
5,1,PMPI_Send,PMPI_Recv,0.000673,0.000691
1,6,PMPI_Send,PMPI_Recv,0.000691,0.000709
6,1,PMPI_Send,PMPI_Recv,0.000712,0.000729
1,7,PMPI_Send,PMPI_Recv,0.000731,0.000748
7,1,PMPI_Send,PMPI_Recv,0.000751,0.000769
1,8,PMPI_Send,PMPI_Recv,0.000769,0.000787
8,1,PMPI_Send,PMPI_Recv,0.000789,0.000807
1,9,PMPI_Send,PMPI_Recv,0.000807,0.000825
9,1,PMPI_Send,PMPI_Recv,0.000827,0.000845
1,10,PMPI_Send,PMPI_Recv,0.000845,0.000862
10,1,PMPI_Send,PMPI_Recv,0.000865,0.000883
1,11,PMPI_Send,PMPI_Recv,0.000883,0.000901
11,1,PMPI_Send,PMPI_Recv,0.000903,0.000921
1,12,PMPI_Send,PMPI_Recv,0.000921,0.000939
12,1,PMPI_Send,PMPI_Recv,0.000941,0.000959
1,13,PMPI_Send,PMPI_Recv,0.000959,0.000977
13,1,PMPI_Send,PMPI_Recv,0.000979,0.000997
1,14,PMPI_Send,PMPI_Recv,0.000997,0.001015
14,1,PMPI_Send,PMPI_Recv,0.001017,0.001035
1,15,PMPI_Send,PMPI_Recv,0.001035,0.001052
15,1,PMPI_Send,PMPI_Recv,0.001055,0.001072
1,16,PMPI_Send,PMPI_Recv,0.001074,0.001091
16,1,PMPI_Send,PMPI_Recv,0.001094,0.001112
1,17,PMPI_Send,PMPI_Recv,0.001112,0.001129
17,1,PMPI_Send,PMPI_Recv,0.001132,0.001149
1,18,PMPI_Send,PMPI_Recv,0.001149,0.001167
18,1,PMPI_Send,PMPI_Recv,0.00117,0.001187
1,19,PMPI_Send,PMPI_Recv,0.001187,0.001205
19,1,PMPI_Send,PMPI_Recv,0.001208,0.001225
1,20,PMPI_Send,PMPI_Recv,0.001226,0.001244
20,1,PMPI_Send,PMPI_Recv,0.001247,0.001264
1,21,PMPI_Send,PMPI_Recv,0.001264,0.001282
21,1,PMPI_Send,PMPI_Recv,0.001285,0.001302
1,22,PMPI_Send,PMPI_Recv,0.001302,0.00132
22,1,PMPI_Send,PMPI_Recv,0.001323,0.00134
1,23,PMPI_Send,PMPI_Recv,0.00134,0.001358
23,1,PMPI_Send,PMPI_Recv,0.001361,0.001378
1,24,PMPI_Send,PMPI_Recv,0.001378,0.001396
