Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000468,0.00072
2,1,PMPI_Send,PMPI_Recv,0.000722,0.000942
1,3,PMPI_Send,PMPI_Recv,0.000942,0.001161
3,1,PMPI_Send,PMPI_Recv,0.001163,0.001382
1,4,PMPI_Send,PMPI_Recv,0.001382,0.001601
4,1,PMPI_Send,PMPI_Recv,0.001603,0.001822
1,5,PMPI_Send,PMPI_Recv,0.001822,0.002237
5,1,PMPI_Send,PMPI_Recv,0.002238,0.002653
1,6,PMPI_Send,PMPI_Recv,0.002653,0.003067
6,1,PMPI_Send,PMPI_Recv,0.003068,0.003483
1,7,PMPI_Send,PMPI_Recv,0.003483,0.003897
7,1,PMPI_Send,PMPI_Recv,0.003899,0.004313
1,8,PMPI_Send,PMPI_Recv,0.004313,0.004727
8,1,PMPI_Send,PMPI_Recv,0.004729,0.005143
1,9,PMPI_Send,PMPI_Recv,0.005143,0.005558
9,1,PMPI_Send,PMPI_Recv,0.005559,0.005973
1,10,PMPI_Send,PMPI_Recv,0.005973,0.006388
10,1,PMPI_Send,PMPI_Recv,0.006389,0.006803
1,11,PMPI_Send,PMPI_Recv,0.006803,0.007218
11,1,PMPI_Send,PMPI_Recv,0.007219,0.007634
1,12,PMPI_Send,PMPI_Recv,0.007634,0.008048
12,1,PMPI_Send,PMPI_Recv,0.008049,0.008464
1,13,PMPI_Send,PMPI_Recv,0.008464,0.008878
13,1,PMPI_Send,PMPI_Recv,0.008879,0.009294
1,14,PMPI_Send,PMPI_Recv,0.009294,0.009708
14,1,PMPI_Send,PMPI_Recv,0.009709,0.010124
1,15,PMPI_Send,PMPI_Recv,0.010124,0.010538
15,1,PMPI_Send,PMPI_Recv,0.010539,0.010954
1,16,PMPI_Send,PMPI_Recv,0.010954,0.011368
16,1,PMPI_Send,PMPI_Recv,0.011369,0.011784
1,2,PMPI_Send,PMPI_Recv,0.011784,0.012003
2,1,PMPI_Send,PMPI_Recv,0.012003,0.012222
1,3,PMPI_Send,PMPI_Recv,0.012222,0.012442
3,1,PMPI_Send,PMPI_Recv,0.012442,0.012661
1,4,PMPI_Send,PMPI_Recv,0.012661,0.012881
4,1,PMPI_Send,PMPI_Recv,0.012881,0.0131
1,5,PMPI_Send,PMPI_Recv,0.0131,0.013514
5,1,PMPI_Send,PMPI_Recv,0.013514,0.013929
1,6,PMPI_Send,PMPI_Recv,0.013929,0.014343
6,1,PMPI_Send,PMPI_Recv,0.014343,0.014757
1,7,PMPI_Send,PMPI_Recv,0.014757,0.015172
7,1,PMPI_Send,PMPI_Recv,0.015172,0.015586
1,8,PMPI_Send,PMPI_Recv,0.015586,0.016001
8,1,PMPI_Send,PMPI_Recv,0.016001,0.016415
1,9,PMPI_Send,PMPI_Recv,0.016415,0.016829
9,1,PMPI_Send,PMPI_Recv,0.016829,0.017244
1,10,PMPI_Send,PMPI_Recv,0.017244,0.017658
10,1,PMPI_Send,PMPI_Recv,0.017658,0.018073
1,11,PMPI_Send,PMPI_Recv,0.018073,0.018487
11,1,PMPI_Send,PMPI_Recv,0.018487,0.018901
1,12,PMPI_Send,PMPI_Recv,0.018901,0.019316
12,1,PMPI_Send,PMPI_Recv,0.019316,0.01973
1,13,PMPI_Send,PMPI_Recv,0.01973,0.020144
13,1,PMPI_Send,PMPI_Recv,0.020144,0.020559
1,14,PMPI_Send,PMPI_Recv,0.020559,0.020973
14,1,PMPI_Send,PMPI_Recv,0.020973,0.021388
1,15,PMPI_Send,PMPI_Recv,0.021388,0.021802
15,1,PMPI_Send,PMPI_Recv,0.021802,0.022216
1,16,PMPI_Send,PMPI_Recv,0.022216,0.022631
16,1,PMPI_Send,PMPI_Recv,0.022631,0.023045
1,2,PMPI_Send,PMPI_Recv,0.023045,0.023265
2,1,PMPI_Send,PMPI_Recv,0.023265,0.023484
1,3,PMPI_Send,PMPI_Recv,0.023484,0.023703
3,1,PMPI_Send,PMPI_Recv,0.023703,0.023923
1,4,PMPI_Send,PMPI_Recv,0.023923,0.024142
4,1,PMPI_Send,PMPI_Recv,0.024142,0.024361
1,5,PMPI_Send,PMPI_Recv,0.024361,0.024776
5,1,PMPI_Send,PMPI_Recv,0.024776,0.02519
1,6,PMPI_Send,PMPI_Recv,0.02519,0.025605
6,1,PMPI_Send,PMPI_Recv,0.025605,0.026019
1,7,PMPI_Send,PMPI_Recv,0.026019,0.026433
7,1,PMPI_Send,PMPI_Recv,0.026433,0.026848
1,8,PMPI_Send,PMPI_Recv,0.026848,0.027262
8,1,PMPI_Send,PMPI_Recv,0.027262,0.027676
