Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000474,0.00051
2,1,PMPI_Send,PMPI_Recv,0.000513,0.000521
1,3,PMPI_Send,PMPI_Recv,0.000522,0.00053
3,1,PMPI_Send,PMPI_Recv,0.000533,0.000541
1,4,PMPI_Send,PMPI_Recv,0.000541,0.000549
4,1,PMPI_Send,PMPI_Recv,0.000551,0.000558
1,5,PMPI_Send,PMPI_Recv,0.000558,0.000574
5,1,PMPI_Send,PMPI_Recv,0.000576,0.000592
1,6,PMPI_Send,PMPI_Recv,0.000592,0.000608
6,1,PMPI_Send,PMPI_Recv,0.00061,0.000626
1,7,PMPI_Send,PMPI_Recv,0.000626,0.000641
7,1,PMPI_Send,PMPI_Recv,0.000643,0.000659
1,8,PMPI_Send,PMPI_Recv,0.000659,0.000675
8,1,PMPI_Send,PMPI_Recv,0.000676,0.000692
1,9,PMPI_Send,PMPI_Recv,0.000692,0.000708
9,1,PMPI_Send,PMPI_Recv,0.000709,0.000725
1,10,PMPI_Send,PMPI_Recv,0.000725,0.000741
10,1,PMPI_Send,PMPI_Recv,0.000742,0.000758
1,11,PMPI_Send,PMPI_Recv,0.000758,0.000774
11,1,PMPI_Send,PMPI_Recv,0.000776,0.000791
1,12,PMPI_Send,PMPI_Recv,0.000791,0.000807
12,1,PMPI_Send,PMPI_Recv,0.000809,0.000824
1,13,PMPI_Send,PMPI_Recv,0.000824,0.00084
13,1,PMPI_Send,PMPI_Recv,0.000842,0.000857
1,14,PMPI_Send,PMPI_Recv,0.000857,0.000873
14,1,PMPI_Send,PMPI_Recv,0.000875,0.00089
1,15,PMPI_Send,PMPI_Recv,0.00089,0.000906
15,1,PMPI_Send,PMPI_Recv,0.000908,0.000924
1,16,PMPI_Send,PMPI_Recv,0.000924,0.000939
16,1,PMPI_Send,PMPI_Recv,0.000941,0.000957
1,17,PMPI_Send,PMPI_Recv,0.000957,0.00098
17,1,PMPI_Send,PMPI_Recv,0.000982,0.001005
1,18,PMPI_Send,PMPI_Recv,0.001005,0.001029
18,1,PMPI_Send,PMPI_Recv,0.001031,0.001054
1,19,PMPI_Send,PMPI_Recv,0.001054,0.001078
19,1,PMPI_Send,PMPI_Recv,0.001079,0.001103
1,20,PMPI_Send,PMPI_Recv,0.001103,0.001126
20,1,PMPI_Send,PMPI_Recv,0.001128,0.001151
1,21,PMPI_Send,PMPI_Recv,0.001151,0.001175
21,1,PMPI_Send,PMPI_Recv,0.001177,0.0012
1,22,PMPI_Send,PMPI_Recv,0.0012,0.001224
22,1,PMPI_Send,PMPI_Recv,0.001225,0.001249
1,23,PMPI_Send,PMPI_Recv,0.001249,0.001272
23,1,PMPI_Send,PMPI_Recv,0.001274,0.001297
1,24,PMPI_Send,PMPI_Recv,0.001297,0.001321
24,1,PMPI_Send,PMPI_Recv,0.001322,0.001346
1,25,PMPI_Send,PMPI_Recv,0.001346,0.001369
25,1,PMPI_Send,PMPI_Recv,0.001371,0.001395
1,26,PMPI_Send,PMPI_Recv,0.001395,0.001418
26,1,PMPI_Send,PMPI_Recv,0.00142,0.001443
1,27,PMPI_Send,PMPI_Recv,0.001443,0.001467
27,1,PMPI_Send,PMPI_Recv,0.001468,0.001492
1,28,PMPI_Send,PMPI_Recv,0.001492,0.001515
28,1,PMPI_Send,PMPI_Recv,0.001517,0.00154
1,29,PMPI_Send,PMPI_Recv,0.00154,0.001564
29,1,PMPI_Send,PMPI_Recv,0.001565,0.001589
1,30,PMPI_Send,PMPI_Recv,0.001589,0.001612
30,1,PMPI_Send,PMPI_Recv,0.001614,0.001637
1,31,PMPI_Send,PMPI_Recv,0.001637,0.001661
31,1,PMPI_Send,PMPI_Recv,0.001662,0.001685
1,32,PMPI_Send,PMPI_Recv,0.001685,0.001709
32,1,PMPI_Send,PMPI_Recv,0.00171,0.001734
1,2,PMPI_Send,PMPI_Recv,0.001734,0.001742
2,1,PMPI_Send,PMPI_Recv,0.001742,0.00175
1,3,PMPI_Send,PMPI_Recv,0.00175,0.001758
3,1,PMPI_Send,PMPI_Recv,0.001758,0.001765
1,4,PMPI_Send,PMPI_Recv,0.001765,0.001773
4,1,PMPI_Send,PMPI_Recv,0.001773,0.001781
1,5,PMPI_Send,PMPI_Recv,0.001781,0.001797
5,1,PMPI_Send,PMPI_Recv,0.001797,0.001813
1,6,PMPI_Send,PMPI_Recv,0.001813,0.001828
6,1,PMPI_Send,PMPI_Recv,0.001828,0.001844
1,7,PMPI_Send,PMPI_Recv,0.001844,0.00186
7,1,PMPI_Send,PMPI_Recv,0.00186,0.001876
1,8,PMPI_Send,PMPI_Recv,0.001876,0.001891
8,1,PMPI_Send,PMPI_Recv,0.001891,0.001907
1,9,PMPI_Send,PMPI_Recv,0.001907,0.001923
9,1,PMPI_Send,PMPI_Recv,0.001923,0.001939
1,10,PMPI_Send,PMPI_Recv,0.001939,0.001954
10,1,PMPI_Send,PMPI_Recv,0.001954,0.00197
1,11,PMPI_Send,PMPI_Recv,0.00197,0.001986
11,1,PMPI_Send,PMPI_Recv,0.001986,0.002001
1,12,PMPI_Send,PMPI_Recv,0.002001,0.002017
12,1,PMPI_Send,PMPI_Recv,0.002017,0.002033
1,13,PMPI_Send,PMPI_Recv,0.002033,0.002049
13,1,PMPI_Send,PMPI_Recv,0.002049,0.002064
1,14,PMPI_Send,PMPI_Recv,0.002064,0.00208
14,1,PMPI_Send,PMPI_Recv,0.00208,0.002096
1,15,PMPI_Send,PMPI_Recv,0.002096,0.002111
15,1,PMPI_Send,PMPI_Recv,0.002111,0.002127
1,16,PMPI_Send,PMPI_Recv,0.002127,0.002143
16,1,PMPI_Send,PMPI_Recv,0.002143,0.002159
1,17,PMPI_Send,PMPI_Recv,0.002159,0.002182
17,1,PMPI_Send,PMPI_Recv,0.002182,0.002206
1,18,PMPI_Send,PMPI_Recv,0.002206,0.002229
18,1,PMPI_Send,PMPI_Recv,0.002229,0.002253
1,19,PMPI_Send,PMPI_Recv,0.002253,0.002276
19,1,PMPI_Send,PMPI_Recv,0.002276,0.0023
1,20,PMPI_Send,PMPI_Recv,0.0023,0.002323
20,1,PMPI_Send,PMPI_Recv,0.002323,0.002347
1,21,PMPI_Send,PMPI_Recv,0.002347,0.00237
21,1,PMPI_Send,PMPI_Recv,0.00237,0.002394
1,22,PMPI_Send,PMPI_Recv,0.002394,0.002417
22,1,PMPI_Send,PMPI_Recv,0.002417,0.002441
1,23,PMPI_Send,PMPI_Recv,0.002441,0.002465
23,1,PMPI_Send,PMPI_Recv,0.002465,0.002488
1,24,PMPI_Send,PMPI_Recv,0.002488,0.002512
24,1,PMPI_Send,PMPI_Recv,0.002512,0.002535
1,25,PMPI_Send,PMPI_Recv,0.002535,0.002559
25,1,PMPI_Send,PMPI_Recv,0.002559,0.002582
1,26,PMPI_Send,PMPI_Recv,0.002582,0.002606
26,1,PMPI_Send,PMPI_Recv,0.002606,0.002629
1,27,PMPI_Send,PMPI_Recv,0.002629,0.002653
27,1,PMPI_Send,PMPI_Recv,0.002653,0.002676
1,28,PMPI_Send,PMPI_Recv,0.002676,0.0027
28,1,PMPI_Send,PMPI_Recv,0.0027,0.002723
1,29,PMPI_Send,PMPI_Recv,0.002723,0.002747
29,1,PMPI_Send,PMPI_Recv,0.002747,0.00277
1,30,PMPI_Send,PMPI_Recv,0.00277,0.002794
30,1,PMPI_Send,PMPI_Recv,0.002794,0.002817
1,31,PMPI_Send,PMPI_Recv,0.002817,0.002841
31,1,PMPI_Send,PMPI_Recv,0.002841,0.002864
1,32,PMPI_Send,PMPI_Recv,0.002864,0.002888
32,1,PMPI_Send,PMPI_Recv,0.002888,0.002911
1,2,PMPI_Send,PMPI_Recv,0.002911,0.002919
2,1,PMPI_Send,PMPI_Recv,0.002919,0.002927
1,3,PMPI_Send,PMPI_Recv,0.002927,0.002935
3,1,PMPI_Send,PMPI_Recv,0.002935,0.002943
1,4,PMPI_Send,PMPI_Recv,0.002943,0.002951
4,1,PMPI_Send,PMPI_Recv,0.002951,0.002959
1,5,PMPI_Send,PMPI_Recv,0.002959,0.002975
5,1,PMPI_Send,PMPI_Recv,0.002975,0.00299
1,6,PMPI_Send,PMPI_Recv,0.00299,0.003006
6,1,PMPI_Send,PMPI_Recv,0.003006,0.003022
1,7,PMPI_Send,PMPI_Recv,0.003022,0.003038
7,1,PMPI_Send,PMPI_Recv,0.003038,0.003053
1,8,PMPI_Send,PMPI_Recv,0.003053,0.003069
8,1,PMPI_Send,PMPI_Recv,0.003069,0.003085
1,9,PMPI_Send,PMPI_Recv,0.003085,0.003101
9,1,PMPI_Send,PMPI_Recv,0.003101,0.003116
1,10,PMPI_Send,PMPI_Recv,0.003116,0.003132
10,1,PMPI_Send,PMPI_Recv,0.003132,0.003148
1,11,PMPI_Send,PMPI_Recv,0.003148,0.003163
11,1,PMPI_Send,PMPI_Recv,0.003163,0.003179
1,12,PMPI_Send,PMPI_Recv,0.003179,0.003195
12,1,PMPI_Send,PMPI_Recv,0.003195,0.003211
1,13,PMPI_Send,PMPI_Recv,0.003211,0.003226
