Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000491,0.000613
2,1,PMPI_Send,PMPI_Recv,0.000616,0.000737
1,3,PMPI_Send,PMPI_Recv,0.000739,0.000958
3,1,PMPI_Send,PMPI_Recv,0.000961,0.00118
1,4,PMPI_Send,PMPI_Recv,0.00118,0.001302
4,1,PMPI_Send,PMPI_Recv,0.001304,0.001426
1,5,PMPI_Send,PMPI_Recv,0.001426,0.001548
5,1,PMPI_Send,PMPI_Recv,0.00155,0.001672
1,6,PMPI_Send,PMPI_Recv,0.001672,0.001892
6,1,PMPI_Send,PMPI_Recv,0.001894,0.002113
1,7,PMPI_Send,PMPI_Recv,0.002113,0.00243
7,1,PMPI_Send,PMPI_Recv,0.002433,0.002749
1,8,PMPI_Send,PMPI_Recv,0.002749,0.002969
8,1,PMPI_Send,PMPI_Recv,0.002971,0.00319
1,9,PMPI_Send,PMPI_Recv,0.00319,0.00341
9,1,PMPI_Send,PMPI_Recv,0.003412,0.003631
1,10,PMPI_Send,PMPI_Recv,0.003631,0.003948
10,1,PMPI_Send,PMPI_Recv,0.00395,0.004267
1,11,PMPI_Send,PMPI_Recv,0.004267,0.004681
11,1,PMPI_Send,PMPI_Recv,0.004683,0.005098
1,12,PMPI_Send,PMPI_Recv,0.005099,0.005416
12,1,PMPI_Send,PMPI_Recv,0.005418,0.005735
1,13,PMPI_Send,PMPI_Recv,0.005735,0.005857
13,1,PMPI_Send,PMPI_Recv,0.005859,0.005981
1,14,PMPI_Send,PMPI_Recv,0.005981,0.0062
14,1,PMPI_Send,PMPI_Recv,0.006202,0.006422
1,15,PMPI_Send,PMPI_Recv,0.006422,0.006738
15,1,PMPI_Send,PMPI_Recv,0.00674,0.007057
1,16,PMPI_Send,PMPI_Recv,0.007057,0.007276
16,1,PMPI_Send,PMPI_Recv,0.007278,0.007497
1,17,PMPI_Send,PMPI_Recv,0.007497,0.007619
17,1,PMPI_Send,PMPI_Recv,0.007621,0.007743
1,18,PMPI_Send,PMPI_Recv,0.007743,0.007962
18,1,PMPI_Send,PMPI_Recv,0.007963,0.008183
1,19,PMPI_Send,PMPI_Recv,0.008183,0.0085
19,1,PMPI_Send,PMPI_Recv,0.008501,0.008818
1,20,PMPI_Send,PMPI_Recv,0.008818,0.009037
20,1,PMPI_Send,PMPI_Recv,0.009039,0.009258
1,21,PMPI_Send,PMPI_Recv,0.009258,0.009478
21,1,PMPI_Send,PMPI_Recv,0.009479,0.009699
1,22,PMPI_Send,PMPI_Recv,0.009699,0.010016
22,1,PMPI_Send,PMPI_Recv,0.010017,0.010334
1,23,PMPI_Send,PMPI_Recv,0.010334,0.010748
23,1,PMPI_Send,PMPI_Recv,0.01075,0.011164
1,24,PMPI_Send,PMPI_Recv,0.011164,0.011481
24,1,PMPI_Send,PMPI_Recv,0.011483,0.0118
