Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.000565,0.00092
3,1,PMPI_Reduce,PMPI_Reduce,0.000579,0.00092
4,1,PMPI_Reduce,PMPI_Reduce,0.000518,0.00092
12,1,PMPI_Reduce,PMPI_Reduce,0.000548,0.001352
9,1,PMPI_Reduce,PMPI_Reduce,0.000495,0.001352
10,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.001352
11,1,PMPI_Reduce,PMPI_Reduce,0.000379,0.001352
16,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.001378
5,1,PMPI_Reduce,PMPI_Reduce,0.00053,0.001378
6,1,PMPI_Reduce,PMPI_Reduce,0.000445,0.001378
7,1,PMPI_Reduce,PMPI_Reduce,0.000549,0.001378
8,1,PMPI_Reduce,PMPI_Reduce,0.000441,0.001378
13,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.001378
14,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.001378
15,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.001378
20,1,PMPI_Reduce,PMPI_Reduce,0.000512,0.00153
17,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.00153
18,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.00153
19,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.00153
28,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.001625
25,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.001625
26,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.001625
27,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.001625
24,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.001631
21,1,PMPI_Reduce,PMPI_Reduce,0.000391,0.001631
22,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.001631
23,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.001631
32,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.001656
29,1,PMPI_Reduce,PMPI_Reduce,0.000361,0.001656
30,1,PMPI_Reduce,PMPI_Reduce,0.000362,0.001656
31,1,PMPI_Reduce,PMPI_Reduce,0.000359,0.001656
2,1,PMPI_Reduce,PMPI_Reduce,0.000565,0.001929
3,1,PMPI_Reduce,PMPI_Reduce,0.00058,0.001929
4,1,PMPI_Reduce,PMPI_Reduce,0.000518,0.001929
12,1,PMPI_Reduce,PMPI_Reduce,0.000548,0.002361
9,1,PMPI_Reduce,PMPI_Reduce,0.000495,0.002361
10,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.002361
11,1,PMPI_Reduce,PMPI_Reduce,0.000379,0.002361
16,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.002387
5,1,PMPI_Reduce,PMPI_Reduce,0.00053,0.002387
6,1,PMPI_Reduce,PMPI_Reduce,0.000445,0.002387
7,1,PMPI_Reduce,PMPI_Reduce,0.000549,0.002387
8,1,PMPI_Reduce,PMPI_Reduce,0.000442,0.002387
13,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.002387
14,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.002387
15,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.002387
20,1,PMPI_Reduce,PMPI_Reduce,0.000512,0.002539
17,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.002539
18,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.002539
19,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.002539
28,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.002634
25,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.002634
26,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.002634
27,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.002634
24,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.00264
