Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.000309,0.000374
3,1,PMPI_Reduce,PMPI_Reduce,0.000292,0.000374
4,1,PMPI_Reduce,PMPI_Reduce,0.000299,0.000374
14,1,PMPI_Reduce,PMPI_Reduce,0.000356,0.000378
5,1,PMPI_Reduce,PMPI_Reduce,0.000316,0.000378
6,1,PMPI_Reduce,PMPI_Reduce,0.00031,0.000378
7,1,PMPI_Reduce,PMPI_Reduce,0.000336,0.000378
13,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.000378
15,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000378
11,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.00038
8,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.000398
10,1,PMPI_Reduce,PMPI_Reduce,0.000421,0.000432
9,1,PMPI_Reduce,PMPI_Reduce,0.000438,0.000449
12,1,PMPI_Reduce,PMPI_Reduce,0.000476,0.000488
16,1,PMPI_Reduce,PMPI_Reduce,0.000537,0.000549
2,1,PMPI_Reduce,PMPI_Reduce,0.00031,0.000559
3,1,PMPI_Reduce,PMPI_Reduce,0.000294,0.000559
4,1,PMPI_Reduce,PMPI_Reduce,0.0003,0.000559
5,1,PMPI_Reduce,PMPI_Reduce,0.000317,0.000564
6,1,PMPI_Reduce,PMPI_Reduce,0.00031,0.000564
7,1,PMPI_Reduce,PMPI_Reduce,0.000337,0.000564
8,1,PMPI_Reduce,PMPI_Reduce,0.000387,0.000564
9,1,PMPI_Reduce,PMPI_Reduce,0.000439,0.000564
10,1,PMPI_Reduce,PMPI_Reduce,0.000422,0.000564
11,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000564
12,1,PMPI_Reduce,PMPI_Reduce,0.000478,0.000564
13,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000564
14,1,PMPI_Reduce,PMPI_Reduce,0.000358,0.000564
15,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.000564
16,1,PMPI_Reduce,PMPI_Reduce,0.000539,0.000564
2,1,PMPI_Reduce,PMPI_Reduce,0.000311,0.000573
3,1,PMPI_Reduce,PMPI_Reduce,0.000294,0.000573
4,1,PMPI_Reduce,PMPI_Reduce,0.0003,0.000573
5,1,PMPI_Reduce,PMPI_Reduce,0.000317,0.000578
6,1,PMPI_Reduce,PMPI_Reduce,0.00031,0.000578
7,1,PMPI_Reduce,PMPI_Reduce,0.000337,0.000578
8,1,PMPI_Reduce,PMPI_Reduce,0.000387,0.000578
9,1,PMPI_Reduce,PMPI_Reduce,0.000439,0.000578
10,1,PMPI_Reduce,PMPI_Reduce,0.000423,0.000578
11,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000578
12,1,PMPI_Reduce,PMPI_Reduce,0.000478,0.000578
13,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000578
14,1,PMPI_Reduce,PMPI_Reduce,0.000358,0.000578
15,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.000578
16,1,PMPI_Reduce,PMPI_Reduce,0.000539,0.000578
2,1,PMPI_Reduce,PMPI_Reduce,0.000311,0.000587
3,1,PMPI_Reduce,PMPI_Reduce,0.000294,0.000587
4,1,PMPI_Reduce,PMPI_Reduce,0.0003,0.000587
5,1,PMPI_Reduce,PMPI_Reduce,0.000317,0.000592
6,1,PMPI_Reduce,PMPI_Reduce,0.00031,0.000592
7,1,PMPI_Reduce,PMPI_Reduce,0.000337,0.000592
8,1,PMPI_Reduce,PMPI_Reduce,0.000387,0.000592
9,1,PMPI_Reduce,PMPI_Reduce,0.000439,0.000592
10,1,PMPI_Reduce,PMPI_Reduce,0.000423,0.000592
11,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000592
12,1,PMPI_Reduce,PMPI_Reduce,0.000478,0.000592
13,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000592
14,1,PMPI_Reduce,PMPI_Reduce,0.000358,0.000592
15,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.000592
16,1,PMPI_Reduce,PMPI_Reduce,0.000539,0.000592
2,1,PMPI_Reduce,PMPI_Reduce,0.000311,0.000602
3,1,PMPI_Reduce,PMPI_Reduce,0.000294,0.000602
4,1,PMPI_Reduce,PMPI_Reduce,0.0003,0.000602
5,1,PMPI_Reduce,PMPI_Reduce,0.000317,0.000607
6,1,PMPI_Reduce,PMPI_Reduce,0.00031,0.000607
7,1,PMPI_Reduce,PMPI_Reduce,0.000337,0.000607
8,1,PMPI_Reduce,PMPI_Reduce,0.000387,0.000607
9,1,PMPI_Reduce,PMPI_Reduce,0.000439,0.000607
10,1,PMPI_Reduce,PMPI_Reduce,0.000423,0.000607
11,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000607
12,1,PMPI_Reduce,PMPI_Reduce,0.000478,0.000607
13,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000607
14,1,PMPI_Reduce,PMPI_Reduce,0.000358,0.000607
15,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.000607
16,1,PMPI_Reduce,PMPI_Reduce,0.000539,0.000607
2,1,PMPI_Reduce,PMPI_Reduce,0.000311,0.000616
3,1,PMPI_Reduce,PMPI_Reduce,0.000294,0.000616
4,1,PMPI_Reduce,PMPI_Reduce,0.0003,0.000616
5,1,PMPI_Reduce,PMPI_Reduce,0.000317,0.000621
6,1,PMPI_Reduce,PMPI_Reduce,0.00031,0.000621
7,1,PMPI_Reduce,PMPI_Reduce,0.000337,0.000621
8,1,PMPI_Reduce,PMPI_Reduce,0.000387,0.000621
9,1,PMPI_Reduce,PMPI_Reduce,0.000439,0.000621
10,1,PMPI_Reduce,PMPI_Reduce,0.000423,0.000621
11,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000621
12,1,PMPI_Reduce,PMPI_Reduce,0.000478,0.000621
13,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000621
14,1,PMPI_Reduce,PMPI_Reduce,0.000358,0.000621
15,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.000621
16,1,PMPI_Reduce,PMPI_Reduce,0.000539,0.000621
2,1,PMPI_Reduce,PMPI_Reduce,0.000311,0.00063
3,1,PMPI_Reduce,PMPI_Reduce,0.000294,0.00063
4,1,PMPI_Reduce,PMPI_Reduce,0.0003,0.00063
5,1,PMPI_Reduce,PMPI_Reduce,0.000317,0.000636
6,1,PMPI_Reduce,PMPI_Reduce,0.00031,0.000636
