Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.000647,0.002688
3,1,PMPI_Reduce,PMPI_Reduce,0.000585,0.002688
4,1,PMPI_Reduce,PMPI_Reduce,0.000616,0.002688
5,1,PMPI_Reduce,PMPI_Reduce,0.000601,0.002688
6,1,PMPI_Reduce,PMPI_Reduce,0.000511,0.002688
7,1,PMPI_Reduce,PMPI_Reduce,0.000622,0.002688
8,1,PMPI_Reduce,PMPI_Reduce,0.000449,0.002688
9,1,PMPI_Reduce,PMPI_Reduce,0.000444,0.002688
10,1,PMPI_Reduce,PMPI_Reduce,0.00043,0.002688
11,1,PMPI_Reduce,PMPI_Reduce,0.000682,0.002688
12,1,PMPI_Reduce,PMPI_Reduce,0.00039,0.002688
13,1,PMPI_Reduce,PMPI_Reduce,0.000409,0.002688
14,1,PMPI_Reduce,PMPI_Reduce,0.000374,0.002688
15,1,PMPI_Reduce,PMPI_Reduce,0.000376,0.002688
16,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.002688
17,1,PMPI_Reduce,PMPI_Reduce,0.000383,0.002688
18,1,PMPI_Reduce,PMPI_Reduce,0.000387,0.002688
19,1,PMPI_Reduce,PMPI_Reduce,0.000589,0.002688
20,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.002688
21,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.002688
22,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.002688
23,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.002688
24,1,PMPI_Reduce,PMPI_Reduce,0.000374,0.002688
25,1,PMPI_Reduce,PMPI_Reduce,0.000391,0.002688
26,1,PMPI_Reduce,PMPI_Reduce,0.000376,0.002688
27,1,PMPI_Reduce,PMPI_Reduce,0.000518,0.002688
28,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.002688
29,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.002688
30,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.002688
31,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.002688
32,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.002688
2,1,PMPI_Reduce,PMPI_Reduce,0.000647,0.004651
3,1,PMPI_Reduce,PMPI_Reduce,0.000585,0.004651
4,1,PMPI_Reduce,PMPI_Reduce,0.000616,0.004651
5,1,PMPI_Reduce,PMPI_Reduce,0.000601,0.004651
6,1,PMPI_Reduce,PMPI_Reduce,0.000511,0.004651
7,1,PMPI_Reduce,PMPI_Reduce,0.000622,0.004651
8,1,PMPI_Reduce,PMPI_Reduce,0.000449,0.004651
9,1,PMPI_Reduce,PMPI_Reduce,0.000444,0.004651
10,1,PMPI_Reduce,PMPI_Reduce,0.00043,0.004651
11,1,PMPI_Reduce,PMPI_Reduce,0.000683,0.004651
12,1,PMPI_Reduce,PMPI_Reduce,0.00039,0.004651
13,1,PMPI_Reduce,PMPI_Reduce,0.000411,0.004651
14,1,PMPI_Reduce,PMPI_Reduce,0.000376,0.004651
15,1,PMPI_Reduce,PMPI_Reduce,0.000376,0.004651
16,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.004651
17,1,PMPI_Reduce,PMPI_Reduce,0.000383,0.004651
18,1,PMPI_Reduce,PMPI_Reduce,0.000387,0.004651
19,1,PMPI_Reduce,PMPI_Reduce,0.000589,0.004651
20,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.004651
21,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.004651
22,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.004651
23,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.004651
24,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.004651
25,1,PMPI_Reduce,PMPI_Reduce,0.000391,0.004651
26,1,PMPI_Reduce,PMPI_Reduce,0.000376,0.004651
27,1,PMPI_Reduce,PMPI_Reduce,0.000518,0.004651
28,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.004651
29,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.004651
30,1,PMPI_Reduce,PMPI_Reduce,0.000374,0.004651
31,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.004651
32,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.004651
2,1,PMPI_Reduce,PMPI_Reduce,0.000647,0.006613
3,1,PMPI_Reduce,PMPI_Reduce,0.000585,0.006613
4,1,PMPI_Reduce,PMPI_Reduce,0.000616,0.006613
