Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.000422
3,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.000422
4,1,PMPI_Reduce,PMPI_Reduce,0.000361,0.000422
5,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000422
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.000422
7,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.000422
8,1,PMPI_Reduce,PMPI_Reduce,0.000359,0.000422
9,1,PMPI_Reduce,PMPI_Reduce,0.000351,0.000422
10,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.000422
11,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.000422
12,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.000422
13,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000422
14,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000422
15,1,PMPI_Reduce,PMPI_Reduce,0.000398,0.000422
18,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.000422
19,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.000422
21,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.000422
22,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.000422
23,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.000422
25,1,PMPI_Reduce,PMPI_Reduce,0.000362,0.000422
26,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.000422
27,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.000422
28,1,PMPI_Reduce,PMPI_Reduce,0.000361,0.000422
29,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.000422
30,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.000422
31,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.000422
20,1,PMPI_Reduce,PMPI_Reduce,0.000417,0.000434
17,1,PMPI_Reduce,PMPI_Reduce,0.000426,0.000444
16,1,PMPI_Reduce,PMPI_Reduce,0.000428,0.000446
32,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.000487
24,1,PMPI_Reduce,PMPI_Reduce,0.000485,0.000503
2,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.000524
3,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.000524
4,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.000524
5,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.000524
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.000524
7,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000524
8,1,PMPI_Reduce,PMPI_Reduce,0.000361,0.000524
9,1,PMPI_Reduce,PMPI_Reduce,0.000353,0.000524
10,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.000524
11,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.000524
12,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.000524
13,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.000524
14,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000524
15,1,PMPI_Reduce,PMPI_Reduce,0.0004,0.000524
16,1,PMPI_Reduce,PMPI_Reduce,0.000428,0.000524
17,1,PMPI_Reduce,PMPI_Reduce,0.000426,0.000524
18,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.000524
19,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.000524
20,1,PMPI_Reduce,PMPI_Reduce,0.000418,0.000524
21,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000524
22,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.000524
23,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.000524
24,1,PMPI_Reduce,PMPI_Reduce,0.000485,0.000524
25,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.000524
26,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.000524
27,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.000524
28,1,PMPI_Reduce,PMPI_Reduce,0.000361,0.000524
29,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000524
30,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.000524
31,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.000524
32,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.000524
2,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.000546
3,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.000546
4,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.000546
5,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.000546
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.000546
7,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000546
8,1,PMPI_Reduce,PMPI_Reduce,0.000362,0.000546
9,1,PMPI_Reduce,PMPI_Reduce,0.000354,0.000546
10,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.000546
11,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.000546
12,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.000546
13,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.000546
14,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000546
