Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
7,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.000764
2,1,PMPI_Reduce,PMPI_Reduce,0.000425,0.000764
3,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.000764
5,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.000764
6,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.000764
4,1,PMPI_Reduce,PMPI_Reduce,0.000482,0.000774
8,1,PMPI_Reduce,PMPI_Reduce,0.000603,0.000822
29,1,PMPI_Reduce,PMPI_Reduce,0.000395,0.001734
9,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.001734
10,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.001734
11,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.001734
12,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.001734
13,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.001734
14,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.001734
15,1,PMPI_Reduce,PMPI_Reduce,0.000383,0.001734
17,1,PMPI_Reduce,PMPI_Reduce,0.00036,0.001734
18,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.001734
19,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.001734
20,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.001734
21,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.001734
22,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.001734
23,1,PMPI_Reduce,PMPI_Reduce,0.000374,0.001734
25,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.001734
26,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.001734
27,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.001734
28,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.001734
30,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.001734
32,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.001734
24,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.001776
31,1,PMPI_Reduce,PMPI_Reduce,0.000487,0.001795
16,1,PMPI_Reduce,PMPI_Reduce,0.000524,0.001831
64,1,PMPI_Reduce,PMPI_Reduce,0.000352,0.002183
33,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.002183
34,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.002183
35,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.002183
36,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.002183
37,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.002183
38,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.002183
40,1,PMPI_Reduce,PMPI_Reduce,0.000362,0.002183
41,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.002183
42,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.002183
43,1,PMPI_Reduce,PMPI_Reduce,0.000376,0.002183
44,1,PMPI_Reduce,PMPI_Reduce,0.000379,0.002183
45,1,PMPI_Reduce,PMPI_Reduce,0.000383,0.002183
46,1,PMPI_Reduce,PMPI_Reduce,0.000379,0.002183
48,1,PMPI_Reduce,PMPI_Reduce,0.000357,0.002183
49,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.002183
50,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.002183
51,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.002183
52,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.002183
53,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.002183
54,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.002183
56,1,PMPI_Reduce,PMPI_Reduce,0.00036,0.002183
57,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.002183
58,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.002183
59,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.002183
60,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.002183
61,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.002183
62,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.002183
63,1,PMPI_Reduce,PMPI_Reduce,0.000466,0.002185
55,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.002185
39,1,PMPI_Reduce,PMPI_Reduce,0.000475,0.002185
47,1,PMPI_Reduce,PMPI_Reduce,0.00048,0.002185
2,1,PMPI_Reduce,PMPI_Reduce,0.000426,0.002552
3,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.002552
4,1,PMPI_Reduce,PMPI_Reduce,0.000482,0.002552
5,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.002552
6,1,PMPI_Reduce,PMPI_Reduce,0.000382,0.002552
7,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.002552
8,1,PMPI_Reduce,PMPI_Reduce,0.000603,0.002552
32,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.003506
9,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.003506
10,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.003506
11,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.003506
12,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.003506
13,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.003506
14,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.003506
15,1,PMPI_Reduce,PMPI_Reduce,0.000383,0.003506
16,1,PMPI_Reduce,PMPI_Reduce,0.000525,0.003506
17,1,PMPI_Reduce,PMPI_Reduce,0.000362,0.003506
18,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.003506
19,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.003506
20,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.003506
21,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.003506
22,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.003506
23,1,PMPI_Reduce,PMPI_Reduce,0.000374,0.003506
24,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.003506
25,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.003506
26,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.003506
27,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.003506
28,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.003506
29,1,PMPI_Reduce,PMPI_Reduce,0.000395,0.003506
30,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.003506
31,1,PMPI_Reduce,PMPI_Reduce,0.000487,0.003506
64,1,PMPI_Reduce,PMPI_Reduce,0.000354,0.003939
33,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.003939
34,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.003939
35,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.003939
36,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.003939
37,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.003939
