Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
3,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.000415
4,1,PMPI_Reduce,PMPI_Reduce,0.000407,0.000415
5,1,PMPI_Reduce,PMPI_Reduce,0.000391,0.000423
6,1,PMPI_Reduce,PMPI_Reduce,0.000391,0.000423
8,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.000423
10,1,PMPI_Reduce,PMPI_Reduce,0.000402,0.000423
11,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000423
12,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.000423
14,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.000423
15,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.000423
16,1,PMPI_Reduce,PMPI_Reduce,0.000376,0.000423
7,1,PMPI_Reduce,PMPI_Reduce,0.00043,0.000446
2,1,PMPI_Reduce,PMPI_Reduce,0.00045,0.000458
9,1,PMPI_Reduce,PMPI_Reduce,0.000502,0.000518
13,1,PMPI_Reduce,PMPI_Reduce,0.000579,0.000595
2,1,PMPI_Reduce,PMPI_Reduce,0.00045,0.000603
3,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.000603
4,1,PMPI_Reduce,PMPI_Reduce,0.000409,0.000603
5,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.000612
6,1,PMPI_Reduce,PMPI_Reduce,0.000392,0.000612
7,1,PMPI_Reduce,PMPI_Reduce,0.00043,0.000612
8,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000612
9,1,PMPI_Reduce,PMPI_Reduce,0.000502,0.000612
10,1,PMPI_Reduce,PMPI_Reduce,0.000403,0.000612
11,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000612
12,1,PMPI_Reduce,PMPI_Reduce,0.000395,0.000612
13,1,PMPI_Reduce,PMPI_Reduce,0.000579,0.000612
14,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.000612
15,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000612
16,1,PMPI_Reduce,PMPI_Reduce,0.000377,0.000612
2,1,PMPI_Reduce,PMPI_Reduce,0.00045,0.00062
3,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.00062
4,1,PMPI_Reduce,PMPI_Reduce,0.000409,0.00062
5,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.000629
6,1,PMPI_Reduce,PMPI_Reduce,0.000392,0.000629
7,1,PMPI_Reduce,PMPI_Reduce,0.00043,0.000629
8,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000629
9,1,PMPI_Reduce,PMPI_Reduce,0.000502,0.000629
10,1,PMPI_Reduce,PMPI_Reduce,0.000403,0.000629
11,1,PMPI_Reduce,PMPI_Reduce,0.000398,0.000629
12,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000629
