Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.000523
4,1,PMPI_Reduce,PMPI_Reduce,0.000399,0.000523
9,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.000523
5,1,PMPI_Reduce,PMPI_Reduce,0.000442,0.000564
3,1,PMPI_Reduce,PMPI_Reduce,0.000403,0.000622
8,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.000643
6,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.000645
10,1,PMPI_Reduce,PMPI_Reduce,0.000382,0.00067
12,1,PMPI_Reduce,PMPI_Reduce,0.000377,0.00067
13,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.00067
14,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.000743
16,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.000743
7,1,PMPI_Reduce,PMPI_Reduce,0.000481,0.000798
15,1,PMPI_Reduce,PMPI_Reduce,0.000379,0.000816
11,1,PMPI_Reduce,PMPI_Reduce,0.000595,0.000911
2,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.001035
4,1,PMPI_Reduce,PMPI_Reduce,0.000401,0.001035
5,1,PMPI_Reduce,PMPI_Reduce,0.000444,0.001035
9,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.001035
3,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.001132
6,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.001157
8,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.001157
12,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.001181
10,1,PMPI_Reduce,PMPI_Reduce,0.000383,0.001181
13,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.001181
7,1,PMPI_Reduce,PMPI_Reduce,0.000483,0.00123
14,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.001279
11,1,PMPI_Reduce,PMPI_Reduce,0.000596,0.001279
16,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.001279
15,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.001327
2,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.00145
4,1,PMPI_Reduce,PMPI_Reduce,0.000401,0.00145
5,1,PMPI_Reduce,PMPI_Reduce,0.000444,0.00145
9,1,PMPI_Reduce,PMPI_Reduce,0.000373,0.00145
3,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.001548
6,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.001572
8,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.001572
12,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.001597
10,1,PMPI_Reduce,PMPI_Reduce,0.000383,0.001597
13,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.001597
7,1,PMPI_Reduce,PMPI_Reduce,0.000483,0.001645
14,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.001694
11,1,PMPI_Reduce,PMPI_Reduce,0.000596,0.001694
16,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.001694
15,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.001743
2,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.001866
4,1,PMPI_Reduce,PMPI_Reduce,0.000401,0.001866
5,1,PMPI_Reduce,PMPI_Reduce,0.000444,0.001866
9,1,PMPI_Reduce,PMPI_Reduce,0.000374,0.001866
3,1,PMPI_Reduce,PMPI_Reduce,0.000406,0.001963
6,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.001988
8,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.001988
12,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.002012
10,1,PMPI_Reduce,PMPI_Reduce,0.000383,0.002012
13,1,PMPI_Reduce,PMPI_Reduce,0.000369,0.002012
7,1,PMPI_Reduce,PMPI_Reduce,0.000483,0.002061
14,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.00211
11,1,PMPI_Reduce,PMPI_Reduce,0.000596,0.00211
16,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.00211
15,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.002158
2,1,PMPI_Reduce,PMPI_Reduce,0.000376,0.002281
4,1,PMPI_Reduce,PMPI_Reduce,0.000401,0.002281
5,1,PMPI_Reduce,PMPI_Reduce,0.000444,0.002281
9,1,PMPI_Reduce,PMPI_Reduce,0.000374,0.002281
3,1,PMPI_Reduce,PMPI_Reduce,0.000406,0.002379
6,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.002403
8,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.002403
12,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.002427
