Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.00041,0.000426
5,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.000426
3,1,PMPI_Reduce,PMPI_Reduce,0.000391,0.000428
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000428
7,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.00043
16,1,PMPI_Reduce,PMPI_Reduce,0.00042,0.00043
15,1,PMPI_Reduce,PMPI_Reduce,0.000433,0.000441
14,1,PMPI_Reduce,PMPI_Reduce,0.00044,0.000446
9,1,PMPI_Reduce,PMPI_Reduce,0.000446,0.000448
4,1,PMPI_Reduce,PMPI_Reduce,0.000451,0.000453
12,1,PMPI_Reduce,PMPI_Reduce,0.000455,0.000459
6,1,PMPI_Reduce,PMPI_Reduce,0.000467,0.000471
11,1,PMPI_Reduce,PMPI_Reduce,0.000477,0.000483
13,1,PMPI_Reduce,PMPI_Reduce,0.000519,0.000523
10,1,PMPI_Reduce,PMPI_Reduce,0.00065,0.000654
2,1,PMPI_Reduce,PMPI_Reduce,0.000411,0.000657
4,1,PMPI_Reduce,PMPI_Reduce,0.000453,0.000657
5,1,PMPI_Reduce,PMPI_Reduce,0.00037,0.000657
9,1,PMPI_Reduce,PMPI_Reduce,0.000447,0.000657
3,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.000659
6,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.000659
8,1,PMPI_Reduce,PMPI_Reduce,0.000406,0.000659
12,1,PMPI_Reduce,PMPI_Reduce,0.000456,0.000659
10,1,PMPI_Reduce,PMPI_Reduce,0.000651,0.000659
13,1,PMPI_Reduce,PMPI_Reduce,0.000521,0.000659
7,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000661
14,1,PMPI_Reduce,PMPI_Reduce,0.000442,0.000661
11,1,PMPI_Reduce,PMPI_Reduce,0.000478,0.000661
16,1,PMPI_Reduce,PMPI_Reduce,0.000421,0.000661
15,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000663
2,1,PMPI_Reduce,PMPI_Reduce,0.000411,0.000666
4,1,PMPI_Reduce,PMPI_Reduce,0.000453,0.000666
5,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.000666
9,1,PMPI_Reduce,PMPI_Reduce,0.000447,0.000666
3,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.000668
6,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.000668
8,1,PMPI_Reduce,PMPI_Reduce,0.000406,0.000668
12,1,PMPI_Reduce,PMPI_Reduce,0.000456,0.000668
10,1,PMPI_Reduce,PMPI_Reduce,0.000651,0.000668
13,1,PMPI_Reduce,PMPI_Reduce,0.000521,0.000668
7,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.00067
14,1,PMPI_Reduce,PMPI_Reduce,0.000443,0.00067
11,1,PMPI_Reduce,PMPI_Reduce,0.000478,0.00067
16,1,PMPI_Reduce,PMPI_Reduce,0.000421,0.00067
15,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000672
2,1,PMPI_Reduce,PMPI_Reduce,0.000411,0.000675
4,1,PMPI_Reduce,PMPI_Reduce,0.000453,0.000675
5,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.000675
9,1,PMPI_Reduce,PMPI_Reduce,0.000447,0.000675
3,1,PMPI_Reduce,PMPI_Reduce,0.000395,0.000677
6,1,PMPI_Reduce,PMPI_Reduce,0.000469,0.000677
8,1,PMPI_Reduce,PMPI_Reduce,0.000406,0.000677
12,1,PMPI_Reduce,PMPI_Reduce,0.000456,0.000677
10,1,PMPI_Reduce,PMPI_Reduce,0.000651,0.000677
13,1,PMPI_Reduce,PMPI_Reduce,0.000521,0.000677
7,1,PMPI_Reduce,PMPI_Reduce,0.000388,0.000679
14,1,PMPI_Reduce,PMPI_Reduce,0.000443,0.000679
11,1,PMPI_Reduce,PMPI_Reduce,0.000478,0.000679
16,1,PMPI_Reduce,PMPI_Reduce,0.000421,0.000679
15,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000681
2,1,PMPI_Reduce,PMPI_Reduce,0.000411,0.000683
4,1,PMPI_Reduce,PMPI_Reduce,0.000453,0.000683
