Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
15,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000826
13,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000826
16,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000827
15,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000827
16,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000827
13,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000827
9,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000837
12,9,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000837
11,9,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000837
9,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000837
11,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000837
12,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000837
14,15,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.000838
14,16,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.000838
14,13,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.000838
13,14,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000838
15,14,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000838
16,14,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000838
10,11,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.000842
10,12,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.000842
10,9,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.000842
9,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000842
11,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000842
12,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000842
4,3,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.001621
3,4,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.001621
2,4,PMPI_Alltoall,PMPI_Alltoall,2.4e-05,0.001772
4,2,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.001772
2,3,PMPI_Alltoall,PMPI_Alltoall,2.4e-05,0.001772
3,2,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.001772
7,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.001836
5,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.001836
6,7,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.001912
7,6,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.001912
6,5,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.001912
5,6,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.001912
8,6,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.001921
6,8,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.001921
8,5,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.001921
8,7,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.001921
5,8,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.001921
7,8,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.001921
1,2,PMPI_Alltoall,PMPI_Alltoall,4.5e-05,0.002061
1,3,PMPI_Alltoall,PMPI_Alltoall,4.5e-05,0.002061
1,4,PMPI_Alltoall,PMPI_Alltoall,4.5e-05,0.002061
4,1,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.002061
2,1,PMPI_Alltoall,PMPI_Alltoall,2.4e-05,0.002061
3,1,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.002061
3,9,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.00343
3,11,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.00343
3,12,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.00343
12,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00343
9,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00343
11,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00343
10,3,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.003432
3,10,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.003432
5,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003437
13,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003437
7,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003438
13,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003438
15,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00344
7,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00344
15,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00344
5,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00344
16,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00344
16,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00344
7,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00344
5,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.00344
4,9,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.003441
4,10,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.003441
4,11,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.003441
4,12,PMPI_Alltoall,PMPI_Alltoall,2.1e-05,0.003441
12,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003441
9,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003441
10,4,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,0.003441
11,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003441
6,13,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.003443
6,15,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.003443
6,16,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.003443
16,6,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003443
13,6,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003443
15,6,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.003443
8,13,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.003444
8,15,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.003444
