Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
15,16,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.00194
16,15,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.00194
13,15,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001946
15,13,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.001946
13,16,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001946
16,13,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001946
7,13,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
13,7,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
7,15,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
7,16,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
15,7,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.001947
16,7,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001947
9,7,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
7,9,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
9,13,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
9,15,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
9,16,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
13,9,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001947
15,9,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.001947
16,9,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001947
5,9,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
9,5,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
5,7,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
5,13,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
5,15,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
5,16,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
7,5,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
13,5,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
15,5,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.001948
16,5,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001948
12,5,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
5,12,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
12,13,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
12,15,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
12,16,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
12,7,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
12,9,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
13,12,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
15,12,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.001948
16,12,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001948
7,12,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
9,12,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
11,12,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
12,11,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
11,13,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
11,15,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
11,16,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
11,5,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
11,7,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
11,9,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
13,11,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
15,11,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.001948
16,11,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.001948
5,11,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
7,11,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
9,11,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
4,11,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
11,4,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
4,5,PMPI_Alltoall,PMPI_Alltoall,1.5e-05,0.001948
