Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
4,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
12,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
5,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
4,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
5,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
12,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
11,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
5,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
11,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
11,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
12,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
4,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
13,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
11,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
13,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
13,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
13,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
4,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
5,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
12,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.5e-05
7,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
13,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
7,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
7,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
7,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
7,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
11,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
12,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
4,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
5,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
15,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
7,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
15,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
15,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
15,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
15,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
15,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
4,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
5,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
11,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
12,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
13,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
16,15,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
15,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
16,4,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
16,5,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
16,7,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
16,11,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
16,12,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
16,13,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
4,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
5,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
7,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
11,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
12,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
13,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.6e-05
3,4,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.7e-05
3,5,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.7e-05
3,7,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.7e-05
3,11,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.7e-05
3,12,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.7e-05
3,13,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.7e-05
3,15,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.7e-05
3,16,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.7e-05
16,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.7e-05
4,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.7e-05
5,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.7e-05
7,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.7e-05
11,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.7e-05
12,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.7e-05
13,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.7e-05
15,3,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.7e-05
10,15,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
15,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.8e-05
10,11,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
10,12,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
10,13,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
10,16,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
10,3,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
10,4,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
10,5,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
10,7,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
11,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.8e-05
12,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.8e-05
13,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.8e-05
16,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.8e-05
3,10,PMPI_Alltoall,PMPI_Alltoall,1.7e-05,3.8e-05
4,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.8e-05
5,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.8e-05
7,10,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,3.8e-05
6,10,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
10,6,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,3.8e-05
