Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
3,4,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000267
4,3,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000267
5,7,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000281
7,5,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000281
13,15,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000282
15,13,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000282
16,13,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000283
13,16,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000283
16,15,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000283
15,16,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000283
2,3,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.000284
3,2,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000284
2,4,PMPI_Alltoall,PMPI_Alltoall,1.8e-05,0.000284
4,2,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
12,11,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000284
11,12,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
9,12,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000284
12,9,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000284
9,11,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000284
11,9,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000284
6,5,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000285
5,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
6,7,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000285
7,6,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000285
8,6,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
6,8,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000286
8,5,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
8,7,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
5,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000286
7,8,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000286
10,9,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
9,10,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000286
10,11,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
10,12,PMPI_Alltoall,PMPI_Alltoall,1.4e-05,0.000286
11,10,PMPI_Alltoall,PMPI_Alltoall,1.2e-05,0.000286
12,10,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000286
14,16,PMPI_Alltoall,PMPI_Alltoall,1.6e-05,0.000288
16,14,PMPI_Alltoall,PMPI_Alltoall,1.3e-05,0.000288
