Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
15,13,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.4e-05
13,15,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,3.4e-05
16,15,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.4e-05
15,16,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.4e-05
16,13,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.4e-05
13,16,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,3.4e-05
5,7,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.4e-05
7,5,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.4e-05
11,12,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.4e-05
12,11,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,3.4e-05
3,4,PMPI_Alltoall,PMPI_Alltoall,2.7e-05,3.4e-05
4,3,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.4e-05
10,11,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,3.7e-05
11,10,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.7e-05
10,12,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,3.7e-05
12,10,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,3.7e-05
6,5,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,3.7e-05
5,6,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.7e-05
6,7,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,3.7e-05
7,6,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.7e-05
8,6,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,3.7e-05
6,8,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,3.7e-05
8,5,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,3.7e-05
8,7,PMPI_Alltoall,PMPI_Alltoall,2.9e-05,3.7e-05
5,8,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.7e-05
7,8,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.7e-05
14,15,PMPI_Alltoall,PMPI_Alltoall,3.1e-05,3.9e-05
15,14,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.9e-05
14,16,PMPI_Alltoall,PMPI_Alltoall,3.1e-05,3.9e-05
14,13,PMPI_Alltoall,PMPI_Alltoall,3.1e-05,3.9e-05
16,14,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,3.9e-05
13,14,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,3.9e-05
12,13,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,4.1e-05
13,12,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,4.1e-05
15,12,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,4.1e-05
12,15,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,4.1e-05
16,12,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,4.1e-05
12,16,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,4.1e-05
7,13,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,4.2e-05
13,7,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,4.2e-05
7,15,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,4.2e-05
15,7,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,4.2e-05
7,12,PMPI_Alltoall,PMPI_Alltoall,2.6e-05,4.2e-05
12,7,PMPI_Alltoall,PMPI_Alltoall,2.5e-05,4.2e-05
