Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000503,0.000749
1,3,PMPI_Bcast,PMPI_Bcast,0.000503,0.000749
1,17,PMPI_Bcast,PMPI_Bcast,0.000503,0.00087
1,5,PMPI_Bcast,PMPI_Bcast,0.000503,0.000873
1,9,PMPI_Bcast,PMPI_Bcast,0.000503,0.000873
1,33,PMPI_Bcast,PMPI_Bcast,0.000503,0.000919
3,4,PMPI_Bcast,PMPI_Bcast,0.000749,0.001018
1,3,PMPI_Bcast,PMPI_Bcast,0.000505,0.001021
1,2,PMPI_Bcast,PMPI_Bcast,0.000505,0.001021
17,18,PMPI_Bcast,PMPI_Bcast,0.00087,0.001116
17,19,PMPI_Bcast,PMPI_Bcast,0.00087,0.001116
5,6,PMPI_Bcast,PMPI_Bcast,0.000873,0.001119
5,7,PMPI_Bcast,PMPI_Bcast,0.000873,0.001119
9,10,PMPI_Bcast,PMPI_Bcast,0.000873,0.001119
9,11,PMPI_Bcast,PMPI_Bcast,0.000873,0.001119
33,34,PMPI_Bcast,PMPI_Bcast,0.000919,0.001165
33,35,PMPI_Bcast,PMPI_Bcast,0.000919,0.001165
9,13,PMPI_Bcast,PMPI_Bcast,0.000873,0.001203
1,17,PMPI_Bcast,PMPI_Bcast,0.000505,0.001256
1,9,PMPI_Bcast,PMPI_Bcast,0.000505,0.00128
1,5,PMPI_Bcast,PMPI_Bcast,0.000505,0.00128
33,49,PMPI_Bcast,PMPI_Bcast,0.000919,0.001285
33,37,PMPI_Bcast,PMPI_Bcast,0.000919,0.001288
33,41,PMPI_Bcast,PMPI_Bcast,0.000919,0.001288
1,3,PMPI_Bcast,PMPI_Bcast,0.000506,0.001319
3,4,PMPI_Bcast,PMPI_Bcast,0.001021,0.001319
1,2,PMPI_Bcast,PMPI_Bcast,0.000506,0.001319
11,12,PMPI_Bcast,PMPI_Bcast,0.001119,0.001347
19,20,PMPI_Bcast,PMPI_Bcast,0.001116,0.001361
7,8,PMPI_Bcast,PMPI_Bcast,0.001119,0.001365
17,25,PMPI_Bcast,PMPI_Bcast,0.00087,0.001369
17,21,PMPI_Bcast,PMPI_Bcast,0.00087,0.001372
1,33,PMPI_Bcast,PMPI_Bcast,0.000505,0.001398
35,36,PMPI_Bcast,PMPI_Bcast,0.001165,0.001399
13,14,PMPI_Bcast,PMPI_Bcast,0.001203,0.001449
13,15,PMPI_Bcast,PMPI_Bcast,0.001203,0.001449
17,18,PMPI_Bcast,PMPI_Bcast,0.001256,0.001503
17,19,PMPI_Bcast,PMPI_Bcast,0.001256,0.001503
9,10,PMPI_Bcast,PMPI_Bcast,0.00128,0.001526
9,11,PMPI_Bcast,PMPI_Bcast,0.00128,0.001526
5,6,PMPI_Bcast,PMPI_Bcast,0.00128,0.001527
5,7,PMPI_Bcast,PMPI_Bcast,0.00128,0.001527
49,50,PMPI_Bcast,PMPI_Bcast,0.001285,0.001531
49,51,PMPI_Bcast,PMPI_Bcast,0.001285,0.001531
37,38,PMPI_Bcast,PMPI_Bcast,0.001288,0.001534
37,39,PMPI_Bcast,PMPI_Bcast,0.001288,0.001534
41,42,PMPI_Bcast,PMPI_Bcast,0.001288,0.001534
41,43,PMPI_Bcast,PMPI_Bcast,0.001288,0.001534
9,13,PMPI_Bcast,PMPI_Bcast,0.00128,0.001602
41,45,PMPI_Bcast,PMPI_Bcast,0.001288,0.001606
1,3,PMPI_Bcast,PMPI_Bcast,0.000506,0.001612
3,4,PMPI_Bcast,PMPI_Bcast,0.001319,0.001612
1,2,PMPI_Bcast,PMPI_Bcast,0.000506,0.001612
25,26,PMPI_Bcast,PMPI_Bcast,0.001369,0.001616
25,27,PMPI_Bcast,PMPI_Bcast,0.001369,0.001616
21,22,PMPI_Bcast,PMPI_Bcast,0.001372,0.001618
21,23,PMPI_Bcast,PMPI_Bcast,0.001372,0.001618
33,34,PMPI_Bcast,PMPI_Bcast,0.001398,0.001644
33,35,PMPI_Bcast,PMPI_Bcast,0.001398,0.001644
1,17,PMPI_Bcast,PMPI_Bcast,0.000506,0.001656
1,9,PMPI_Bcast,PMPI_Bcast,0.000506,0.001667
1,5,PMPI_Bcast,PMPI_Bcast,0.000506,0.001668
15,16,PMPI_Bcast,PMPI_Bcast,0.001449,0.001669
19,20,PMPI_Bcast,PMPI_Bcast,0.001503,0.001723
11,12,PMPI_Bcast,PMPI_Bcast,0.001526,0.001746
7,8,PMPI_Bcast,PMPI_Bcast,0.001527,0.001747
33,37,PMPI_Bcast,PMPI_Bcast,0.001398,0.001768
