Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,3,PMPI_Bcast,PMPI_Bcast,0.000626,0.001887
1,5,PMPI_Bcast,PMPI_Bcast,0.000626,0.001887
1,9,PMPI_Bcast,PMPI_Bcast,0.000626,0.001887
1,2,PMPI_Bcast,PMPI_Bcast,0.000626,0.001898
3,4,PMPI_Bcast,PMPI_Bcast,0.001887,0.003093
5,6,PMPI_Bcast,PMPI_Bcast,0.001887,0.003126
5,7,PMPI_Bcast,PMPI_Bcast,0.001887,0.003126
1,3,PMPI_Bcast,PMPI_Bcast,0.000628,0.003153
1,5,PMPI_Bcast,PMPI_Bcast,0.000628,0.003155
1,9,PMPI_Bcast,PMPI_Bcast,0.000628,0.003159
9,10,PMPI_Bcast,PMPI_Bcast,0.001887,0.003159
9,11,PMPI_Bcast,PMPI_Bcast,0.001887,0.003159
9,13,PMPI_Bcast,PMPI_Bcast,0.001887,0.003159
1,2,PMPI_Bcast,PMPI_Bcast,0.000628,0.00316
7,8,PMPI_Bcast,PMPI_Bcast,0.003126,0.004322
3,4,PMPI_Bcast,PMPI_Bcast,0.003153,0.004359
11,12,PMPI_Bcast,PMPI_Bcast,0.003159,0.004363
5,6,PMPI_Bcast,PMPI_Bcast,0.003155,0.004394
5,7,PMPI_Bcast,PMPI_Bcast,0.003155,0.004394
13,14,PMPI_Bcast,PMPI_Bcast,0.003159,0.004397
13,15,PMPI_Bcast,PMPI_Bcast,0.003159,0.004397
1,3,PMPI_Bcast,PMPI_Bcast,0.000628,0.004419
1,5,PMPI_Bcast,PMPI_Bcast,0.000628,0.004423
1,2,PMPI_Bcast,PMPI_Bcast,0.000628,0.004426
1,9,PMPI_Bcast,PMPI_Bcast,0.000628,0.004431
9,13,PMPI_Bcast,PMPI_Bcast,0.003159,0.004431
9,10,PMPI_Bcast,PMPI_Bcast,0.003159,0.004431
9,11,PMPI_Bcast,PMPI_Bcast,0.003159,0.004431
7,8,PMPI_Bcast,PMPI_Bcast,0.004394,0.00559
15,16,PMPI_Bcast,PMPI_Bcast,0.004397,0.005593
3,4,PMPI_Bcast,PMPI_Bcast,0.004419,0.005626
11,12,PMPI_Bcast,PMPI_Bcast,0.004431,0.005636
5,6,PMPI_Bcast,PMPI_Bcast,0.004423,0.005662
5,7,PMPI_Bcast,PMPI_Bcast,0.004423,0.005662
13,14,PMPI_Bcast,PMPI_Bcast,0.004431,0.00567
13,15,PMPI_Bcast,PMPI_Bcast,0.004431,0.00567
1,3,PMPI_Bcast,PMPI_Bcast,0.000628,0.005682
1,5,PMPI_Bcast,PMPI_Bcast,0.000628,0.005689
1,2,PMPI_Bcast,PMPI_Bcast,0.000628,0.00569
1,9,PMPI_Bcast,PMPI_Bcast,0.000628,0.005704
9,13,PMPI_Bcast,PMPI_Bcast,0.004431,0.005704
9,10,PMPI_Bcast,PMPI_Bcast,0.004431,0.005704
9,11,PMPI_Bcast,PMPI_Bcast,0.004431,0.005704
7,8,PMPI_Bcast,PMPI_Bcast,0.005662,0.006858
15,16,PMPI_Bcast,PMPI_Bcast,0.00567,0.006865
3,4,PMPI_Bcast,PMPI_Bcast,0.005682,0.006891
11,12,PMPI_Bcast,PMPI_Bcast,0.005704,0.006908
5,6,PMPI_Bcast,PMPI_Bcast,0.005689,0.006929
5,7,PMPI_Bcast,PMPI_Bcast,0.005689,0.006929
13,14,PMPI_Bcast,PMPI_Bcast,0.005704,0.006942
13,15,PMPI_Bcast,PMPI_Bcast,0.005704,0.006942
1,3,PMPI_Bcast,PMPI_Bcast,0.000628,0.006942
1,5,PMPI_Bcast,PMPI_Bcast,0.000628,0.006952
1,2,PMPI_Bcast,PMPI_Bcast,0.000628,0.006953
1,9,PMPI_Bcast,PMPI_Bcast,0.000628,0.006976
9,13,PMPI_Bcast,PMPI_Bcast,0.005704,0.006976
9,10,PMPI_Bcast,PMPI_Bcast,0.005704,0.006976
9,11,PMPI_Bcast,PMPI_Bcast,0.005704,0.006976
7,8,PMPI_Bcast,PMPI_Bcast,0.006929,0.008126
15,16,PMPI_Bcast,PMPI_Bcast,0.006942,0.008138
3,4,PMPI_Bcast,PMPI_Bcast,0.006942,0.008152
11,12,PMPI_Bcast,PMPI_Bcast,0.006976,0.00818
5,6,PMPI_Bcast,PMPI_Bcast,0.006952,0.008193
5,7,PMPI_Bcast,PMPI_Bcast,0.006952,0.008193
1,3,PMPI_Bcast,PMPI_Bcast,0.000628,0.008196
1,5,PMPI_Bcast,PMPI_Bcast,0.000628,0.00821
1,2,PMPI_Bcast,PMPI_Bcast,0.000628,0.00821
13,14,PMPI_Bcast,PMPI_Bcast,0.006976,0.008214
13,15,PMPI_Bcast,PMPI_Bcast,0.006976,0.008214
9,13,PMPI_Bcast,PMPI_Bcast,0.006976,0.008248
1,9,PMPI_Bcast,PMPI_Bcast,0.000628,0.008248
9,10,PMPI_Bcast,PMPI_Bcast,0.006976,0.008248
9,11,PMPI_Bcast,PMPI_Bcast,0.006976,0.008248
7,8,PMPI_Bcast,PMPI_Bcast,0.008193,0.009393
3,4,PMPI_Bcast,PMPI_Bcast,0.008196,0.009408
15,16,PMPI_Bcast,PMPI_Bcast,0.008214,0.00941
1,3,PMPI_Bcast,PMPI_Bcast,0.000628,0.009442
11,12,PMPI_Bcast,PMPI_Bcast,0.008248,0.009453
5,6,PMPI_Bcast,PMPI_Bcast,0.00821,0.009454
5,7,PMPI_Bcast,PMPI_Bcast,0.00821,0.009454
1,2,PMPI_Bcast,PMPI_Bcast,0.000628,0.009459
1,5,PMPI_Bcast,PMPI_Bcast,0.000628,0.00946
13,14,PMPI_Bcast,PMPI_Bcast,0.008248,0.009487
13,15,PMPI_Bcast,PMPI_Bcast,0.008248,0.009487
9,13,PMPI_Bcast,PMPI_Bcast,0.008248,0.009521
1,9,PMPI_Bcast,PMPI_Bcast,0.000628,0.009521
9,10,PMPI_Bcast,PMPI_Bcast,0.008248,0.009521
9,11,PMPI_Bcast,PMPI_Bcast,0.008248,0.009521
3,4,PMPI_Bcast,PMPI_Bcast,0.009442,0.010655
7,8,PMPI_Bcast,PMPI_Bcast,0.009454,0.010659
1,3,PMPI_Bcast,PMPI_Bcast,0.000628,0.01068
15,16,PMPI_Bcast,PMPI_Bcast,0.009487,0.010682
1,2,PMPI_Bcast,PMPI_Bcast,0.000628,0.010694
1,5,PMPI_Bcast,PMPI_Bcast,0.000628,0.010707
5,6,PMPI_Bcast,PMPI_Bcast,0.00946,0.010707
5,7,PMPI_Bcast,PMPI_Bcast,0.00946,0.010707
11,12,PMPI_Bcast,PMPI_Bcast,0.009521,0.010725
13,14,PMPI_Bcast,PMPI_Bcast,0.009521,0.010759
13,15,PMPI_Bcast,PMPI_Bcast,0.009521,0.010759
9,13,PMPI_Bcast,PMPI_Bcast,0.009521,0.010793
1,9,PMPI_Bcast,PMPI_Bcast,0.000628,0.010793
9,10,PMPI_Bcast,PMPI_Bcast,0.009521,0.010793
9,11,PMPI_Bcast,PMPI_Bcast,0.009521,0.010793
3,4,PMPI_Bcast,PMPI_Bcast,0.01068,0.011895
1,3,PMPI_Bcast,PMPI_Bcast,0.000628,0.011913
7,8,PMPI_Bcast,PMPI_Bcast,0.010707,0.011916
1,2,PMPI_Bcast,PMPI_Bcast,0.000628,0.011923
1,5,PMPI_Bcast,PMPI_Bcast,0.000628,0.011954
5,7,PMPI_Bcast,PMPI_Bcast,0.010707,0.011954
5,6,PMPI_Bcast,PMPI_Bcast,0.010707,0.011954
15,16,PMPI_Bcast,PMPI_Bcast,0.010759,0.011955
11,12,PMPI_Bcast,PMPI_Bcast,0.010793,0.011997
13,14,PMPI_Bcast,PMPI_Bcast,0.010793,0.012031
13,15,PMPI_Bcast,PMPI_Bcast,0.010793,0.012031
