Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000455,0.000473
1,3,PMPI_Bcast,PMPI_Bcast,0.000455,0.000473
1,17,PMPI_Bcast,PMPI_Bcast,0.000455,0.000473
3,4,PMPI_Bcast,PMPI_Bcast,0.000473,0.000491
1,17,PMPI_Bcast,PMPI_Bcast,0.000457,0.000491
17,18,PMPI_Bcast,PMPI_Bcast,0.000473,0.000491
17,19,PMPI_Bcast,PMPI_Bcast,0.000473,0.000491
17,21,PMPI_Bcast,PMPI_Bcast,0.000473,0.000491
17,25,PMPI_Bcast,PMPI_Bcast,0.000473,0.000491
1,3,PMPI_Bcast,PMPI_Bcast,0.000457,0.000492
1,2,PMPI_Bcast,PMPI_Bcast,0.000457,0.000492
19,20,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
21,22,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
21,23,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
17,21,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
1,17,PMPI_Bcast,PMPI_Bcast,0.000457,0.000509
17,25,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
17,19,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
25,26,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
25,27,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
25,29,PMPI_Bcast,PMPI_Bcast,0.000491,0.000509
1,3,PMPI_Bcast,PMPI_Bcast,0.000457,0.00051
3,4,PMPI_Bcast,PMPI_Bcast,0.000492,0.00051
17,18,PMPI_Bcast,PMPI_Bcast,0.000491,0.00051
1,2,PMPI_Bcast,PMPI_Bcast,0.000457,0.00051
27,28,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
29,30,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
21,22,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
29,31,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
21,23,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
25,29,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
17,25,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
25,26,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
25,27,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
1,17,PMPI_Bcast,PMPI_Bcast,0.000457,0.000527
17,19,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
17,21,PMPI_Bcast,PMPI_Bcast,0.000509,0.000527
17,18,PMPI_Bcast,PMPI_Bcast,0.000509,0.000528
3,4,PMPI_Bcast,PMPI_Bcast,0.00051,0.000528
19,20,PMPI_Bcast,PMPI_Bcast,0.000509,0.000528
1,3,PMPI_Bcast,PMPI_Bcast,0.000457,0.000528
1,5,PMPI_Bcast,PMPI_Bcast,0.000455,0.000528
1,2,PMPI_Bcast,PMPI_Bcast,0.000457,0.000528
23,24,PMPI_Bcast,PMPI_Bcast,0.000509,0.000539
31,32,PMPI_Bcast,PMPI_Bcast,0.000527,0.000545
21,22,PMPI_Bcast,PMPI_Bcast,0.000527,0.000545
21,23,PMPI_Bcast,PMPI_Bcast,0.000527,0.000545
29,30,PMPI_Bcast,PMPI_Bcast,0.000527,0.000545
29,31,PMPI_Bcast,PMPI_Bcast,0.000527,0.000545
25,26,PMPI_Bcast,PMPI_Bcast,0.000527,0.000546
25,29,PMPI_Bcast,PMPI_Bcast,0.000527,0.000546
25,27,PMPI_Bcast,PMPI_Bcast,0.000527,0.000546
19,20,PMPI_Bcast,PMPI_Bcast,0.000527,0.000546
17,19,PMPI_Bcast,PMPI_Bcast,0.000527,0.000546
1,17,PMPI_Bcast,PMPI_Bcast,0.000457,0.000546
17,25,PMPI_Bcast,PMPI_Bcast,0.000527,0.000546
