Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,3,PMPI_Bcast,PMPI_Bcast,0.000517,0.000737
1,2,PMPI_Bcast,PMPI_Bcast,0.000517,0.000737
1,9,PMPI_Bcast,PMPI_Bcast,0.000517,0.000932
1,5,PMPI_Bcast,PMPI_Bcast,0.000517,0.000932
3,4,PMPI_Bcast,PMPI_Bcast,0.000737,0.000957
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.000958
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.000958
1,17,PMPI_Bcast,PMPI_Bcast,0.000517,0.001127
5,7,PMPI_Bcast,PMPI_Bcast,0.000932,0.001151
5,6,PMPI_Bcast,PMPI_Bcast,0.000932,0.001151
9,11,PMPI_Bcast,PMPI_Bcast,0.000932,0.001151
9,10,PMPI_Bcast,PMPI_Bcast,0.000932,0.001151
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.001177
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.001179
3,4,PMPI_Bcast,PMPI_Bcast,0.000958,0.001179
17,19,PMPI_Bcast,PMPI_Bcast,0.001127,0.001346
17,18,PMPI_Bcast,PMPI_Bcast,0.001127,0.001346
1,5,PMPI_Bcast,PMPI_Bcast,0.000519,0.001347
9,13,PMPI_Bcast,PMPI_Bcast,0.000932,0.001347
1,9,PMPI_Bcast,PMPI_Bcast,0.000519,0.001348
7,8,PMPI_Bcast,PMPI_Bcast,0.001151,0.00137
11,12,PMPI_Bcast,PMPI_Bcast,0.001151,0.00137
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.001396
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.001399
3,4,PMPI_Bcast,PMPI_Bcast,0.001179,0.0014
17,25,PMPI_Bcast,PMPI_Bcast,0.001127,0.001541
17,21,PMPI_Bcast,PMPI_Bcast,0.001127,0.001541
19,20,PMPI_Bcast,PMPI_Bcast,0.001346,0.001565
5,7,PMPI_Bcast,PMPI_Bcast,0.001347,0.001567
5,6,PMPI_Bcast,PMPI_Bcast,0.001347,0.001567
13,15,PMPI_Bcast,PMPI_Bcast,0.001347,0.001567
13,14,PMPI_Bcast,PMPI_Bcast,0.001347,0.001567
9,11,PMPI_Bcast,PMPI_Bcast,0.001348,0.001568
9,10,PMPI_Bcast,PMPI_Bcast,0.001348,0.001568
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.001616
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.00162
3,4,PMPI_Bcast,PMPI_Bcast,0.001399,0.00162
1,17,PMPI_Bcast,PMPI_Bcast,0.000519,0.001737
25,26,PMPI_Bcast,PMPI_Bcast,0.001541,0.00176
25,27,PMPI_Bcast,PMPI_Bcast,0.001541,0.00176
21,22,PMPI_Bcast,PMPI_Bcast,0.001541,0.00176
21,23,PMPI_Bcast,PMPI_Bcast,0.001541,0.00176
1,5,PMPI_Bcast,PMPI_Bcast,0.000519,0.001762
1,9,PMPI_Bcast,PMPI_Bcast,0.000519,0.001764
9,13,PMPI_Bcast,PMPI_Bcast,0.001348,0.001764
7,8,PMPI_Bcast,PMPI_Bcast,0.001567,0.001786
15,16,PMPI_Bcast,PMPI_Bcast,0.001567,0.001786
11,12,PMPI_Bcast,PMPI_Bcast,0.001568,0.001787
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.001835
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.001841
3,4,PMPI_Bcast,PMPI_Bcast,0.00162,0.001841
25,29,PMPI_Bcast,PMPI_Bcast,0.001541,0.001955
17,19,PMPI_Bcast,PMPI_Bcast,0.001737,0.001957
17,18,PMPI_Bcast,PMPI_Bcast,0.001737,0.001957
27,28,PMPI_Bcast,PMPI_Bcast,0.00176,0.00198
23,24,PMPI_Bcast,PMPI_Bcast,0.00176,0.00198
5,7,PMPI_Bcast,PMPI_Bcast,0.001762,0.001981
5,6,PMPI_Bcast,PMPI_Bcast,0.001762,0.001981
13,15,PMPI_Bcast,PMPI_Bcast,0.001764,0.001983
13,14,PMPI_Bcast,PMPI_Bcast,0.001764,0.001983
9,11,PMPI_Bcast,PMPI_Bcast,0.001764,0.001983
9,10,PMPI_Bcast,PMPI_Bcast,0.001764,0.001983
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.002054
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.002061
3,4,PMPI_Bcast,PMPI_Bcast,0.001841,0.002061
17,25,PMPI_Bcast,PMPI_Bcast,0.001737,0.002152
17,21,PMPI_Bcast,PMPI_Bcast,0.001737,0.002152
29,30,PMPI_Bcast,PMPI_Bcast,0.001955,0.002175
29,31,PMPI_Bcast,PMPI_Bcast,0.001955,0.002175
1,5,PMPI_Bcast,PMPI_Bcast,0.000519,0.002176
19,20,PMPI_Bcast,PMPI_Bcast,0.001957,0.002176
1,9,PMPI_Bcast,PMPI_Bcast,0.000519,0.002179
9,13,PMPI_Bcast,PMPI_Bcast,0.001764,0.002179
7,8,PMPI_Bcast,PMPI_Bcast,0.001981,0.0022
15,16,PMPI_Bcast,PMPI_Bcast,0.001983,0.002203
11,12,PMPI_Bcast,PMPI_Bcast,0.001983,0.002203
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.002274
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.002282
3,4,PMPI_Bcast,PMPI_Bcast,0.002061,0.002282
1,17,PMPI_Bcast,PMPI_Bcast,0.000519,0.002347
21,23,PMPI_Bcast,PMPI_Bcast,0.002152,0.002371
21,22,PMPI_Bcast,PMPI_Bcast,0.002152,0.002371
25,27,PMPI_Bcast,PMPI_Bcast,0.002152,0.002371
25,26,PMPI_Bcast,PMPI_Bcast,0.002152,0.002371
31,32,PMPI_Bcast,PMPI_Bcast,0.002175,0.002394
5,7,PMPI_Bcast,PMPI_Bcast,0.002176,0.002395
5,6,PMPI_Bcast,PMPI_Bcast,0.002176,0.002395
13,15,PMPI_Bcast,PMPI_Bcast,0.002179,0.002399
13,14,PMPI_Bcast,PMPI_Bcast,0.002179,0.002399
9,11,PMPI_Bcast,PMPI_Bcast,0.002179,0.002399
9,10,PMPI_Bcast,PMPI_Bcast,0.002179,0.002399
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.002493
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.002502
3,4,PMPI_Bcast,PMPI_Bcast,0.002282,0.002502
25,29,PMPI_Bcast,PMPI_Bcast,0.002152,0.002566
17,19,PMPI_Bcast,PMPI_Bcast,0.002347,0.002566
17,18,PMPI_Bcast,PMPI_Bcast,0.002347,0.002566
1,5,PMPI_Bcast,PMPI_Bcast,0.000519,0.00259
23,24,PMPI_Bcast,PMPI_Bcast,0.002371,0.00259
27,28,PMPI_Bcast,PMPI_Bcast,0.002371,0.00259
1,9,PMPI_Bcast,PMPI_Bcast,0.000519,0.002595
9,13,PMPI_Bcast,PMPI_Bcast,0.002179,0.002595
7,8,PMPI_Bcast,PMPI_Bcast,0.002395,0.002615
15,16,PMPI_Bcast,PMPI_Bcast,0.002399,0.002618
11,12,PMPI_Bcast,PMPI_Bcast,0.002399,0.002618
1,2,PMPI_Bcast,PMPI_Bcast,0.000519,0.002713
1,3,PMPI_Bcast,PMPI_Bcast,0.000519,0.002723
3,4,PMPI_Bcast,PMPI_Bcast,0.002502,0.002723
17,25,PMPI_Bcast,PMPI_Bcast,0.002347,0.002761
17,21,PMPI_Bcast,PMPI_Bcast,0.002347,0.002761
29,31,PMPI_Bcast,PMPI_Bcast,0.002566,0.002785
29,30,PMPI_Bcast,PMPI_Bcast,0.002566,0.002785
19,20,PMPI_Bcast,PMPI_Bcast,0.002566,0.002785
5,7,PMPI_Bcast,PMPI_Bcast,0.00259,0.00281
5,6,PMPI_Bcast,PMPI_Bcast,0.00259,0.00281
13,15,PMPI_Bcast,PMPI_Bcast,0.002595,0.002814
13,14,PMPI_Bcast,PMPI_Bcast,0.002595,0.002814
