Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,9,PMPI_Bcast,PMPI_Bcast,0.000457,0.000579
1,5,PMPI_Bcast,PMPI_Bcast,0.000457,0.000579
1,2,PMPI_Bcast,PMPI_Bcast,0.000457,0.000579
1,3,PMPI_Bcast,PMPI_Bcast,0.000457,0.000676
9,13,PMPI_Bcast,PMPI_Bcast,0.000579,0.000701
5,6,PMPI_Bcast,PMPI_Bcast,0.000579,0.000701
9,10,PMPI_Bcast,PMPI_Bcast,0.000579,0.000701
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.000701
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.000701
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.000702
3,4,PMPI_Bcast,PMPI_Bcast,0.000676,0.000798
5,7,PMPI_Bcast,PMPI_Bcast,0.000579,0.000798
9,11,PMPI_Bcast,PMPI_Bcast,0.000579,0.000798
13,14,PMPI_Bcast,PMPI_Bcast,0.000701,0.000822
9,13,PMPI_Bcast,PMPI_Bcast,0.000701,0.000822
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.000822
9,10,PMPI_Bcast,PMPI_Bcast,0.000701,0.000822
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.000822
5,6,PMPI_Bcast,PMPI_Bcast,0.000701,0.000823
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.000824
1,3,PMPI_Bcast,PMPI_Bcast,0.000458,0.000897
7,8,PMPI_Bcast,PMPI_Bcast,0.000798,0.00092
11,12,PMPI_Bcast,PMPI_Bcast,0.000798,0.00092
13,15,PMPI_Bcast,PMPI_Bcast,0.000701,0.00092
13,14,PMPI_Bcast,PMPI_Bcast,0.000822,0.000944
9,13,PMPI_Bcast,PMPI_Bcast,0.000822,0.000944
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.000944
9,10,PMPI_Bcast,PMPI_Bcast,0.000822,0.000944
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.000944
5,6,PMPI_Bcast,PMPI_Bcast,0.000822,0.000945
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.000946
5,7,PMPI_Bcast,PMPI_Bcast,0.000701,0.001017
9,11,PMPI_Bcast,PMPI_Bcast,0.000701,0.001017
3,4,PMPI_Bcast,PMPI_Bcast,0.000897,0.001018
15,16,PMPI_Bcast,PMPI_Bcast,0.00092,0.001042
13,14,PMPI_Bcast,PMPI_Bcast,0.000944,0.001066
9,13,PMPI_Bcast,PMPI_Bcast,0.000944,0.001066
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.001066
9,10,PMPI_Bcast,PMPI_Bcast,0.000944,0.001066
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.001066
5,6,PMPI_Bcast,PMPI_Bcast,0.000944,0.001067
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.001068
1,3,PMPI_Bcast,PMPI_Bcast,0.000458,0.001116
13,15,PMPI_Bcast,PMPI_Bcast,0.000822,0.001139
7,8,PMPI_Bcast,PMPI_Bcast,0.001017,0.001139
11,12,PMPI_Bcast,PMPI_Bcast,0.001017,0.001139
13,14,PMPI_Bcast,PMPI_Bcast,0.001066,0.001188
9,13,PMPI_Bcast,PMPI_Bcast,0.001066,0.001188
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.001188
9,10,PMPI_Bcast,PMPI_Bcast,0.001066,0.001188
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.001188
5,6,PMPI_Bcast,PMPI_Bcast,0.001066,0.001189
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.001189
5,7,PMPI_Bcast,PMPI_Bcast,0.000822,0.001237
9,11,PMPI_Bcast,PMPI_Bcast,0.000822,0.001237
3,4,PMPI_Bcast,PMPI_Bcast,0.001116,0.001238
15,16,PMPI_Bcast,PMPI_Bcast,0.001139,0.001261
13,14,PMPI_Bcast,PMPI_Bcast,0.001188,0.00131
9,13,PMPI_Bcast,PMPI_Bcast,0.001188,0.00131
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.00131
9,10,PMPI_Bcast,PMPI_Bcast,0.001188,0.00131
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.00131
5,6,PMPI_Bcast,PMPI_Bcast,0.001188,0.001311
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.001311
1,3,PMPI_Bcast,PMPI_Bcast,0.000458,0.001336
13,15,PMPI_Bcast,PMPI_Bcast,0.000944,0.001359
7,8,PMPI_Bcast,PMPI_Bcast,0.001237,0.001359
11,12,PMPI_Bcast,PMPI_Bcast,0.001237,0.001359
13,14,PMPI_Bcast,PMPI_Bcast,0.00131,0.001432
9,13,PMPI_Bcast,PMPI_Bcast,0.00131,0.001432
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.001432
9,10,PMPI_Bcast,PMPI_Bcast,0.00131,0.001432
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.001432
5,6,PMPI_Bcast,PMPI_Bcast,0.00131,0.001433
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.001433
9,11,PMPI_Bcast,PMPI_Bcast,0.000944,0.001456
5,7,PMPI_Bcast,PMPI_Bcast,0.000944,0.001457
3,4,PMPI_Bcast,PMPI_Bcast,0.001336,0.001457
15,16,PMPI_Bcast,PMPI_Bcast,0.001359,0.00148
13,14,PMPI_Bcast,PMPI_Bcast,0.001432,0.001553
9,13,PMPI_Bcast,PMPI_Bcast,0.001432,0.001553
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.001553
9,10,PMPI_Bcast,PMPI_Bcast,0.001432,0.001553
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.001553
5,6,PMPI_Bcast,PMPI_Bcast,0.001432,0.001555
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.001567
13,15,PMPI_Bcast,PMPI_Bcast,0.001066,0.001578
11,12,PMPI_Bcast,PMPI_Bcast,0.001456,0.001578
7,8,PMPI_Bcast,PMPI_Bcast,0.001457,0.001579
1,3,PMPI_Bcast,PMPI_Bcast,0.000458,0.001579
13,14,PMPI_Bcast,PMPI_Bcast,0.001553,0.001675
9,13,PMPI_Bcast,PMPI_Bcast,0.001553,0.001675
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.001675
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.001675
9,10,PMPI_Bcast,PMPI_Bcast,0.001553,0.001687
5,6,PMPI_Bcast,PMPI_Bcast,0.001553,0.001689
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.001689
9,11,PMPI_Bcast,PMPI_Bcast,0.001066,0.0017
15,16,PMPI_Bcast,PMPI_Bcast,0.001578,0.0017
5,7,PMPI_Bcast,PMPI_Bcast,0.001066,0.001701
3,4,PMPI_Bcast,PMPI_Bcast,0.001579,0.001701
9,13,PMPI_Bcast,PMPI_Bcast,0.001675,0.001797
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.001797
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.001797
13,14,PMPI_Bcast,PMPI_Bcast,0.001675,0.001809
9,10,PMPI_Bcast,PMPI_Bcast,0.001675,0.001809
5,6,PMPI_Bcast,PMPI_Bcast,0.001675,0.001811
11,12,PMPI_Bcast,PMPI_Bcast,0.0017,0.001821
13,15,PMPI_Bcast,PMPI_Bcast,0.001188,0.001821
7,8,PMPI_Bcast,PMPI_Bcast,0.001701,0.001823
1,3,PMPI_Bcast,PMPI_Bcast,0.000458,0.001823
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.001823
9,13,PMPI_Bcast,PMPI_Bcast,0.001797,0.001919
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.001919
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.001919
13,14,PMPI_Bcast,PMPI_Bcast,0.001797,0.001931
9,10,PMPI_Bcast,PMPI_Bcast,0.001797,0.001943
15,16,PMPI_Bcast,PMPI_Bcast,0.001821,0.001943
9,11,PMPI_Bcast,PMPI_Bcast,0.001188,0.001943
5,7,PMPI_Bcast,PMPI_Bcast,0.001188,0.001943
5,6,PMPI_Bcast,PMPI_Bcast,0.001797,0.001944
3,4,PMPI_Bcast,PMPI_Bcast,0.001823,0.001944
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.001945
9,13,PMPI_Bcast,PMPI_Bcast,0.001919,0.002041
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.002041
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.002041
1,3,PMPI_Bcast,PMPI_Bcast,0.000458,0.002042
13,14,PMPI_Bcast,PMPI_Bcast,0.001919,0.002065
9,10,PMPI_Bcast,PMPI_Bcast,0.001919,0.002065
11,12,PMPI_Bcast,PMPI_Bcast,0.001943,0.002065
13,15,PMPI_Bcast,PMPI_Bcast,0.00131,0.002065
7,8,PMPI_Bcast,PMPI_Bcast,0.001943,0.002065
5,6,PMPI_Bcast,PMPI_Bcast,0.001919,0.002066
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.002067
9,13,PMPI_Bcast,PMPI_Bcast,0.002041,0.002163
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.002163
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.002163
9,11,PMPI_Bcast,PMPI_Bcast,0.00131,0.002163
5,7,PMPI_Bcast,PMPI_Bcast,0.00131,0.002163
3,4,PMPI_Bcast,PMPI_Bcast,0.002042,0.002164
13,14,PMPI_Bcast,PMPI_Bcast,0.002041,0.002187
15,16,PMPI_Bcast,PMPI_Bcast,0.002065,0.002187
9,10,PMPI_Bcast,PMPI_Bcast,0.002041,0.002187
5,6,PMPI_Bcast,PMPI_Bcast,0.002041,0.002188
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.002188
1,3,PMPI_Bcast,PMPI_Bcast,0.000458,0.002261
9,13,PMPI_Bcast,PMPI_Bcast,0.002163,0.002284
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.002284
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.002284
11,12,PMPI_Bcast,PMPI_Bcast,0.002163,0.002285
7,8,PMPI_Bcast,PMPI_Bcast,0.002163,0.002285
13,15,PMPI_Bcast,PMPI_Bcast,0.001432,0.002285
9,10,PMPI_Bcast,PMPI_Bcast,0.002163,0.002309
13,14,PMPI_Bcast,PMPI_Bcast,0.002163,0.002309
5,6,PMPI_Bcast,PMPI_Bcast,0.002163,0.00231
1,2,PMPI_Bcast,PMPI_Bcast,0.000458,0.00231
9,11,PMPI_Bcast,PMPI_Bcast,0.001432,0.002382
5,7,PMPI_Bcast,PMPI_Bcast,0.001432,0.002382
3,4,PMPI_Bcast,PMPI_Bcast,0.002261,0.002383
9,13,PMPI_Bcast,PMPI_Bcast,0.002284,0.002406
1,5,PMPI_Bcast,PMPI_Bcast,0.000458,0.002406
1,9,PMPI_Bcast,PMPI_Bcast,0.000458,0.002406
15,16,PMPI_Bcast,PMPI_Bcast,0.002285,0.002407
