Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,17,PMPI_Bcast,PMPI_Bcast,0.000771,0.000773
1,5,PMPI_Bcast,PMPI_Bcast,0.000771,0.000773
1,2,PMPI_Bcast,PMPI_Bcast,0.000771,0.000773
1,33,PMPI_Bcast,PMPI_Bcast,0.000771,0.000775
1,9,PMPI_Bcast,PMPI_Bcast,0.000771,0.000775
1,3,PMPI_Bcast,PMPI_Bcast,0.000771,0.000775
17,21,PMPI_Bcast,PMPI_Bcast,0.000773,0.000776
5,6,PMPI_Bcast,PMPI_Bcast,0.000773,0.000776
17,18,PMPI_Bcast,PMPI_Bcast,0.000773,0.000776
1,17,PMPI_Bcast,PMPI_Bcast,0.000774,0.000777
1,2,PMPI_Bcast,PMPI_Bcast,0.000774,0.000777
1,5,PMPI_Bcast,PMPI_Bcast,0.000774,0.000777
17,25,PMPI_Bcast,PMPI_Bcast,0.000773,0.000777
5,7,PMPI_Bcast,PMPI_Bcast,0.000773,0.000777
17,19,PMPI_Bcast,PMPI_Bcast,0.000773,0.000777
33,49,PMPI_Bcast,PMPI_Bcast,0.000775,0.000777
9,13,PMPI_Bcast,PMPI_Bcast,0.000775,0.000777
3,4,PMPI_Bcast,PMPI_Bcast,0.000775,0.000777
33,37,PMPI_Bcast,PMPI_Bcast,0.000775,0.000777
9,10,PMPI_Bcast,PMPI_Bcast,0.000775,0.000777
33,34,PMPI_Bcast,PMPI_Bcast,0.000775,0.000777
21,22,PMPI_Bcast,PMPI_Bcast,0.000776,0.000778
17,21,PMPI_Bcast,PMPI_Bcast,0.000777,0.000779
17,18,PMPI_Bcast,PMPI_Bcast,0.000777,0.000779
1,2,PMPI_Bcast,PMPI_Bcast,0.000774,0.000779
5,6,PMPI_Bcast,PMPI_Bcast,0.000777,0.000779
1,5,PMPI_Bcast,PMPI_Bcast,0.000774,0.000779
33,41,PMPI_Bcast,PMPI_Bcast,0.000775,0.000779
9,11,PMPI_Bcast,PMPI_Bcast,0.000775,0.000779
33,35,PMPI_Bcast,PMPI_Bcast,0.000775,0.000779
21,23,PMPI_Bcast,PMPI_Bcast,0.000776,0.00078
25,29,PMPI_Bcast,PMPI_Bcast,0.000777,0.00078
7,8,PMPI_Bcast,PMPI_Bcast,0.000777,0.00078
19,20,PMPI_Bcast,PMPI_Bcast,0.000777,0.00078
49,53,PMPI_Bcast,PMPI_Bcast,0.000777,0.00078
13,14,PMPI_Bcast,PMPI_Bcast,0.000777,0.00078
37,38,PMPI_Bcast,PMPI_Bcast,0.000777,0.00078
25,26,PMPI_Bcast,PMPI_Bcast,0.000777,0.00078
49,50,PMPI_Bcast,PMPI_Bcast,0.000777,0.00078
1,17,PMPI_Bcast,PMPI_Bcast,0.000774,0.00078
1,33,PMPI_Bcast,PMPI_Bcast,0.000774,0.000781
1,9,PMPI_Bcast,PMPI_Bcast,0.000774,0.000781
21,22,PMPI_Bcast,PMPI_Bcast,0.000779,0.000781
1,2,PMPI_Bcast,PMPI_Bcast,0.000774,0.000781
5,6,PMPI_Bcast,PMPI_Bcast,0.000779,0.000781
1,5,PMPI_Bcast,PMPI_Bcast,0.000774,0.000781
1,3,PMPI_Bcast,PMPI_Bcast,0.000774,0.000781
49,57,PMPI_Bcast,PMPI_Bcast,0.000777,0.000781
13,15,PMPI_Bcast,PMPI_Bcast,0.000777,0.000781
37,39,PMPI_Bcast,PMPI_Bcast,0.000777,0.000781
25,27,PMPI_Bcast,PMPI_Bcast,0.000777,0.000781
17,19,PMPI_Bcast,PMPI_Bcast,0.000777,0.000781
49,51,PMPI_Bcast,PMPI_Bcast,0.000777,0.000781
41,45,PMPI_Bcast,PMPI_Bcast,0.000779,0.000781
11,12,PMPI_Bcast,PMPI_Bcast,0.000779,0.000781
35,36,PMPI_Bcast,PMPI_Bcast,0.000779,0.000781
41,42,PMPI_Bcast,PMPI_Bcast,0.000779,0.000781
23,24,PMPI_Bcast,PMPI_Bcast,0.00078,0.000782
29,30,PMPI_Bcast,PMPI_Bcast,0.00078,0.000782
53,54,PMPI_Bcast,PMPI_Bcast,0.00078,0.000782
17,21,PMPI_Bcast,PMPI_Bcast,0.00078,0.000782
17,18,PMPI_Bcast,PMPI_Bcast,0.00078,0.000782
1,17,PMPI_Bcast,PMPI_Bcast,0.000774,0.000782
33,49,PMPI_Bcast,PMPI_Bcast,0.000781,0.000783
33,37,PMPI_Bcast,PMPI_Bcast,0.000781,0.000783
33,34,PMPI_Bcast,PMPI_Bcast,0.000781,0.000783
17,25,PMPI_Bcast,PMPI_Bcast,0.000777,0.000783
9,13,PMPI_Bcast,PMPI_Bcast,0.000781,0.000783
9,10,PMPI_Bcast,PMPI_Bcast,0.000781,0.000783
5,7,PMPI_Bcast,PMPI_Bcast,0.000777,0.000783
1,2,PMPI_Bcast,PMPI_Bcast,0.000774,0.000783
5,6,PMPI_Bcast,PMPI_Bcast,0.000781,0.000783
1,5,PMPI_Bcast,PMPI_Bcast,0.000774,0.000783
3,4,PMPI_Bcast,PMPI_Bcast,0.000781,0.000783
41,43,PMPI_Bcast,PMPI_Bcast,0.000779,0.000783
29,31,PMPI_Bcast,PMPI_Bcast,0.00078,0.000784
53,55,PMPI_Bcast,PMPI_Bcast,0.00078,0.000784
57,61,PMPI_Bcast,PMPI_Bcast,0.000781,0.000784
15,16,PMPI_Bcast,PMPI_Bcast,0.000781,0.000784
39,40,PMPI_Bcast,PMPI_Bcast,0.000781,0.000784
27,28,PMPI_Bcast,PMPI_Bcast,0.000781,0.000784
19,20,PMPI_Bcast,PMPI_Bcast,0.000781,0.000784
51,52,PMPI_Bcast,PMPI_Bcast,0.000781,0.000784
45,46,PMPI_Bcast,PMPI_Bcast,0.000781,0.000784
57,58,PMPI_Bcast,PMPI_Bcast,0.000781,0.000784
21,22,PMPI_Bcast,PMPI_Bcast,0.000782,0.000784
17,21,PMPI_Bcast,PMPI_Bcast,0.000782,0.000784
17,18,PMPI_Bcast,PMPI_Bcast,0.000782,0.000784
1,17,PMPI_Bcast,PMPI_Bcast,0.000774,0.000784
33,41,PMPI_Bcast,PMPI_Bcast,0.000781,0.000785
33,35,PMPI_Bcast,PMPI_Bcast,0.000781,0.000785
1,33,PMPI_Bcast,PMPI_Bcast,0.000774,0.000785
1,9,PMPI_Bcast,PMPI_Bcast,0.000774,0.000785
49,53,PMPI_Bcast,PMPI_Bcast,0.000783,0.000785
37,38,PMPI_Bcast,PMPI_Bcast,0.000783,0.000785
49,50,PMPI_Bcast,PMPI_Bcast,0.000783,0.000785
25,29,PMPI_Bcast,PMPI_Bcast,0.000783,0.000785
25,26,PMPI_Bcast,PMPI_Bcast,0.000783,0.000785
13,14,PMPI_Bcast,PMPI_Bcast,0.000783,0.000785
21,23,PMPI_Bcast,PMPI_Bcast,0.000779,0.000785
