Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.000683
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.000712
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.000805
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.000806
3,4,PMPI_Bcast,PMPI_Bcast,0.000683,0.000943
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000947
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000969
1,17,PMPI_Bcast,PMPI_Bcast,0.000462,0.00098
9,10,PMPI_Bcast,PMPI_Bcast,0.000805,0.001051
9,11,PMPI_Bcast,PMPI_Bcast,0.000805,0.001051
5,6,PMPI_Bcast,PMPI_Bcast,0.000806,0.001052
5,7,PMPI_Bcast,PMPI_Bcast,0.000806,0.001052
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.001154
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.001164
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.001219
3,4,PMPI_Bcast,PMPI_Bcast,0.000947,0.001219
17,18,PMPI_Bcast,PMPI_Bcast,0.00098,0.001226
17,19,PMPI_Bcast,PMPI_Bcast,0.00098,0.001226
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.001227
9,13,PMPI_Bcast,PMPI_Bcast,0.000805,0.001243
11,12,PMPI_Bcast,PMPI_Bcast,0.001051,0.001271
7,8,PMPI_Bcast,PMPI_Bcast,0.001052,0.001273
17,25,PMPI_Bcast,PMPI_Bcast,0.00098,0.001322
17,21,PMPI_Bcast,PMPI_Bcast,0.00098,0.001324
9,10,PMPI_Bcast,PMPI_Bcast,0.001154,0.0014
9,11,PMPI_Bcast,PMPI_Bcast,0.001154,0.0014
5,6,PMPI_Bcast,PMPI_Bcast,0.001164,0.001421
5,7,PMPI_Bcast,PMPI_Bcast,0.001164,0.001421
19,20,PMPI_Bcast,PMPI_Bcast,0.001226,0.001452
13,14,PMPI_Bcast,PMPI_Bcast,0.001243,0.00149
13,15,PMPI_Bcast,PMPI_Bcast,0.001243,0.00149
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.001523
3,4,PMPI_Bcast,PMPI_Bcast,0.001219,0.001523
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.001532
1,17,PMPI_Bcast,PMPI_Bcast,0.000464,0.001532
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.001555
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.001558
25,26,PMPI_Bcast,PMPI_Bcast,0.001322,0.001569
25,27,PMPI_Bcast,PMPI_Bcast,0.001322,0.001569
21,22,PMPI_Bcast,PMPI_Bcast,0.001324,0.00157
21,23,PMPI_Bcast,PMPI_Bcast,0.001324,0.00157
11,12,PMPI_Bcast,PMPI_Bcast,0.0014,0.00162
7,8,PMPI_Bcast,PMPI_Bcast,0.001421,0.001646
9,13,PMPI_Bcast,PMPI_Bcast,0.001154,0.001667
15,16,PMPI_Bcast,PMPI_Bcast,0.00149,0.00171
25,29,PMPI_Bcast,PMPI_Bcast,0.001322,0.001766
17,18,PMPI_Bcast,PMPI_Bcast,0.001532,0.001779
17,19,PMPI_Bcast,PMPI_Bcast,0.001532,0.001779
27,28,PMPI_Bcast,PMPI_Bcast,0.001569,0.00179
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.001791
3,4,PMPI_Bcast,PMPI_Bcast,0.001523,0.001791
23,24,PMPI_Bcast,PMPI_Bcast,0.00157,0.001791
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.001795
9,10,PMPI_Bcast,PMPI_Bcast,0.001555,0.001801
9,11,PMPI_Bcast,PMPI_Bcast,0.001555,0.001801
5,6,PMPI_Bcast,PMPI_Bcast,0.001558,0.001804
5,7,PMPI_Bcast,PMPI_Bcast,0.001558,0.001804
17,25,PMPI_Bcast,PMPI_Bcast,0.001532,0.001874
17,21,PMPI_Bcast,PMPI_Bcast,0.001532,0.001876
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.001894
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.001899
13,14,PMPI_Bcast,PMPI_Bcast,0.001667,0.001913
13,15,PMPI_Bcast,PMPI_Bcast,0.001667,0.001913
1,17,PMPI_Bcast,PMPI_Bcast,0.000464,0.001948
19,20,PMPI_Bcast,PMPI_Bcast,0.001779,0.001999
29,30,PMPI_Bcast,PMPI_Bcast,0.001766,0.002012
29,31,PMPI_Bcast,PMPI_Bcast,0.001766,0.002012
11,12,PMPI_Bcast,PMPI_Bcast,0.001801,0.002022
7,8,PMPI_Bcast,PMPI_Bcast,0.001804,0.002025
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.00206
3,4,PMPI_Bcast,PMPI_Bcast,0.001791,0.00206
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.002062
9,13,PMPI_Bcast,PMPI_Bcast,0.001555,0.002086
25,26,PMPI_Bcast,PMPI_Bcast,0.001874,0.002121
25,27,PMPI_Bcast,PMPI_Bcast,0.001874,0.002121
21,22,PMPI_Bcast,PMPI_Bcast,0.001876,0.002122
21,23,PMPI_Bcast,PMPI_Bcast,0.001876,0.002122
15,16,PMPI_Bcast,PMPI_Bcast,0.001913,0.002134
9,10,PMPI_Bcast,PMPI_Bcast,0.001894,0.00214
9,11,PMPI_Bcast,PMPI_Bcast,0.001894,0.00214
5,6,PMPI_Bcast,PMPI_Bcast,0.001899,0.002145
5,7,PMPI_Bcast,PMPI_Bcast,0.001899,0.002145
