Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,3,PMPI_Bcast,PMPI_Bcast,0.000488,0.001808
1,5,PMPI_Bcast,PMPI_Bcast,0.000488,0.001808
1,9,PMPI_Bcast,PMPI_Bcast,0.000488,0.001808
1,17,PMPI_Bcast,PMPI_Bcast,0.000488,0.001808
1,33,PMPI_Bcast,PMPI_Bcast,0.000488,0.001808
1,2,PMPI_Bcast,PMPI_Bcast,0.000488,0.001812
3,4,PMPI_Bcast,PMPI_Bcast,0.001808,0.003009
5,6,PMPI_Bcast,PMPI_Bcast,0.001808,0.00304
5,7,PMPI_Bcast,PMPI_Bcast,0.001808,0.00304
9,10,PMPI_Bcast,PMPI_Bcast,0.001808,0.00307
9,11,PMPI_Bcast,PMPI_Bcast,0.001808,0.00307
9,13,PMPI_Bcast,PMPI_Bcast,0.001808,0.00307
17,18,PMPI_Bcast,PMPI_Bcast,0.001808,0.003101
17,19,PMPI_Bcast,PMPI_Bcast,0.001808,0.003101
17,21,PMPI_Bcast,PMPI_Bcast,0.001808,0.003101
17,25,PMPI_Bcast,PMPI_Bcast,0.001808,0.003101
33,34,PMPI_Bcast,PMPI_Bcast,0.001808,0.003132
33,35,PMPI_Bcast,PMPI_Bcast,0.001808,0.003132
33,37,PMPI_Bcast,PMPI_Bcast,0.001808,0.003132
33,41,PMPI_Bcast,PMPI_Bcast,0.001808,0.003132
33,49,PMPI_Bcast,PMPI_Bcast,0.001808,0.003132
1,17,PMPI_Bcast,PMPI_Bcast,0.000491,0.003132
1,5,PMPI_Bcast,PMPI_Bcast,0.000491,0.003132
1,9,PMPI_Bcast,PMPI_Bcast,0.000491,0.003132
1,3,PMPI_Bcast,PMPI_Bcast,0.000491,0.003132
1,33,PMPI_Bcast,PMPI_Bcast,0.000491,0.003132
1,2,PMPI_Bcast,PMPI_Bcast,0.000491,0.003133
7,8,PMPI_Bcast,PMPI_Bcast,0.00304,0.004235
11,12,PMPI_Bcast,PMPI_Bcast,0.00307,0.004266
13,14,PMPI_Bcast,PMPI_Bcast,0.00307,0.004292
13,15,PMPI_Bcast,PMPI_Bcast,0.00307,0.004292
19,20,PMPI_Bcast,PMPI_Bcast,0.003101,0.004297
21,22,PMPI_Bcast,PMPI_Bcast,0.003101,0.004328
21,23,PMPI_Bcast,PMPI_Bcast,0.003101,0.004328
35,36,PMPI_Bcast,PMPI_Bcast,0.003132,0.004332
3,4,PMPI_Bcast,PMPI_Bcast,0.003132,0.004333
25,26,PMPI_Bcast,PMPI_Bcast,0.003101,0.00436
25,27,PMPI_Bcast,PMPI_Bcast,0.003101,0.00436
25,29,PMPI_Bcast,PMPI_Bcast,0.003101,0.00436
37,38,PMPI_Bcast,PMPI_Bcast,0.003132,0.004363
37,39,PMPI_Bcast,PMPI_Bcast,0.003132,0.004363
5,6,PMPI_Bcast,PMPI_Bcast,0.003132,0.004364
5,7,PMPI_Bcast,PMPI_Bcast,0.003132,0.004364
41,42,PMPI_Bcast,PMPI_Bcast,0.003132,0.004394
41,43,PMPI_Bcast,PMPI_Bcast,0.003132,0.004394
41,45,PMPI_Bcast,PMPI_Bcast,0.003132,0.004394
9,10,PMPI_Bcast,PMPI_Bcast,0.003132,0.004395
9,11,PMPI_Bcast,PMPI_Bcast,0.003132,0.004395
9,13,PMPI_Bcast,PMPI_Bcast,0.003132,0.004395
49,50,PMPI_Bcast,PMPI_Bcast,0.003132,0.004424
49,51,PMPI_Bcast,PMPI_Bcast,0.003132,0.004424
49,53,PMPI_Bcast,PMPI_Bcast,0.003132,0.004424
49,57,PMPI_Bcast,PMPI_Bcast,0.003132,0.004424
17,18,PMPI_Bcast,PMPI_Bcast,0.003132,0.004425
17,19,PMPI_Bcast,PMPI_Bcast,0.003132,0.004425
17,21,PMPI_Bcast,PMPI_Bcast,0.003132,0.004425
17,25,PMPI_Bcast,PMPI_Bcast,0.003132,0.004425
1,17,PMPI_Bcast,PMPI_Bcast,0.000492,0.004455
1,5,PMPI_Bcast,PMPI_Bcast,0.000492,0.004455
1,9,PMPI_Bcast,PMPI_Bcast,0.000492,0.004456
1,3,PMPI_Bcast,PMPI_Bcast,0.000492,0.004456
