Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000462,0.00048
1,5,PMPI_Bcast,PMPI_Bcast,0.000462,0.00048
1,9,PMPI_Bcast,PMPI_Bcast,0.000462,0.00048
1,17,PMPI_Bcast,PMPI_Bcast,0.000462,0.00048
5,6,PMPI_Bcast,PMPI_Bcast,0.00048,0.000498
9,10,PMPI_Bcast,PMPI_Bcast,0.00048,0.000498
9,11,PMPI_Bcast,PMPI_Bcast,0.00048,0.000498
9,13,PMPI_Bcast,PMPI_Bcast,0.00048,0.000498
1,17,PMPI_Bcast,PMPI_Bcast,0.000464,0.000498
17,18,PMPI_Bcast,PMPI_Bcast,0.00048,0.000498
17,19,PMPI_Bcast,PMPI_Bcast,0.00048,0.000498
17,21,PMPI_Bcast,PMPI_Bcast,0.00048,0.000498
17,25,PMPI_Bcast,PMPI_Bcast,0.00048,0.000498
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000499
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000499
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000499
1,3,PMPI_Bcast,PMPI_Bcast,0.000462,0.000515
11,12,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
13,14,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
13,15,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
19,20,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
21,22,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
21,23,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
25,26,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
25,27,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
25,29,PMPI_Bcast,PMPI_Bcast,0.000498,0.000516
1,17,PMPI_Bcast,PMPI_Bcast,0.000464,0.000517
17,25,PMPI_Bcast,PMPI_Bcast,0.000498,0.000517
17,18,PMPI_Bcast,PMPI_Bcast,0.000498,0.000517
17,21,PMPI_Bcast,PMPI_Bcast,0.000498,0.000517
17,19,PMPI_Bcast,PMPI_Bcast,0.000498,0.000517
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000517
5,6,PMPI_Bcast,PMPI_Bcast,0.000499,0.000517
1,9,PMPI_Bcast,PMPI_Bcast,0.000464,0.000517
9,10,PMPI_Bcast,PMPI_Bcast,0.000499,0.000517
9,13,PMPI_Bcast,PMPI_Bcast,0.000499,0.000517
9,11,PMPI_Bcast,PMPI_Bcast,0.000499,0.000517
1,2,PMPI_Bcast,PMPI_Bcast,0.000464,0.000517
5,7,PMPI_Bcast,PMPI_Bcast,0.00048,0.000532
3,4,PMPI_Bcast,PMPI_Bcast,0.000515,0.000532
1,3,PMPI_Bcast,PMPI_Bcast,0.000464,0.000534
15,16,PMPI_Bcast,PMPI_Bcast,0.000516,0.000534
23,24,PMPI_Bcast,PMPI_Bcast,0.000516,0.000534
27,28,PMPI_Bcast,PMPI_Bcast,0.000516,0.000534
29,30,PMPI_Bcast,PMPI_Bcast,0.000516,0.000534
29,31,PMPI_Bcast,PMPI_Bcast,0.000516,0.000534
19,20,PMPI_Bcast,PMPI_Bcast,0.000517,0.000534
21,22,PMPI_Bcast,PMPI_Bcast,0.000517,0.000534
21,23,PMPI_Bcast,PMPI_Bcast,0.000517,0.000534
1,5,PMPI_Bcast,PMPI_Bcast,0.000464,0.000534
5,6,PMPI_Bcast,PMPI_Bcast,0.000517,0.000535
25,26,PMPI_Bcast,PMPI_Bcast,0.000517,0.000535
25,27,PMPI_Bcast,PMPI_Bcast,0.000517,0.000535
25,29,PMPI_Bcast,PMPI_Bcast,0.000517,0.000535
1,17,PMPI_Bcast,PMPI_Bcast,0.000464,0.000535
17,25,PMPI_Bcast,PMPI_Bcast,0.000517,0.000535
17,18,PMPI_Bcast,PMPI_Bcast,0.000517,0.000535
17,21,PMPI_Bcast,PMPI_Bcast,0.000517,0.000535
