Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000434,0.000654
1,5,PMPI_Bcast,PMPI_Bcast,0.000434,0.000654
1,3,PMPI_Bcast,PMPI_Bcast,0.000434,0.000666
1,9,PMPI_Bcast,PMPI_Bcast,0.000434,0.000873
1,17,PMPI_Bcast,PMPI_Bcast,0.000434,0.000873
1,2,PMPI_Bcast,PMPI_Bcast,0.000437,0.000875
1,5,PMPI_Bcast,PMPI_Bcast,0.000437,0.000876
5,6,PMPI_Bcast,PMPI_Bcast,0.000654,0.000876
5,7,PMPI_Bcast,PMPI_Bcast,0.000654,0.000876
1,3,PMPI_Bcast,PMPI_Bcast,0.000437,0.000887
3,4,PMPI_Bcast,PMPI_Bcast,0.000666,0.000887
1,33,PMPI_Bcast,PMPI_Bcast,0.000434,0.001044
9,13,PMPI_Bcast,PMPI_Bcast,0.000873,0.001093
9,10,PMPI_Bcast,PMPI_Bcast,0.000873,0.001093
9,11,PMPI_Bcast,PMPI_Bcast,0.000873,0.001093
17,21,PMPI_Bcast,PMPI_Bcast,0.000873,0.001093
17,18,PMPI_Bcast,PMPI_Bcast,0.000873,0.001093
17,19,PMPI_Bcast,PMPI_Bcast,0.000873,0.001093
1,2,PMPI_Bcast,PMPI_Bcast,0.000438,0.001094
7,8,PMPI_Bcast,PMPI_Bcast,0.000876,0.001095
5,7,PMPI_Bcast,PMPI_Bcast,0.000876,0.001097
1,5,PMPI_Bcast,PMPI_Bcast,0.000438,0.001097
5,6,PMPI_Bcast,PMPI_Bcast,0.000876,0.001097
1,3,PMPI_Bcast,PMPI_Bcast,0.000438,0.001107
3,4,PMPI_Bcast,PMPI_Bcast,0.000887,0.001107
33,37,PMPI_Bcast,PMPI_Bcast,0.001044,0.001263
33,34,PMPI_Bcast,PMPI_Bcast,0.001044,0.001263
33,35,PMPI_Bcast,PMPI_Bcast,0.001044,0.001263
