Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Bcast,PMPI_Bcast,0.000666,0.000674
1,3,PMPI_Bcast,PMPI_Bcast,0.000666,0.000674
1,5,PMPI_Bcast,PMPI_Bcast,0.000666,0.000682
1,9,PMPI_Bcast,PMPI_Bcast,0.000666,0.000682
1,3,PMPI_Bcast,PMPI_Bcast,0.000668,0.000682
3,4,PMPI_Bcast,PMPI_Bcast,0.000674,0.000682
1,2,PMPI_Bcast,PMPI_Bcast,0.000668,0.000683
5,6,PMPI_Bcast,PMPI_Bcast,0.000682,0.00069
5,7,PMPI_Bcast,PMPI_Bcast,0.000682,0.00069
9,10,PMPI_Bcast,PMPI_Bcast,0.000682,0.00069
9,11,PMPI_Bcast,PMPI_Bcast,0.000682,0.00069
1,3,PMPI_Bcast,PMPI_Bcast,0.000668,0.00069
3,4,PMPI_Bcast,PMPI_Bcast,0.000682,0.000691
1,2,PMPI_Bcast,PMPI_Bcast,0.000668,0.000691
1,9,PMPI_Bcast,PMPI_Bcast,0.000668,0.000698
9,13,PMPI_Bcast,PMPI_Bcast,0.000682,0.000698
7,8,PMPI_Bcast,PMPI_Bcast,0.00069,0.000698
11,12,PMPI_Bcast,PMPI_Bcast,0.00069,0.000698
1,3,PMPI_Bcast,PMPI_Bcast,0.000668,0.000698
1,5,PMPI_Bcast,PMPI_Bcast,0.000668,0.000699
3,4,PMPI_Bcast,PMPI_Bcast,0.00069,0.000699
1,2,PMPI_Bcast,PMPI_Bcast,0.000668,0.000699
13,14,PMPI_Bcast,PMPI_Bcast,0.000698,0.000706
13,15,PMPI_Bcast,PMPI_Bcast,0.000698,0.000706
9,10,PMPI_Bcast,PMPI_Bcast,0.000698,0.000706
9,11,PMPI_Bcast,PMPI_Bcast,0.000698,0.000706
1,3,PMPI_Bcast,PMPI_Bcast,0.000668,0.000706
3,4,PMPI_Bcast,PMPI_Bcast,0.000698,0.000707
5,6,PMPI_Bcast,PMPI_Bcast,0.000699,0.000707
5,7,PMPI_Bcast,PMPI_Bcast,0.000699,0.000707
1,2,PMPI_Bcast,PMPI_Bcast,0.000668,0.000707
1,9,PMPI_Bcast,PMPI_Bcast,0.000668,0.000713
15,16,PMPI_Bcast,PMPI_Bcast,0.000706,0.000714
11,12,PMPI_Bcast,PMPI_Bcast,0.000706,0.000714
1,3,PMPI_Bcast,PMPI_Bcast,0.000668,0.000714
